# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.053893,0.217125,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,388977.928878,388977.928878,0.000000,-0.000000
0.600000,1.490116,0.001567,1479.765402,5.927263,0.015551,31.886294,0.704371,-0.060839,0.062142,-0.704485,0.004447,0.022547,0.000000,12.885359,0.020889,63.276230,0.024309,0.152604,0.000000,-4.235099,0.719022,-2.819085,0.207758,1.297683,0.000000,84952.669825,1.050031,0.000018,336.550540,0.877763,3.300427,32.432521,64.574858,5.927284,79.469581,32.990254,-106.974973,5.927284,0.602156,552.853047,4.295698,2.819085,0.002197,13915.671622,383960.712896,397876.384518,63784.487728,-91.429730
1.200000,7.395906,-0.115054,1510.584505,13.780932,-0.759265,71.215764,0.702959,-0.043833,0.076250,-0.705772,0.001396,0.114753,0.000000,13.075924,-3.492176,66.580314,-0.049484,0.034642,0.000000,-2.249217,-1.069462,-13.457967,-0.390783,0.430186,0.000000,84644.504979,1.046863,0.000018,336.442442,1.187232,3.382570,72.540855,67.941988,13.801832,79.031873,32.990253,-106.974875,13.801832,14.992580,2746.677813,2.484981,13.457967,0.052245,68067.179604,383237.052573,451304.232177,146564.312600,-976.253437
1.800000,18.025601,-1.509556,1565.228436,21.690416,-4.227034,110.686226,0.701263,-0.033958,0.092531,-0.706056,-0.023599,-0.037308,0.000000,13.431871,-6.553933,64.173427,0.036530,-0.328116,0.000000,7.367369,0.508617,-31.881402,0.243759,-2.523599,0.000000,84098.112086,1.041245,0.000018,336.250778,1.735936,3.528215,112.870645,65.890803,22.098461,78.709373,32.990240,-106.974699,22.098461,24.652324,6616.989941,7.382225,31.881402,0.007345,161072.742412,388140.016473,549212.758885,218969.138244,-3598.474372
2.400000,33.450126,-5.011196,1642.925179,29.622998,-7.195500,147.765915,0.701932,-0.039707,0.087690,-0.705709,0.007792,0.059499,0.000000,12.506662,-4.601088,58.911192,-0.063317,0.164468,0.000000,-4.106453,-0.868218,-56.399088,-0.442705,1.251470,0.000000,83321.210661,1.033257,0.000018,335.978256,2.516124,3.735305,150.877642,60.399629,30.484377,78.343312,32.990209,-106.974444,30.484377,20.484469,11721.799977,4.204696,56.399088,0.012869,281548.580990,398540.084793,680088.665783,269767.091651,-8509.361481
3.000000,53.430201,-10.283755,1741.901408,36.938901,-10.346181,181.722833,0.701656,-0.038505,0.090341,-0.705715,0.006960,-0.001950,0.000000,11.737345,-4.512143,53.532790,0.041122,0.352874,0.000000,-5.644390,0.958977,-85.519317,0.286848,2.386933,0.000000,82331.532456,1.023081,0.000018,335.631095,3.509989,3.999111,185.727526,54.989856,38.360472,78.080238,32.990162,-106.974113,38.360472,21.750251,17569.613837,5.725275,85.519317,0.000177,417815.511003,413815.024107,831630.535110,306434.570200,-15883.291199
3.600000,76.759517,-16.976598,1855.513493,39.714645,-11.527537,190.920588,0.701402,-0.036276,0.092217,-0.705844,0.003659,-0.004133,0.000000,0.904151,-0.252186,-5.073091,0.035187,0.208123,0.000000,-3.139075,0.766460,-94.098696,0.233499,1.377074,0.000000,81195.508124,1.011401,0.000017,335.232600,4.650819,4.301927,195.347915,5.159201,41.353804,77.778410,32.990101,-106.973727,41.353804,23.345713,19181.578177,3.231267,94.098696,0.000101,458421.037698,437181.490888,895602.528586,41023.063342,-18381.984173
4.200000,100.582919,-23.882526,1968.268946,39.546954,-11.439417,184.106257,0.701173,-0.034359,0.093869,-0.705949,0.001332,-0.002673,0.000000,-0.622276,0.365109,-13.320387,0.024716,0.098809,0.000000,-1.507178,0.559045,-86.074025,0.163129,0.652139,0.000000,80068.060790,0.999809,0.000017,334.837086,5.783004,4.602485,188.652951,13.339911,41.168214,77.395379,32.990039,-106.973333,41.168214,24.701132,17642.854394,1.607626,86.074025,0.000029,427079.230282,463250.991940,890330.222221,-0.000018,-16238.118795
4.800000,124.198743,-30.685947,2076.356572,39.179130,-11.253525,176.218892,0.700884,-0.032651,0.096229,-0.706000,-0.001996,-0.000024,0.000000,-0.566051,0.302367,-12.980074,0.025278,0.012837,0.000000,-0.255935,0.482431,-77.701990,0.166835,0.084723,0.000000,79035.317413,0.989614,0.000017,334.361680,6.682415,4.995794,180.872176,12.995929,40.763293,76.975321,32.989978,-106.972942,40.763293,26.049372,16018.477983,0.551135,77.701990,0.000013,392576.926461,488690.452355,881267.378816,-0.000000,-14054.127995
5.400000,147.605022,-37.381472,2179.771014,38.845333,-11.074037,168.525997,0.700586,-0.031024,0.098650,-0.706035,-0.003955,0.005396,0.000000,-0.524542,0.265496,-12.674978,0.009769,-0.032330,0.000000,0.364051,0.211961,-70.269727,0.064475,-0.213378,0.000000,78050.324987,0.979920,0.000017,333.900615,7.530941,5.378889,173.299180,12.688605,40.392997,76.521384,32.989918,-106.972554,40.392997,27.320707,14528.439861,0.421317,70.269727,0.000148,360391.269190,513030.033913,873421.303103,-0.000000,-12177.686104
