# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.062987,0.253731,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,836312.666153,836312.666153,0.000000,-0.000000
0.600000,0.896043,0.000113,1476.519662,3.582859,0.002886,19.578926,0.704409,-0.061500,0.061708,-0.704427,0.001781,0.007952,0.000000,8.432638,0.032440,37.834047,0.023452,0.114496,0.000000,-2.673517,0.568455,-1.093692,0.194521,0.950720,0.000000,84985.124498,1.050365,0.000018,336.561925,0.845172,3.291776,19.904050,38.761859,3.582861,79.629750,32.990254,-106.974983,3.582861,0.095916,210.937573,2.733269,1.093692,0.000275,11345.762054,829355.780420,840701.542474,55189.323858,-21.769027
1.200000,4.473642,-0.030032,1494.635514,7.740099,-0.164676,37.445385,0.703502,-0.049552,0.071160,-0.705384,0.005323,0.097157,0.000000,3.352375,-0.545096,9.654359,-0.021708,0.139539,0.000000,-3.555103,-0.389209,-3.872378,-0.165834,1.165705,0.000000,84803.981343,1.048503,0.000018,336.498383,1.027081,3.340061,38.237327,10.234361,7.741851,78.318657,32.990254,-106.974924,7.741851,10.071912,765.147195,3.576344,3.872378,0.037045,41408.797121,830239.112272,871647.909393,42942.526424,-148.069376
1.800000,9.724690,-0.313227,1518.869986,9.779196,-0.938741,43.392600,0.700391,-0.025417,0.098099,-0.706529,-0.023915,0.123648,0.000000,3.510060,-2.112716,10.173606,-0.066262,-0.066161,0.000000,0.509833,-1.457873,-5.186711,-0.522027,-0.405252,0.000000,84561.657209,1.046011,0.000018,336.413381,1.270430,3.404654,44.490805,10.967516,9.824150,77.243208,32.990251,-106.974837,9.824150,30.224234,1032.508112,1.543920,5.186711,0.060221,55747.241582,838983.983390,894731.224972,51339.767170,-230.760925
2.400000,16.253063,-1.343923,1546.756226,12.035570,-2.609959,49.555353,0.697377,-0.016318,0.124719,-0.705582,-0.055735,0.031402,0.000000,4.033045,-3.213250,10.083233,-0.022807,-0.199109,0.000000,3.617278,-0.793209,-6.771372,-0.212162,-1.440540,0.000000,84282.818500,1.043144,0.000018,336.315569,1.550448,3.478981,51.062705,11.325283,12.315309,76.043798,32.990242,-106.974729,12.315309,37.210775,1357.519578,3.703227,6.771372,0.015061,73018.433066,849566.397728,922584.830794,59101.365006,-345.764568
3.000000,24.233608,-3.482668,1578.253389,14.606655,-4.471562,55.303611,0.697688,-0.030939,0.132485,-0.703366,-0.041797,-0.044267,0.000000,4.421695,-2.767861,8.764907,0.061152,-0.002890,0.000000,0.373513,0.870951,-8.469504,0.405042,-0.053789,0.000000,83967.873629,1.039906,0.000018,336.205093,1.866725,3.562932,57.374547,10.199814,15.275773,74.558968,32.990223,-106.974597,15.275773,31.623166,1708.226768,0.955330,8.469504,0.013222,91689.231910,862198.099561,953887.331470,62140.568930,-485.934085
3.600000,33.787901,-6.617505,1612.897589,17.218332,-5.921539,59.984096,0.698170,-0.039808,0.133557,-0.702238,-0.009676,0.025804,0.000000,4.201984,-2.225178,6.831756,0.019949,0.174526,0.000000,-3.315532,0.337787,-10.012527,0.131557,1.225527,0.000000,83621.461055,1.036344,0.000018,336.083578,2.214604,3.655270,62.686739,8.323502,18.208118,73.114380,32.990194,-106.974438,18.208118,28.236223,2028.601600,3.332725,10.012527,0.002630,108896.207891,876635.088037,985531.295928,60752.167577,-627.652662
4.200000,44.846753,-10.583922,1649.987995,19.587882,-7.329048,63.386922,0.695421,-0.029729,0.149324,-0.702289,-0.025845,0.072439,0.000000,3.624197,-2.466947,4.125905,-0.054702,-0.057905,0.000000,0.402208,-1.072322,-11.251971,-0.382769,-0.348009,0.000000,83250.588510,1.032531,0.000018,335.953483,2.587045,3.754129,66.748048,6.026666,20.914112,71.740022,32.990159,-106.974255,20.914112,33.458737,2286.935677,1.143465,11.251971,0.019895,122891.868505,892641.967876,1015533.836381,54529.154329,-751.047141
4.800000,57.146644,-15.371564,1688.310593,21.111776,-8.427125,63.163712,0.693261,-0.029316,0.165513,-0.700812,-0.042854,0.003708,0.000000,1.055144,-0.772124,-6.126042,0.010434,-0.086006,0.000000,1.387277,-0.053344,-11.307030,0.062126,-0.567739,0.000000,82867.395085,1.028591,0.000018,335.819066,2.971860,3.856273,67.129561,6.264399,22.731553,70.207053,32.990116,-106.974052,22.731553,34.645508,2298.691379,1.388309,11.307030,0.006113,123949.107208,910791.103675,1034740.210882,15182.839647,-759.035963
5.400000,69.852400,-20.455459,1724.575365,21.168419,-8.462446,57.471081,0.692912,-0.036870,0.173027,-0.698983,-0.029003,0.015009,0.000000,-0.047379,0.063628,-9.964335,0.013977,0.096194,0.000000,-1.705477,0.120402,-9.556199,0.092247,0.634878,0.000000,82504.778166,1.024863,0.000018,335.691867,3.336011,3.952931,61.827503,9.964650,22.797258,68.363082,32.990070,-106.973841,22.797258,32.720924,1934.459626,1.709730,9.556199,0.003519,105122.607305,930176.885429,1035299.492735,-0.027813,-590.835918
