id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
1,51,30.829063826862086,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5044736724525524,12.0724630463209,12.076190476190478,12.076190576190477,13.576190476190478,13.576190576190477,30.829063826862086,7,224.4535032142256,-77.2444004800811,1973.0980743179448,406.9922237919095,-75.42523951560263,-30.90142945764592
2,52,29.77940258317223,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5103462846028266,11.853198450391083,11.857142857142858,11.857142957142857,13.357142857142858,13.357142957142857,29.77940258317223,7,215.85498504267676,-75.1479719869035,1951.012856380459,392.10826456993897,-77.27232177049248,-31.1953640644785
3,53,28.790782832831653,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5150924466972244,11.64101162728322,11.647619047619049,11.647619147619048,13.147619047619049,13.147619147619048,28.790782832831653,7,207.72849064392662,-73.11861677691233,1930.1698659821302,378.1746002262313,-78.86939538487552,-31.483405393841533
4,54,27.85652929462537,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5198227375311526,11.434821003179882,11.438095238095238,11.438095338095238,12.938095238095238,12.938095338095238,27.85652929462537,7,199.96847928630757,-71.13164065547511,1910.3480474726862,364.9219406065111,-80.15933132378596,-31.76487627207315
5,55,26.97959206852886,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5248866198353697,11.236638389896044,11.238095238095239,11.238095338095238,12.738095238095239,12.738095338095238,26.97959206852886,7,192.61998201809456,-69.20743471977116,1891.7047029860335,352.4643778697849,-81.21344368157526,-32.03940805150783
6,56,26.151356162704122,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5298184780699747,11.045205763393517,11.04761904761905,11.047619147619049,12.54761904761905,12.547619147619049,26.151356162704122,7,185.64835017812942,-67.357804389272,1874.0632848985745,340.7246045358167,-82.09850405981908,-32.30601108668001
7,51,29.465960835983278,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5918098901122197,11.781438944666384,11.790476190476191,11.79047629047619,13.290476190476191,13.29047629047619,29.465960835983278,7,209.01112523195314,-81.24395764995862,1939.4397607090473,379.57279479700424,-87.39089085526184,-30.89114394542669
8,52,28.472915591667412,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5988222503280092,11.568156044679275,11.571428571428573,11.571428671428572,13.071428571428573,13.071428671428572,28.472915591667412,7,200.75441332630083,-78.3754325603823,1918.665206318939,365.36222530539135,-87.64889594326118,-31.181558176093493
9,53,27.534382581980285,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.6058810219320517,11.362168558155663,11.371428571428572,11.371428671428571,12.871428571428572,12.871428671428571,27.534382581980285,7,192.91424129373755,-75.62066530350975,1899.0611744270466,352.01806993272027,-87.80320961043229,-31.46504192200149
10,54,26.651046134731658,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.6130961847216299,11.162822353457305,11.171428571428573,11.171428671428572,12.671428571428573,12.671428671428572,26.651046134731658,7,185.4448638161048,-72.97878700085583,1880.4888247325323,339.3350586664459,-87.73397545696623,-31.741090736223466
11,55,25.815509304096743,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.6202618117618703,10.968627205695169,10.971428571428572,10.971428671428571,12.471428571428572,12.471428671428571,25.815509304096743,7,178.28566642264587,-70.41856102556774,1862.8273428544962,327.2072424055475,-87.43712917399093,-32.008879979742446
12,56,25.034626758588566,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.6273125350207666,10.784015437483477,10.790476190476191,10.79047629047619,12.290476190476191,12.29047629047619,25.034626758588566,7,171.59722144146681,-68.0332341393467,1846.3608255686602,315.97245977919926,-87.14531177957494,-32.26807336825727
13,51,33.849143954969136,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5455121271014534,12.794349303605252,12.8,12.8000001,14.3,14.3000001,33.849143954969136,7,251.57486609834285,-98.72075963363301,2045.1651366605777,454.4247606547817,-93.60040080451024,-30.91362859602469
14,52,32.68391297498872,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5520230556370423,12.564961160079614,12.571428571428573,12.571428671428572,14.071428571428573,14.071428671428572,32.68391297498872,7,241.89367947399685,-95.39368732897088,2020.3906493533527,437.30307101750316,-94.59663114432979,-31.21234778390612
15,53,31.5860736454179,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5585540814269105,12.343238158466166,12.352380952380953,12.352381052380952,13.852380952380953,13.852381052380952,31.5860736454179,7,232.696960213401,-92.19308158881863,1996.964815243647,421.18599648402113,-95.3224302029819,-31.506453395592178
16,54,30.55393398225508,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5651154744619669,12.12857060049631,12.133333333333335,12.133333433333334,13.633333333333335,13.633333433333334,30.55393398225508,7,223.9402010863975,-89.117876969437,1974.7962922782285,405.9104979663259,-95.7251932564708,-31.795717304169965
17,55,29.578192512781275,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5717241755187854,11.920484103006846,11.923809523809524,11.923809623809523,13.423809523809524,13.423809623809523,29.578192512781275,7,215.58682322984134,-86.15233820381928,1953.7856097025654,391.4823469782224,-95.9387514407558,-32.079685268851506
18,56,28.655842989560565,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5783914254013427,11.719144082212038,11.723809523809525,11.723809623809524,13.223809523809525,13.223809623809524,28.655842989560565,7,207.6325851496389,-83.30098575742997,1933.8830046372284,377.86030751091494,-95.99772720191285,-32.35798200115768
