# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.630141,-0.176374,1.306198,-0.000000,0.000000,85598.771785,0.688442,0.000024,417.219044,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,34.422097,4.630141,0.176374,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.057354,0.000000,1422.425347,14.227256,0.000000,78.508961,0.705125,-0.052903,0.052903,-0.705125,0.156877,0.000000,0.000000,24.184509,0.000001,145.894037,0.538801,0.000000,0.000000,-0.000009,15.659557,-10.466905,4.666613,0.000003,0.000000,85364.024417,0.686554,0.000024,417.219044,10.000000,0.000000,79.787666,147.884959,14.227256,79.728431,32.990254,-106.974931,14.227256,0.000000,2121.975909,15.659557,10.466905,0.098605,70098.768644,307197.967836,377296.736480,277700.131409,-835.130262
1.200000,15.785799,-0.000000,1496.916524,22.586875,-0.000003,169.537424,0.706973,-0.013720,0.013721,-0.706973,-0.017494,0.000000,0.000000,4.783565,-0.000013,147.052208,-1.379085,0.000000,0.000000,-0.000006,-27.514260,-47.257142,-10.161424,0.000002,0.000000,84587.993419,0.680313,0.000024,417.219044,10.000000,0.000000,171.035391,147.129989,22.586875,82.411372,32.990254,-106.974737,22.586875,0.000113,9830.981553,27.514163,47.257142,0.001127,307312.320939,308429.694374,615742.015313,572006.836133,-8082.642838
1.800000,31.033221,-0.000005,1624.482229,29.037562,-0.000011,253.189947,0.706674,-0.024742,0.024742,-0.706674,0.133111,0.000000,0.000000,6.923127,-0.000010,95.909222,-0.777827,-0.000000,0.000000,-0.000001,-9.437083,-106.823795,-4.977294,-0.000001,0.000000,83272.317712,0.669731,0.000024,417.219044,10.000000,0.000000,254.849621,96.158767,29.037562,83.457511,32.990254,-106.974484,29.037562,0.000077,21587.969759,9.443779,106.823795,0.059138,652687.032413,320186.193134,972873.225547,569869.237955,-27224.003850
2.400000,48.682416,-0.000012,1779.128971,29.400818,-0.000012,254.147065,0.706669,-0.024871,0.024871,-0.706669,0.061905,-0.000000,0.000000,-0.894527,0.000001,-15.042063,-0.760688,0.000001,0.000000,-0.000008,-10.484938,-105.706942,-5.020539,0.000004,0.000000,81699.607186,0.657082,0.000024,417.219044,10.000000,0.000000,255.842019,15.068636,29.400818,83.401112,32.990254,-106.974192,29.400818,0.000066,21344.372501,10.485880,105.706942,0.012649,654551.400266,348945.902554,1003497.302821,0.000000,-27044.277578
3.000000,66.221663,-0.000020,1928.935239,29.147526,-0.000012,245.249856,0.706626,-0.026074,0.026074,-0.706626,0.034786,0.000000,0.000000,-0.691058,0.000001,-14.567838,-0.480344,0.000001,0.000000,-0.000011,-6.765669,-95.983422,-3.170269,0.000005,0.000000,80199.142513,0.645015,0.000024,417.219044,10.000000,0.000000,246.975849,14.584218,29.147526,83.222287,32.990254,-106.973902,29.147526,0.000070,19516.243822,6.762121,95.983422,0.004002,609970.703727,378327.855222,988298.558949,0.000000,-23705.587074
3.600000,83.625319,-0.000027,2073.486784,28.923894,-0.000012,236.627824,0.706573,-0.027468,0.027468,-0.706573,0.027309,0.000000,0.000000,-0.494825,0.000001,-14.144958,-0.229477,0.000000,0.000000,-0.000007,-3.130647,-87.272599,-1.514550,0.000003,0.000000,78772.540061,0.633541,0.000024,417.219044,10.000000,0.000000,238.389007,14.153610,28.923894,83.031095,32.990254,-106.973613,28.923894,0.000074,17850.280383,3.186063,87.272599,0.002461,568293.188991,406679.183398,974972.372389,-0.000000,-20804.828127
4.200000,100.903066,-0.000034,2212.940615,28.715883,-0.000012,228.253941,0.706517,-0.028868,0.028868,-0.706517,0.021089,0.000000,0.000000,-0.335814,0.000001,-13.762925,-0.032675,0.000001,0.000000,-0.000010,-0.238635,-79.409676,-0.215657,0.000004,0.000000,77415.790868,0.622629,0.000024,417.219044,10.000000,0.000000,230.053175,13.767022,28.715883,82.829477,32.990254,-106.973327,28.715883,0.000062,16328.490795,0.138113,79.409676,0.001468,529244.634699,434030.681562,963275.316261,0.000000,-18268.448095
4.800000,118.063654,-0.000041,2347.438241,28.516865,-0.000011,220.104284,0.706465,-0.030117,0.030117,-0.706465,0.008430,0.000000,0.000000,-0.231674,0.000001,-13.417986,0.092888,0.000001,0.000000,-0.000010,1.530226,-72.359006,0.613060,0.000004,0.000000,76125.247285,0.612250,0.000024,417.219044,10.000000,0.000000,221.943928,13.419986,28.516865,82.617841,32.990254,-106.973043,28.516865,0.000063,14935.452269,1.542296,72.359006,0.000234,492591.073562,460410.104448,953001.178009,0.000000,-16059.641987
5.400000,135.115294,-0.000048,2477.106529,28.328457,-0.000011,212.154597,0.706431,-0.030893,0.030893,-0.706431,-0.007009,-0.000000,0.000000,-0.219824,0.000000,-13.100961,0.093590,0.000000,0.000000,-0.000000,1.371850,-66.018491,0.617695,0.000000,0.000000,74897.590657,0.602376,0.000024,417.219044,10.000000,0.000000,214.037554,13.102805,28.328457,82.394430,32.990254,-106.972761,28.328457,0.000072,13657.521271,1.374226,66.018491,0.000163,458120.744876,485842.334761,943963.079638,-0.000000,-14130.436223
