# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.735970,2.694405,-0.147658,3.749103,3.806939,0.000000,101325.000000,1.176613,0.000018,347.220687,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,29.415313,3.839967,0.147658,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.600000,2.132201,0.003736,11.897129,8.585137,0.027066,46.694113,0.704405,-0.057905,0.061701,-0.704737,0.059260,0.062388,0.000000,18.696724,-0.180334,97.321798,0.379382,0.412509,0.000000,-10.017700,9.196295,-6.536614,12.274379,13.372700,0.000000,101182.159637,1.174954,0.000018,347.220687,5.000000,5.000000,47.476789,99.101624,8.585179,79.581949,32.990254,-106.974963,8.585179,1.804303,1302.978915,13.598756,6.536614,0.127220,28721.992285,2973.327599,31695.319884,131626.856838,-310.337424
1.200000,10.227557,-0.494142,57.609145,16.588814,-2.363116,98.832813,0.702259,0.008626,0.066899,-0.708717,0.111068,0.159741,0.000000,3.435054,-6.215988,40.997670,-0.732390,-0.718153,0.000000,15.788545,-15.964880,-28.154794,-20.577702,-20.446668,0.000000,100634.843996,1.168598,0.000018,347.220687,5.000000,5.000000,100.243194,41.608257,16.756285,80.377477,32.990250,-106.974829,16.756285,52.085341,5817.539756,22.453408,28.154794,0.516561,106382.348750,11961.889129,118344.237879,112368.183087,-2822.326505
1.800000,20.869630,-3.126841,124.654979,19.542492,-5.990976,125.387662,0.703690,-0.027230,0.071596,-0.706366,-0.107653,-0.119724,0.000000,9.121445,-2.753681,48.126074,0.947012,0.932035,0.000000,-18.192557,18.450211,-44.767586,22.996968,22.708854,0.000000,99836.434642,1.159327,0.000018,347.220687,5.000000,5.000000,127.042774,49.060192,20.440176,80.741321,32.990226,-106.974652,20.440176,24.068244,9306.120707,25.911050,44.767586,0.306313,153489.424964,23250.802942,176740.227906,146601.103742,-5687.398262
2.400000,34.155297,-7.363626,208.967146,24.148912,-8.916669,156.181341,0.702378,-0.000038,0.075044,-0.707838,-0.091917,-0.067474,0.000000,5.709800,-8.025422,53.595145,-1.038519,-1.217822,0.000000,20.434736,-17.352380,-68.920937,-20.169267,-23.874764,0.000000,98839.699248,1.147753,0.000018,347.220687,5.000000,5.000000,158.288623,54.492645,25.742512,80.640404,32.990188,-106.974432,25.742512,44.748921,14319.915002,26.805808,68.920937,0.129355,211197.909204,34547.659422,245745.568626,183206.609305,-10909.400121
3.000000,50.174502,-13.718913,312.634671,29.236798,-12.298536,189.549223,0.702507,-0.004719,0.076984,-0.707485,-0.004735,0.023214,0.000000,6.245912,-8.142549,55.297706,-1.331380,-1.436094,0.000000,20.958008,-19.392925,-101.585187,-21.571446,-23.415050,0.000000,97625.206083,1.133650,0.000018,347.220687,5.000000,5.000000,192.184683,56.241872,31.718202,80.500429,32.990131,-106.974167,31.718202,41.290038,20867.976786,28.552123,101.585187,0.004550,273459.478001,45398.681674,318858.159675,208141.632894,-19523.116555
3.600000,69.198965,-22.214666,436.265513,34.138398,-16.028622,222.349333,0.702661,-0.010626,0.079289,-0.707014,-0.083388,-0.073883,0.000000,5.845867,-5.585417,39.858497,-0.544778,-0.754393,0.000000,8.439809,-6.123282,-142.348671,-5.768564,-8.123745,0.000000,96192.664836,1.117014,0.000018,347.220687,5.000000,5.000000,225.525105,49.072421,37.714015,80.373337,32.990054,-106.973852,37.714015,37.190185,28333.338049,10.427126,142.348671,0.077528,327485.890820,55093.994092,382579.884912,218565.794972,-32103.198965
4.200000,89.394690,-31.573083,565.507362,33.185016,-15.193497,208.662263,0.702703,-0.013744,0.080934,-0.706731,0.034030,0.048907,0.000000,-1.664957,1.197273,-21.810642,-0.076078,0.021542,0.000000,-0.396174,-0.441002,-121.777606,-0.502115,0.142177,0.000000,94713.353707,1.099836,0.000018,347.220687,5.000000,5.000000,211.830186,21.906841,36.497776,80.078582,32.989970,-106.973518,36.497776,35.198211,24604.500812,0.643264,121.777606,0.016020,249701.199388,61721.125657,311422.325046,174216.613149,-25796.173082
4.800000,109.007344,-40.506265,686.882591,32.223799,-14.581708,196.087671,0.702528,-0.013679,0.083490,-0.706609,-0.025337,-0.015375,0.000000,-1.452307,0.989062,-20.156268,-0.008343,-0.052428,0.000000,0.479916,-0.174819,-104.975909,-0.055063,-0.346027,0.000000,93340.910591,1.083899,0.000018,347.220687,5.000000,5.000000,199.252037,20.232711,35.369470,79.775172,32.989890,-106.973193,35.369470,35.529193,21447.629534,0.431393,104.975909,0.002968,199927.530586,67842.248200,267769.778786,45085.003792,-20916.663666
5.400000,128.099624,-49.067933,800.994325,31.424813,-13.976624,184.423992,0.702412,-0.014765,0.085926,-0.706410,-0.001755,0.010293,0.000000,-1.215303,1.011853,-18.764625,0.091739,0.117026,0.000000,-0.967076,0.718836,-90.956913,0.605478,0.772373,0.000000,92065.329170,1.069087,0.000018,347.220687,5.000000,5.000000,187.603501,18.831143,34.392803,79.436387,32.989813,-106.972877,34.392803,35.086951,18746.753156,1.202132,90.956913,0.000360,175975.368808,78550.709998,254526.078806,-0.000001,-17063.835381
