# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.054502,0.219573,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,403408.081694,403408.081694,0.000000,-0.000000
0.600000,1.426762,0.001364,1479.418966,5.679460,0.014371,30.555957,0.704375,-0.060918,0.062089,-0.704478,0.004204,0.021107,0.000000,12.420367,0.027666,60.625479,0.024108,0.148266,0.000000,-4.071358,0.703640,-2.595099,0.205935,1.260740,0.000000,84956.133890,1.050067,0.000018,336.551755,0.874284,3.299503,31.079302,61.884674,5.679478,79.470509,32.990254,-106.974974,5.679478,0.541092,507.994998,4.131710,2.595099,0.001928,13261.636014,398379.167950,411640.803964,61125.068429,-80.653735
1.200000,7.099391,-0.104459,1508.949718,13.251108,-0.696785,68.235586,0.703009,-0.044346,0.075790,-0.705739,0.001839,0.114457,0.000000,12.604042,-3.246778,63.777840,-0.047073,0.053101,0.000000,-2.629233,-1.006171,-12.386347,-0.371216,0.577177,0.000000,84660.851456,1.047031,0.000018,336.448176,1.170816,3.378213,69.513830,65.092368,13.269415,78.995339,32.990253,-106.974880,13.269415,14.556677,2522.629751,2.815074,12.386347,0.052007,64921.058360,397620.019145,462541.077505,140445.751833,-861.022458
1.800000,17.323933,-1.414163,1561.304025,20.864859,-4.031670,106.041169,0.701118,-0.032818,0.093634,-0.706108,-0.025374,-0.025692,0.000000,12.921575,-6.559910,61.436849,0.024063,-0.357139,0.000000,7.769302,0.229126,-29.313308,0.147318,-2.727597,0.000000,84137.352861,1.041648,0.000018,336.264543,1.696529,3.517756,108.149555,63.122785,21.250805,78.667952,32.990241,-106.974711,21.250805,25.481529,6077.575117,7.772687,29.313308,0.004916,153728.186785,402478.022361,556206.209146,209810.188633,-3170.221177
2.400000,32.170515,-4.818562,1635.730555,28.542087,-7.034336,141.533428,0.701940,-0.040378,0.087963,-0.705628,0.009925,0.049542,0.000000,12.158977,-4.324534,56.403823,-0.041062,0.274852,0.000000,-5.924491,-0.438201,-51.778250,-0.280897,2.028198,0.000000,83393.150793,1.033997,0.000018,336.003491,2.443880,3.716128,144.553948,57.861330,29.396133,78.266633,32.990211,-106.974465,29.396133,20.192941,10768.248269,5.943342,51.778250,0.009124,268890.278961,412836.039029,681726.317990,258464.997435,-7484.750451
3.000000,51.431893,-9.959972,1730.529689,35.624851,-10.141680,174.047942,0.701503,-0.038011,0.091923,-0.705690,0.003446,-0.020870,0.000000,11.355252,-4.565091,50.845918,0.072288,0.274949,0.000000,-4.072966,1.388571,-78.227269,0.493664,1.836783,0.000000,82445.239986,1.024250,0.000018,335.670982,3.395801,3.968801,177.945693,52.298076,37.040298,77.985744,32.990164,-106.974146,37.040298,22.364211,16147.565949,4.302817,78.227269,0.001515,399384.238704,428100.445274,827484.683979,291675.996354,-13920.206666
3.600000,73.947816,-16.516310,1839.339721,38.346586,-11.307072,182.832309,0.701214,-0.035594,0.094043,-0.705824,-0.000602,-0.016443,0.000000,0.940776,-0.375011,-4.953564,0.052092,0.073030,0.000000,-0.889826,0.950949,-85.936636,0.344743,0.480877,0.000000,81357.232111,1.013064,0.000017,335.289330,4.488411,4.258818,187.152248,5.056006,39.978876,77.665606,32.990105,-106.973774,39.978876,24.081238,17635.577316,1.280152,85.936636,0.000896,438275.526479,451408.514456,889684.040935,39301.952773,-16083.234631
4.200000,96.962500,-23.291343,1947.299738,38.218627,-11.231518,176.240016,0.700966,-0.033619,0.095829,-0.705927,-0.002471,-0.006553,0.000000,-0.553236,0.252828,-12.894063,0.024234,-0.036372,0.000000,0.617694,0.488785,-78.665053,0.159941,-0.240055,0.000000,80277.716795,1.001964,0.000017,334.910672,5.572513,4.546554,180.685787,12.908402,39.834789,77.263687,32.990045,-106.973393,39.834789,25.465772,16219.425084,0.755899,78.665053,0.000161,408091.919961,477412.174412,885504.094373,-0.007296,-14213.657004
4.800000,119.795515,-29.975170,2050.742324,37.892790,-11.058190,168.597969,0.700693,-0.032010,0.098001,-0.705975,-0.005699,0.006313,0.000000,-0.514534,0.224102,-12.597778,0.007168,-0.078114,0.000000,1.057342,0.146421,-71.166780,0.047309,-0.515552,0.000000,79279.285669,0.992015,0.000017,334.475879,6.472248,4.900907,173.157219,12.610272,39.473372,76.822848,32.989984,-106.973014,39.473372,26.696298,14715.169477,1.067435,71.166780,0.000239,374792.780410,502772.805265,877565.585675,-0.000000,-12323.041625
5.400000,142.442203,-36.561806,2149.650667,37.597856,-10.894778,161.124264,0.700431,-0.030801,0.100195,-0.705981,-0.004316,0.014363,0.000000,-0.480393,0.241640,-12.324189,-0.014716,-0.035106,0.000000,0.288017,-0.175892,-64.357350,-0.097127,-0.231701,0.000000,78337.212515,0.982743,0.000017,334.034904,7.283801,5.267310,165.811108,12.335915,39.144540,76.344758,32.989925,-106.972639,39.144540,27.685858,13336.410274,0.337410,64.357350,0.000742,343666.544106,527021.792866,870688.336972,-0.000000,-10671.163508
6.000000,164.918779,-43.054836,2244.121717,37.328616,-10.743507,153.804341,0.700145,-0.029798,0.102706,-0.705947,-0.002651,0.013037,0.000000,-0.434671,0.263575,-12.075838,-0.009284,0.022942,0.000000,-0.588475,-0.072266,-58.132733,-0.061276,0.151418,0.000000,77437.403284,0.973887,0.000017,333.613712,8.058945,5.617274,158.633615,12.086533,38.843899,75.826115,32.989867,-106.972267,38.843899,28.584493,12066.545295,0.592783,58.132733,0.000584,314557.798811,550182.905989,864740.704799,0.000000,-9221.805543
6.600000,187.240142,-49.457487,2334.244103,37.080974,-10.600197,146.625788,0.699771,-0.028469,0.105903,-0.705900,-0.003932,0.008336,0.000000,-0.389875,0.246047,-11.852772,0.004660,0.015600,0.000000,-0.402975,0.126740,-52.433724,0.030755,0.102960,0.000000,76579.013815,0.965439,0.000017,333.211908,8.798409,5.951129,151.612943,11.861735,38.566343,75.263524,32.989809,-106.971898,38.566343,29.703420,10896.414486,0.422377,52.433724,0.000280,287331.057459,572277.873361,859608.930820,-0.000000,-7949.631289
7.200000,209.419866,-55.774088,2420.098867,36.854347,-10.458772,139.577204,0.699346,-0.026919,0.109401,-0.705848,-0.005973,0.011012,0.000000,-0.359829,0.219701,-11.647367,-0.000148,-0.012775,0.000000,0.021248,0.023150,-47.209527,-0.000978,-0.084318,0.000000,75761.272205,0.957391,0.000017,332.829131,9.502856,6.269175,144.739161,11.654995,38.309643,74.652027,32.989752,-106.971530,38.309643,30.911257,9817.910391,0.031494,47.209527,0.000518,261867.808911,593326.563763,855194.372674,0.000000,-6833.067322
7.800000,231.469821,-62.009019,2501.760415,36.648230,-10.323852,132.647131,0.698926,-0.025703,0.112949,-0.705751,-0.005952,0.013775,0.000000,-0.330071,0.222709,-11.455966,-0.005567,0.003115,0.000000,-0.332019,-0.023646,-42.416187,-0.036740,0.020562,0.000000,74984.382049,0.949730,0.000017,332.467321,10.179879,6.584805,138.003392,11.462884,38.074594,73.984579,32.989696,-106.971165,38.074594,31.901295,8823.813151,0.332708,42.416187,0.000743,238061.702687,613347.219390,851408.922077,0.000000,-5853.577685
8.400000,253.403130,-68.161084,2579.297250,36.465618,-10.184801,125.826303,0.698196,-0.022019,0.117861,-0.705794,-0.001115,0.023861,0.000000,-0.298898,0.212071,-11.282444,-0.009733,-0.014697,0.000000,-0.147443,-0.038620,-38.015170,-0.064237,-0.096999,0.000000,74284.736616,0.942207,0.000017,332.218430,11.113538,7.430972,131.399125,11.288395,37.861213,73.253426,32.989641,-106.970802,37.861213,34.107957,7907.612156,0.154006,38.015170,0.001883,215821.626564,632356.634378,848178.260942,-0.000000,-4995.160117
9.000000,275.230096,-74.234096,2652.772066,36.295178,-10.056412,119.105856,0.697444,-0.018722,0.123030,-0.705751,-0.005468,0.021030,0.000000,-0.261030,0.225912,-11.121554,0.007732,0.019105,0.000000,-0.640692,0.190527,-33.980058,0.051028,0.126091,0.000000,73621.783550,0.935078,0.000017,331.982675,11.998584,8.233372,124.918679,11.126911,37.662599,72.452465,32.989586,-106.970441,37.662599,36.008437,7065.000935,0.668420,33.980058,0.001558,195058.456007,650370.179591,845428.635598,0.000000,-4244.743896
