# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,1.886221,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.323342,0.000000,1412.886903,8.345782,0.000000,44.815870,0.704730,-0.057921,0.057921,-0.704730,0.102322,-0.000000,0.000000,14.654633,0.000000,74.527518,0.538644,-0.000000,0.000000,0.000001,15.421502,-5.018911,4.464055,-0.000000,0.000000,85463.808566,0.992428,0.000018,347.220687,10.000000,0.000000,45.586339,75.954652,8.345782,79.450998,32.990254,-106.974960,8.345782,-0.000000,997.985108,15.421502,5.018911,0.043363,23327.321639,311066.124171,334393.445810,87829.712174,-228.793784
1.200000,9.382364,0.000000,1453.105470,13.829112,0.000000,89.277224,0.707067,-0.007483,0.007483,-0.707067,0.281611,0.000000,0.000000,1.461658,-0.000001,74.224456,-0.401246,-0.000000,0.000000,0.000003,-7.057441,-19.160389,-3.197342,-0.000001,0.000000,85043.711190,0.987550,0.000018,347.220687,10.000000,0.000000,90.341945,74.238856,13.829112,81.194817,32.990254,-106.974843,13.829112,-4.107315,3942.834941,6.907060,19.160389,0.316122,89627.576317,312974.571485,402602.147801,168487.727760,-1730.987292
1.800000,17.341293,-0.000000,1519.967677,12.634348,-0.000001,133.469581,0.707090,-0.004815,0.004815,-0.707090,-0.237775,0.000000,0.000000,0.948399,-0.000004,72.782357,-0.020720,-0.000001,0.000000,0.000017,-3.716754,-41.961571,-0.159592,-0.000006,0.000000,84349.012988,0.979483,0.000018,347.220687,10.000000,0.000000,134.066237,72.788562,12.634348,84.592445,32.990254,-106.974711,12.634348,18.114803,8727.716117,3.002545,41.961571,0.216519,193054.719398,320203.539391,513258.258790,243496.135951,-5625.629964
2.400000,25.641006,-0.000001,1612.925315,14.863258,-0.000002,176.037931,0.707093,-0.004452,0.004452,-0.707093,0.114605,-0.000000,0.000000,0.113406,0.000006,69.226637,-1.069296,0.000001,0.000000,-0.000012,-18.568852,-72.559667,-7.855626,0.000005,0.000000,83390.825322,0.968356,0.000018,347.220687,10.000000,0.000000,176.664285,69.226730,14.863258,85.173841,32.990254,-106.974573,14.863258,-0.000230,15015.817045,18.568853,72.559667,0.048234,328022.413957,332484.088996,660506.502953,306291.702351,-12818.701738
3.000000,34.725063,-0.000001,1730.707027,15.928262,0.000001,215.984377,0.707042,-0.009640,0.009640,-0.707042,0.108226,-0.000000,0.000000,1.969105,0.000006,63.635228,-0.163201,0.000000,0.000000,-0.000006,-0.730409,-110.782660,-1.149936,0.000003,0.000000,82189.434481,0.954405,0.000018,347.220687,10.000000,0.000000,216.570913,63.665687,15.928262,85.782227,32.990254,-106.974423,15.928262,-0.000159,22277.917260,1.535102,110.782660,0.041205,482838.853905,349442.838803,832281.692708,351583.189769,-23992.301980
3.600000,44.535385,0.000000,1871.223528,16.904054,0.000004,250.185249,0.707056,-0.008526,0.008526,-0.707056,0.039843,0.000000,0.000000,0.153821,0.000003,14.929829,-0.663655,0.000000,0.000000,-0.000001,-8.914087,-150.773271,-4.441463,0.000000,0.000000,80774.519289,0.937975,0.000018,347.220687,10.000000,0.000000,250.755669,29.527029,16.904054,86.134620,32.990254,-106.974261,16.904054,-0.000184,29377.527288,8.914087,150.773271,0.005367,635486.470724,370920.745712,1006407.216436,282016.542899,-37807.252432
4.200000,54.622613,0.000003,2018.256952,16.740483,0.000004,239.998128,0.707048,-0.009205,0.009205,-0.707048,-0.022874,0.000000,0.000000,-0.401781,-0.000000,-16.597482,-0.282077,-0.000000,0.000000,0.000004,-4.497233,-135.979807,-1.861711,-0.000002,0.000000,79315.165717,0.921029,0.000018,347.220687,10.000000,0.000000,240.581265,16.602345,16.740483,86.009936,32.990254,-106.974094,16.740483,-0.000174,26546.131172,4.501083,135.979807,0.001733,579790.766089,396528.870300,976319.636389,76504.842252,-32714.194068
4.800000,64.639647,0.000005,2159.312554,16.631181,0.000004,230.260542,0.707034,-0.010221,0.010220,-0.707034,-0.018477,-0.000000,0.000000,-0.159869,-0.000001,-15.874033,0.043490,-0.000000,0.000000,0.000001,0.311508,-121.389374,0.287034,-0.000001,0.000000,77935.281640,0.905005,0.000018,347.220687,10.000000,0.000000,230.860377,15.874838,16.631181,85.868834,32.990254,-106.973928,16.631181,-0.000152,24011.541833,0.275279,121.389374,0.001127,532965.135499,423512.449224,956477.584723,-0.002204,-28023.996482
5.400000,74.594350,0.000007,2294.650819,16.536317,0.000003,220.931021,0.707028,-0.010631,0.010631,-0.707028,-0.008626,0.000000,0.000000,-0.117149,-0.000001,-15.239330,0.072246,-0.000000,0.000000,0.000000,0.924776,-108.674926,0.476824,-0.000000,0.000000,76629.664276,0.889844,0.000018,347.220687,10.000000,0.000000,221.549014,15.239780,16.536317,85.719488,32.990254,-106.973763,16.536317,-0.000142,21735.875891,0.959177,108.674926,0.000246,490839.657678,450056.749048,940896.406726,-0.000000,-24076.822647
