# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.374721,-0.205669,1.516310,-0.000000,0.000000,85598.771785,0.799139,0.000022,387.245774,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,39.956938,5.374721,0.205669,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,1.808279,0.000000,1409.992519,7.186790,0.000000,38.393389,0.704621,-0.059239,0.059239,-0.704621,0.067735,-0.000000,0.000000,15.073318,0.000000,76.324434,0.376393,-0.000000,0.000000,0.000001,10.963277,-3.011687,3.203998,-0.000000,0.000000,85494.106137,0.798162,0.000022,387.245774,10.000000,0.000000,39.060239,77.798613,7.186790,79.397604,32.990254,-106.974968,7.186790,-0.000000,591.424377,10.963277,3.011687,0.019012,17132.902618,310547.582001,327680.484620,76823.678718,-117.637210
1.200000,8.485934,0.000000,1447.196204,14.088816,0.000000,86.221391,0.706815,-0.020328,0.020328,-0.706815,0.262029,0.000000,0.000000,5.335034,-0.000000,81.756927,-0.042646,-0.000000,0.000000,0.000000,2.049091,-14.478570,0.008932,-0.000000,0.000000,85105.330581,0.794532,0.000022,387.245774,10.000000,0.000000,87.364884,81.930822,14.088816,80.719723,32.990254,-106.974857,14.088816,-0.324367,2959.968245,1.560345,14.478570,0.271734,83464.215043,310386.752904,393850.967948,176511.948462,-1264.918450
1.800000,17.117028,0.000000,1513.625886,13.999299,0.000000,134.997267,0.707107,-0.000177,0.000177,-0.707107,-0.158821,0.000000,0.000000,-0.698609,-0.000001,79.705458,-0.655043,-0.000000,0.000000,0.000001,-16.205093,-34.601357,-5.141531,-0.000001,0.000000,84414.706262,0.788084,0.000022,387.245774,10.000000,0.000000,135.721194,79.708523,13.999299,84.079555,32.990254,-106.974715,13.999299,-170.712825,7187.431505,16.197164,34.601357,0.094941,196052.038299,315969.402272,512021.440571,263299.125460,-4696.137500
2.400000,26.065024,-0.000000,1608.644446,16.340036,-0.000000,181.070400,0.706979,-0.013470,0.013470,-0.706979,0.150115,0.000000,0.000000,3.291340,0.000002,73.384346,0.017257,0.000001,0.000000,-0.000016,2.821493,-61.577857,0.312217,0.000005,0.000000,83434.757110,0.778936,0.000022,387.245774,10.000000,0.000000,181.806178,73.458122,16.340036,84.843519,32.990254,-106.974566,16.340036,-0.000032,12784.940413,2.079607,61.577857,0.080493,342702.508875,327122.671759,669825.180635,325068.277781,-11195.234902
3.000000,36.177827,-0.000000,1730.177670,17.678313,-0.000000,223.528378,0.706938,-0.015457,0.015457,-0.706938,0.037472,0.000000,0.000000,4.079572,0.000003,66.927312,0.881462,0.000002,0.000000,-0.000033,14.671306,-94.063861,6.013148,0.000013,0.000000,82194.802472,0.767360,0.000022,387.245774,10.000000,0.000000,224.226356,67.051532,17.678313,85.478029,32.990254,-106.974399,17.678313,-0.000011,19193.160853,14.671305,94.063861,0.004753,508432.284562,343163.563838,851595.848400,369555.381792,-21091.596754
3.600000,47.051084,-0.000001,1870.191229,18.310414,-0.000000,235.777959,0.706963,-0.014275,0.014275,-0.706963,0.025272,0.000000,0.000000,0.528039,0.000001,-7.691476,0.563710,0.000002,0.000000,-0.000026,8.856599,-103.886782,3.730972,0.000011,0.000000,80784.841492,0.754197,0.000022,387.245774,10.000000,0.000000,236.487880,7.725020,18.310414,85.559348,32.990254,-106.974219,18.310414,-0.000005,20989.406378,8.856599,103.886782,0.002114,559985.261734,367278.500221,927263.761955,49662.454838,-24567.964744
4.200000,57.997252,-0.000001,2008.989768,18.198621,-0.000000,226.932286,0.706969,-0.013946,0.013946,-0.706969,0.015128,0.000000,0.000000,0.074596,0.000001,-14.508934,0.330022,0.000001,0.000000,-0.000015,5.199808,-93.913663,2.178143,0.000006,0.000000,79406.510349,0.741329,0.000022,387.245774,10.000000,0.000000,227.660827,14.509125,18.198621,85.415031,32.990254,-106.974038,18.198621,0.000003,19113.483232,5.199832,93.913663,0.000755,518294.524355,394029.190210,912323.714564,0.000003,-21380.462221
4.800000,68.881430,-0.000001,2142.566858,18.091284,-0.000000,218.368924,0.706969,-0.013948,0.013948,-0.706969,0.001771,-0.000000,0.000000,0.004080,0.000001,-14.060141,0.224274,0.000001,0.000000,-0.000013,3.436926,-85.000403,1.480210,0.000005,0.000000,78098.072917,0.729113,0.000022,387.245774,10.000000,0.000000,219.117050,14.060142,18.091284,85.264013,32.990254,-106.973857,18.091284,-0.000001,17407.744525,3.436519,85.000403,0.000010,480122.815035,420228.065474,900350.880509,-0.000000,-18625.037617
5.400000,79.708557,-0.000001,2271.083184,17.992590,-0.000000,210.059230,0.706969,-0.013945,0.013945,-0.706969,-0.008867,-0.000000,0.000000,-0.059434,0.000001,-13.656085,0.128139,0.000001,0.000000,-0.000010,1.848263,-76.975701,0.845720,0.000004,0.000000,76855.739975,0.717515,0.000022,387.245774,10.000000,0.000000,210.828398,13.656213,17.992590,85.104289,32.990254,-106.973678,17.992590,0.000007,15853.049121,1.854330,76.975701,0.000263,444486.135628,445434.358063,889920.493691,0.000000,-16228.663689
