# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.329290,-0.281459,2.067947,-0.000000,0.000000,85598.771785,1.089708,0.000017,331.621509,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,54.485406,7.329290,0.281459,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.053667,0.000000,1422.417460,14.090812,0.000000,78.479556,0.705463,-0.048184,0.048184,-0.705463,0.234793,0.000000,0.000000,22.319106,0.000002,145.900673,0.710480,0.000001,0.000000,-0.000015,21.701543,-16.365968,6.215513,0.000005,0.000000,85364.106886,1.086721,0.000017,331.621509,10.000000,0.000000,79.734507,147.597924,14.090812,79.821139,32.990254,-106.974931,14.090812,0.000001,3355.671742,21.702294,16.365968,0.220884,70005.527381,307196.372770,377201.900151,277510.091352,-1304.928669
1.200000,14.904717,-0.000000,1496.863150,19.822163,-0.000004,169.265007,0.706979,-0.013414,0.013415,-0.706979,-0.201188,0.000000,0.000000,4.780280,-0.000014,145.737104,-1.031016,-0.000000,0.000000,0.000000,-24.424743,-74.827234,-8.024194,-0.000001,0.000000,84588.547406,1.076848,0.000017,331.621509,10.000000,0.000000,170.421715,145.815486,19.822163,83.320670,32.990254,-106.974751,19.822163,0.000120,15478.131661,24.354441,74.827234,0.148519,305111.011620,308418.594476,613529.606096,569949.673869,-12752.194465
1.800000,28.592771,-0.000005,1623.912711,25.398248,-0.000011,251.606853,0.706809,-0.020497,0.020497,-0.706809,-0.131601,0.000000,0.000000,5.548246,-0.000010,92.730298,-0.358135,-0.000000,0.000000,0.000000,-8.460045,-172.013547,-2.603123,-0.000003,0.000000,83278.154495,1.060166,0.000017,331.621509,10.000000,0.000000,252.885506,92.896131,25.398248,84.235850,32.990254,-106.974525,25.398248,0.000095,33683.114913,8.464610,172.013547,0.057803,642664.639482,320073.588370,962738.227852,565417.862475,-43499.732912
2.400000,44.127934,-0.000012,1777.011326,25.823954,-0.000012,250.605994,0.706715,-0.023529,0.023529,-0.706715,0.034332,0.000000,0.000000,-0.069326,0.000001,-18.198528,0.646506,-0.000000,0.000000,-0.000000,9.779921,-167.558128,4.266938,-0.000000,0.000000,81720.979343,1.040342,0.000017,331.621509,10.000000,0.000000,251.933008,18.198661,25.823954,84.116663,32.990254,-106.974267,25.823954,0.000085,32798.744625,9.777289,167.558128,0.003891,634702.410462,348530.562363,983232.972824,-0.000000,-42213.423205
3.000000,59.520495,-0.000019,1924.154630,25.508196,-0.000011,239.950763,0.706759,-0.022155,0.022155,-0.706759,0.011465,-0.000000,0.000000,-0.712873,0.000000,-17.351181,-0.352468,-0.000001,0.000000,0.000011,-4.778585,-151.487360,-2.326288,-0.000005,0.000000,80246.677996,1.021574,0.000017,331.621509,10.000000,0.000000,241.302790,17.365818,25.508196,83.931907,32.990254,-106.974012,25.508196,0.000098,29532.099172,4.759769,151.487360,0.000435,582270.366376,377390.220067,959660.586443,0.000000,-36554.322559
3.600000,74.732079,-0.000026,2065.044316,25.206355,-0.000011,229.754510,0.706729,-0.023106,0.023106,-0.706729,-0.014402,-0.000000,0.000000,-0.524162,0.000001,-16.614386,-0.089382,0.000001,0.000000,-0.000009,-1.567341,-136.548699,-0.589924,0.000004,0.000000,78855.290970,1.003861,0.000017,331.621509,10.000000,0.000000,231.133068,16.622652,25.206355,83.739122,32.990254,-106.973761,25.206355,0.000093,26611.530593,1.578211,136.548699,0.000684,534224.954042,405023.336811,939248.290853,0.000000,-31560.919781
4.200000,89.780385,-0.000032,2199.952644,24.948708,-0.000011,220.015825,0.706698,-0.024037,0.024037,-0.706698,-0.009681,0.000000,0.000000,-0.394291,0.000001,-15.865126,0.037164,0.000000,0.000000,-0.000002,0.365696,-121.425312,0.245281,0.000001,0.000000,77541.346241,0.987134,0.000017,331.621509,10.000000,0.000000,221.425837,15.870025,24.948708,83.530576,32.990254,-106.973511,24.948708,0.000094,24002.367392,0.343766,121.425312,0.000309,490294.012796,431483.311853,921777.324649,0.000000,-26886.701232
4.800000,104.679885,-0.000039,2329.147018,24.713460,-0.000010,210.697851,0.706674,-0.024720,0.024720,-0.706674,-0.005498,0.000000,0.000000,-0.358216,0.000001,-15.211703,0.033975,0.000000,0.000000,-0.000001,0.406801,-108.337441,0.224237,0.000000,0.000000,76299.726070,0.971327,0.000017,331.621509,10.000000,0.000000,212.142262,15.215920,24.713460,83.310152,32.990254,-106.973265,24.713460,0.000094,21665.491461,0.406016,108.337441,0.000100,450043.395303,456822.592023,906865.987326,-0.000000,-22982.949855
5.400000,119.442500,-0.000045,2452.863324,24.495550,-0.000010,201.747344,0.706650,-0.025395,0.025395,-0.706650,-0.004401,0.000000,0.000000,-0.337477,0.000001,-14.637640,0.018466,0.000000,0.000000,-0.000002,0.203321,-96.855045,0.121874,0.000001,0.000000,75125.890251,0.956384,0.000017,331.621509,10.000000,0.000000,203.228991,14.641530,24.495550,83.077207,32.990254,-106.973020,24.495550,0.000093,19563.843856,0.205843,96.855045,0.000064,413020.228529,481087.442329,894107.670858,0.000000,-19683.753119
6.000000,134.079007,-0.000050,2571.308379,24.293977,-0.000009,193.120062,0.706624,-0.026129,0.026129,-0.706624,-0.004432,0.000000,0.000000,-0.316744,0.000001,-14.132282,0.009356,0.000000,0.000000,-0.000002,0.071671,-86.744238,0.061750,0.000001,0.000000,74015.812553,0.942252,0.000017,331.621509,10.000000,0.000000,194.642122,14.135831,24.293977,82.830010,32.990254,-106.972778,24.293977,0.000091,17667.076304,0.070719,86.744238,0.000065,378855.555190,504318.426391,883173.981581,0.000000,-16884.082508
6.600000,148.599083,-0.000056,2684.664326,24.107317,-0.000009,184.778019,0.706594,-0.026923,0.026923,-0.706594,-0.004873,0.000000,0.000000,-0.297245,0.000001,-13.683713,0.002980,0.000000,0.000000,-0.000001,-0.027267,-77.768821,0.019668,0.000001,0.000000,72965.905382,0.928886,0.000017,331.621509,10.000000,0.000000,186.343980,13.686942,24.107317,82.566813,32.990254,-106.972538,24.107317,0.000091,15949.878015,0.035867,77.768821,0.000078,347240.789615,526551.268325,873792.057940,-0.000000,-14491.751606
7.200000,163.011388,-0.000061,2793.092784,23.934696,-0.000009,176.690288,0.706560,-0.027784,0.027784,-0.706560,-0.004910,-0.000000,0.000000,-0.278944,0.000000,-13.283922,-0.002030,0.000000,0.000000,-0.000001,-0.100725,-69.768773,-0.013395,0.000000,0.000000,71972.953198,0.916246,0.000017,331.621509,10.000000,0.000000,178.304032,13.286850,23.934696,82.285597,32.990254,-106.972299,23.934696,0.000090,14391.304351,0.100804,69.768773,0.000080,317923.276924,547817.667012,865740.943936,-0.000000,-12440.053526
7.800000,177.323691,-0.000067,2896.737499,23.774406,-0.000009,168.827365,0.706523,-0.028725,0.028725,-0.706523,-0.004750,0.000000,0.000000,-0.261179,0.000000,-12.931419,-0.004464,-0.000000,0.000000,0.000000,-0.132956,-62.713160,-0.029460,-0.000000,0.000000,71034.064969,0.904293,0.000017,331.621509,10.000000,0.000000,170.493113,12.934056,23.774406,81.984270,32.990254,-106.972062,23.774406,0.000090,12973.178884,0.132951,62.713160,0.000074,290679.015546,568145.815934,858824.831480,-0.000000,-10692.161937
8.400000,191.542888,-0.000072,2995.725798,23.625115,-0.000008,161.165442,0.706479,-0.029774,0.029774,-0.706479,-0.004615,0.000000,0.000000,-0.241224,0.000000,-12.613267,-0.001648,0.000000,0.000000,-0.000001,-0.084458,-56.339214,-0.010878,0.000000,0.000000,70146.641272,0.892996,0.000017,331.621509,10.000000,0.000000,162.887831,12.615573,23.625115,81.660453,32.990254,-106.971826,23.625115,0.000088,11680.362968,0.084458,56.339214,0.000070,265324.456547,587560.687976,852885.144523,-0.000000,-9176.972444
9.000000,205.675359,-0.000077,3090.172411,23.485142,-0.000008,153.685422,0.706430,-0.030916,0.030916,-0.706430,-0.005570,-0.000000,0.000000,-0.222347,0.000000,-12.325101,0.002376,-0.000000,0.000000,0.000000,-0.029755,-50.564937,0.015683,-0.000000,0.000000,69308.323251,0.882324,0.000017,331.621509,10.000000,0.000000,155.469485,12.327107,23.485142,81.311669,32.990254,-106.971592,23.485142,0.000089,10500.121162,0.029755,50.564937,0.000102,241707.606922,606084.785543,847792.392466,-0.000000,-7861.304694
9.600000,219.727028,-0.000081,3180.181263,23.354697,-0.000008,146.370316,0.706377,-0.032105,0.032105,-0.706377,-0.006375,0.000000,0.000000,-0.210494,0.000000,-12.062936,-0.001669,-0.000000,0.000000,0.000002,-0.099066,-45.321572,-0.011018,-0.000001,0.000000,68516.963052,0.872250,0.000017,331.621509,10.000000,0.000000,148.221832,12.064773,23.354697,80.934363,32.990254,-106.971360,23.354697,0.000094,9421.436795,0.099066,45.321572,0.000134,219697.114229,623738.491743,843435.605972,0.000000,-6717.646381
10.200000,233.703099,-0.000086,3265.846730,23.233517,-0.000008,139.205070,0.706316,-0.033434,0.033434,-0.706316,-0.006343,0.000000,0.000000,-0.196911,0.000000,-11.824630,-0.002512,0.000000,0.000000,-0.000003,-0.108282,-40.551151,-0.016581,0.000001,0.000000,67770.601086,0.862748,0.000017,331.621509,10.000000,0.000000,141.130606,11.826270,23.233517,80.524594,32.990254,-106.971128,23.233517,0.000089,8434.732997,0.108282,40.551151,0.000133,199178.478792,640540.316792,839718.795584,0.000000,-5723.008442
10.800000,247.608571,-0.000091,3347.254660,23.119658,-0.000008,132.176396,0.706244,-0.034918,0.034918,-0.706244,-0.007229,-0.000000,0.000000,-0.181810,0.000000,-11.607720,0.000514,-0.000000,0.000000,0.000000,-0.065228,-36.204412,0.003395,-0.000000,0.000000,67067.447028,0.853797,0.000017,331.621509,10.000000,0.000000,134.183152,11.609144,23.119658,80.078470,32.990254,-106.970898,23.119658,0.000088,7531.649498,0.065228,36.204412,0.000172,180051.182981,656507.098312,836558.281292,0.000000,-4858.022126
