# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.375164,-1.245371,9.146832,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,22.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,240.546893,32.375164,1.245371,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.039989,0.000000,1411.132406,7.671488,0.000000,40.386326,0.705247,-0.051241,0.051241,-0.705247,0.251927,-0.000000,0.000000,13.499368,0.000001,72.297346,1.135696,-0.000001,0.000000,0.000022,34.006991,-4.593972,9.697875,-0.000006,0.000000,85482.173092,0.992641,0.000018,347.220687,22.000000,0.000000,41.108479,73.546850,7.671488,79.244654,32.990254,-106.974964,7.671488,0.000667,911.424348,34.006991,4.593972,0.262928,18973.861054,310745.829525,329719.690579,76984.241816,-188.851214
1.200000,7.801953,0.000001,1448.275765,8.636297,0.000006,83.069990,0.704221,0.063827,-0.063827,-0.704221,0.665490,-0.000000,0.000000,-14.625233,0.000025,68.174522,-0.617411,0.000004,0.000000,-0.000098,-6.653417,-17.040798,-4.181669,0.000032,0.000000,85094.070672,0.988135,0.000018,347.220687,22.000000,0.000000,83.517716,69.725630,8.636297,84.064619,32.990254,-106.974869,8.636297,-180.022303,3497.607253,6.614950,17.040798,1.762976,76519.020977,311604.831562,388123.852539,146802.644985,-1423.208490
1.800000,8.960091,0.000007,1509.721709,-5.446594,0.000012,121.067470,0.700838,0.093962,-0.093962,-0.700838,-0.444328,0.000002,0.000000,-20.743579,-0.000004,61.873590,-0.826221,0.000014,0.000000,-0.000347,-25.108041,-36.363320,-6.788941,0.000111,0.000000,84455.169404,0.980716,0.000018,347.220687,22.000000,0.000000,121.189923,65.258286,5.445864,87.424510,32.990254,-106.974850,5.445864,-180.000067,7556.731431,25.612142,36.363320,0.754738,157596.599667,317730.794815,475327.394482,198460.610221,-4406.868039
2.400000,3.274931,0.000000,1593.531850,-12.937393,-0.000056,157.990402,0.702714,0.078737,-0.078735,-0.702713,0.362915,0.000003,0.000000,-15.864795,-0.000161,58.540917,-0.679420,0.000010,0.000000,-0.000264,-6.588983,-61.194592,-4.614779,0.000080,0.000000,83589.997799,0.970669,0.000018,347.220687,22.000000,0.000000,158.519221,60.652543,12.937393,85.318654,32.990254,-106.974944,12.937393,-180.000637,12706.828388,6.195152,61.194592,0.483229,263957.919739,328307.998473,592265.918212,243366.295030,-9700.518972
3.000000,-7.629512,-0.000068,1698.258439,-22.413481,-0.000168,190.299807,0.703349,0.072846,-0.072843,-0.703348,0.105254,0.000004,0.000000,-10.792129,-0.000187,49.723621,1.846029,0.000020,0.000000,-0.000419,33.890074,-89.300832,13.105754,0.000143,0.000000,82519.006951,0.958232,0.000018,347.220687,22.000000,0.000000,191.615189,50.881315,22.413481,83.282659,32.990254,-106.975124,22.413481,-180.000850,18295.805802,33.888007,89.300832,0.039043,378179.725763,343077.944661,721257.670424,255836.809816,-17111.395842
3.600000,-23.501065,-0.000208,1820.853504,-30.328697,-0.000292,217.599041,0.702658,0.079229,-0.079226,-0.702658,0.051107,0.000003,0.000000,-9.982934,-0.000139,38.853330,1.379875,0.000042,0.000000,-0.000701,22.390791,-118.556639,9.391207,0.000286,0.000000,81279.428132,0.943838,0.000018,347.220687,22.000000,0.000000,219.702464,41.282171,30.328697,82.065299,32.990254,-106.975387,30.328697,-180.000820,23637.308544,22.390791,118.556639,0.008859,488549.300734,361463.301423,850012.602157,256585.014977,-26047.185750
4.200000,-41.461072,-0.000381,1948.645398,-29.511450,-0.000280,208.443818,0.702157,0.083554,-0.083552,-0.702157,0.063470,0.000003,0.000000,1.702105,0.000026,-14.865501,0.554699,0.000012,0.000000,-0.000229,9.348303,-106.340259,3.661014,0.000078,0.000000,80003.397345,0.929020,0.000018,347.220687,22.000000,0.000000,210.522566,14.962630,29.511450,81.941629,32.990254,-106.975685,29.511450,-180.000860,21414.969002,9.346974,106.340259,0.013354,444070.748051,382946.699837,827017.447888,79630.160674,-22387.024239
4.800000,-58.959933,-0.000546,2071.046138,-28.781314,-0.000269,199.623538,0.701770,0.086739,-0.086737,-0.701770,0.044394,0.000002,0.000000,1.400561,0.000023,-14.381743,0.277052,0.000009,0.000000,-0.000162,4.889273,-95.568326,1.828540,0.000059,0.000000,78796.455420,0.915005,0.000018,347.220687,22.000000,0.000000,201.687682,14.449779,28.781314,81.795748,32.990254,-106.975974,28.781314,-180.000854,19411.055774,4.880489,95.568326,0.006503,406779.217322,406200.492140,812979.709462,-0.000955,-19274.954058
5.400000,-76.031787,-0.000705,2188.247890,-28.107293,-0.000259,191.102770,0.701419,0.089538,-0.089535,-0.701419,0.026389,0.000001,0.000000,1.251085,0.000020,-13.926464,0.205008,0.000006,0.000000,-0.000108,3.520488,-86.039717,1.353053,0.000037,0.000000,77654.637891,0.901746,0.000018,347.220687,22.000000,0.000000,193.158713,13.982547,28.107293,81.632956,32.990254,-106.976257,28.107293,-180.000834,17598.029340,3.511391,86.039717,0.002298,373102.886734,429187.623456,802290.510189,0.000000,-16619.321094
