# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-96.475870,0.000000,-4.021636,0.000000,27.365897,0.000000,85598.771785,0.993995,0.000018,347.220687,0.000000,40.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,795.196339,96.475870,4.021636,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,1.795348,0.064470,1409.958730,7.111544,0.395394,38.249588,0.701962,-0.038167,0.085168,-0.706073,-0.002926,0.615648,0.000000,15.095478,-2.041631,75.908739,-0.027683,2.755916,0.000000,-85.288735,-0.818330,-7.610757,-0.233092,23.607728,0.000000,85494.459877,0.992784,0.000018,347.220687,0.000000,40.000000,38.907085,77.422061,7.122519,79.451666,32.990255,-106.974968,7.122519,20.693903,1529.945817,85.292656,7.610757,1.570668,17000.388095,310540.221956,327540.610051,76523.330460,-296.112578
1.200000,8.753120,-3.309129,1446.282359,15.788194,-18.376500,80.654246,0.631316,0.200404,0.322607,-0.676167,-0.037218,1.113735,0.000000,12.071654,-65.016694,53.489388,-0.045205,-3.127665,0.000000,57.938779,-1.639836,-24.296401,-0.407127,-23.289427,0.000000,85114.863013,0.988376,0.000018,347.220687,0.000000,40.000000,84.214435,85.053060,24.227324,73.280528,32.990224,-106.974853,24.227324,74.883984,5022.033242,57.884289,24.296401,4.914706,77557.829102,310190.754188,387748.583291,170146.623456,-2046.107544
1.800000,20.286590,-27.160046,1502.929084,23.019352,-59.619176,109.225695,0.648612,0.162608,0.296586,-0.681830,0.001221,-0.738102,0.000000,14.802710,-52.158432,60.165625,0.078565,3.535104,0.000000,-59.345648,1.645961,-52.824145,0.593185,25.645894,0.000000,84525.606036,0.981534,0.000018,347.220687,0.000000,40.000000,126.548753,80.991168,63.908814,59.667753,32.990010,-106.974662,63.908814,72.304155,10985.383767,60.635047,52.824145,2.050397,170449.932950,313736.449866,484186.382816,245504.528832,-6684.830756
2.400000,36.698254,-71.921765,1579.112612,31.261082,-91.651232,142.168391,0.628730,0.204443,0.339424,-0.669092,-0.018001,-0.278788,0.000000,12.107484,-61.149720,43.546592,0.093243,-4.474498,0.000000,85.085189,1.275540,-91.474990,0.643611,-32.323219,0.000000,83738.334090,0.972392,0.000018,347.220687,0.000000,40.000000,172.014694,76.040679,96.835963,55.739827,32.989607,-106.974390,96.835963,74.280153,18728.821768,85.094884,91.474990,0.278803,306783.111528,321117.321373,627900.432901,307562.268021,-15735.042331
3.000000,57.778724,-136.481985,1673.057164,38.880687,-123.463581,170.277282,0.632237,0.196827,0.335429,-0.670087,-0.011814,-0.202954,0.000000,11.711392,-53.735023,40.563878,0.079122,-2.855453,0.000000,47.800175,0.935148,-140.680038,0.521540,-19.577189,0.000000,82775.707812,0.961213,0.000018,347.220687,0.000000,40.000000,213.890899,68.337647,129.440966,52.758718,32.989027,-106.974041,129.440966,73.739291,27503.388799,47.809487,140.680038,0.139918,462642.293783,331834.879313,794477.173095,352432.572428,-30090.179851
3.600000,82.298086,-215.446543,1778.642122,41.617248,-134.800542,176.274652,0.635074,0.190579,0.332357,-0.670741,-0.004807,-0.094871,0.000000,-0.680543,4.297810,-12.535436,0.018731,1.797392,0.000000,-23.709492,0.171307,-154.183450,0.123525,11.868071,0.000000,81704.520270,0.948774,0.000018,347.220687,0.000000,40.000000,225.778507,13.527926,141.078635,51.328517,32.988317,-106.973635,141.078635,73.266115,30057.160933,23.710111,154.183450,0.029867,510415.718170,349299.580128,859715.298298,47413.486600,-34811.309265
4.200000,107.048331,-295.340106,1881.739868,40.886986,-131.582924,167.398478,0.632253,0.195651,0.340067,-0.668077,-0.007440,0.092377,0.000000,-1.147786,5.433770,-14.309977,-0.022169,0.727968,0.000000,-12.226106,-0.460161,-142.476879,-0.146315,4.804587,0.000000,80669.424742,0.936755,0.000018,347.220687,0.000000,40.000000,216.813427,15.349878,137.789011,50.541526,32.987598,-106.973226,137.789011,73.335041,27697.347798,12.231491,142.476879,0.028342,470080.648727,369071.285469,839151.934196,0.000000,-30890.900290
4.800000,131.366583,-373.417010,1979.552973,40.189852,-128.671504,158.735174,0.628678,0.201936,0.349273,-0.664823,-0.009365,0.072393,0.000000,-1.142527,4.574278,-14.288623,-0.009049,-0.282730,0.000000,2.788837,-0.302574,-130.073669,-0.059726,-1.866018,0.000000,79697.227694,0.925465,0.000018,347.220687,0.000000,40.000000,208.250896,15.046400,134.802003,49.661226,32.986896,-106.972823,134.802003,73.434165,25571.599563,2.719452,130.073669,0.017584,433684.374240,388255.663267,821940.037507,0.000000,-27087.958051
5.400000,155.282210,-449.808482,2072.257637,39.540369,-125.974386,150.350434,0.625917,0.206454,0.356963,-0.661950,-0.009712,0.038140,0.000000,-1.066144,4.232534,-13.866349,-0.000327,-0.291089,0.000000,3.602945,-0.175486,-119.163294,-0.002156,-1.921190,0.000000,78784.583469,0.914867,0.000018,347.220687,0.000000,40.000000,200.095576,14.537078,132.034036,48.711196,32.986209,-106.972427,132.034036,73.440899,23656.725251,3.607075,119.163294,0.005112,400382.401671,406438.107123,806820.508793,0.000000,-23844.047926
6.000000,178.822969,-524.627634,2160.019003,38.935951,-123.446328,142.232561,0.623229,0.210683,0.364508,-0.659036,-0.009905,0.029034,0.000000,-0.986160,4.012018,-13.401784,0.001026,-0.147690,0.000000,1.695811,-0.152492,-109.520097,0.006771,-0.974752,0.000000,77928.420034,0.904925,0.000018,347.220687,0.000000,40.000000,192.315121,14.024144,129.441123,47.695714,32.985537,-106.972037,129.441123,73.428008,21926.706993,1.697133,109.520097,0.003106,369851.059389,423651.007057,793502.066447,-0.000000,-21062.370588
6.600000,202.013324,-597.975692,2242.982820,38.370688,-121.073878,134.347771,0.620294,0.215198,0.372476,-0.655884,-0.010256,0.030392,0.000000,-0.919014,3.795774,-13.004107,0.000449,-0.069050,0.000000,0.535000,-0.160646,-100.946534,0.002966,-0.455728,0.000000,77126.002039,0.895607,0.000018,347.220687,0.000000,40.000000,184.879738,13.577897,127.008636,46.608497,32.984877,-106.971653,127.008636,73.419753,20360.034436,0.557365,100.946534,0.003395,341805.177194,439922.949434,781728.126628,-0.000000,-18662.968684
