# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-227.690887,215.262481,-11.742659,61.763065,65.329021,0.000000,85598.771785,0.993995,0.000018,347.220687,48.000000,50.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,2387.577009,313.338596,11.742659,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.139174,0.151439,1411.026536,8.052186,0.612705,40.000193,0.699502,0.052690,0.064583,-0.709756,1.208872,1.284316,0.000000,7.200377,-7.574103,72.375601,3.813122,4.075970,0.000000,-138.988191,130.137122,-13.700731,32.974445,35.238478,0.000000,85483.281352,0.992654,0.000018,347.220687,48.000000,50.000000,40.807196,73.126189,8.075413,78.586245,32.990255,-106.974963,8.075413,83.769762,2796.777922,190.403245,13.700731,12.887322,18709.400623,310722.399459,329431.800082,76419.630560,-559.088446
1.200000,3.472702,-5.311004,1445.014065,-10.445239,-24.359087,64.181875,0.506941,0.645339,0.068223,-0.567363,0.561253,0.631543,0.000000,-54.677671,-58.250741,-7.439275,-6.919101,-7.314873,0.000000,164.194460,-155.893845,-31.125417,-54.471065,-57.544674,0.000000,85128.094169,0.988530,0.000018,347.220687,48.000000,50.000000,69.439052,80.237927,26.504112,67.561658,32.990206,-106.974941,26.504112,125.746251,6457.290711,226.412575,31.125417,2.841842,52897.223603,310902.887245,363800.110848,122056.573154,-2161.319081
1.800000,-11.798905,-29.951620,1483.877050,-37.264692,-55.846893,72.469766,0.627692,0.404412,0.073900,-0.661068,-0.148303,-0.159896,0.000000,-26.906385,-39.993047,46.299824,7.283933,7.690297,0.000000,-160.653551,152.223340,-56.143586,55.545611,58.640933,0.000000,84723.421399,0.983831,0.000018,347.220687,48.000000,50.000000,98.789674,66.836144,67.138161,47.187054,32.989985,-106.975193,67.138161,123.160843,11670.936466,221.317751,56.143586,0.181845,104721.438410,312291.618470,417013.056880,161777.970243,-5546.406579
2.400000,-40.428564,-71.653142,1532.971752,-60.303364,-84.570284,86.366150,0.572295,0.535474,0.075325,-0.616520,-0.680455,-0.706872,0.000000,-40.361105,-49.168719,16.752877,-1.038746,-1.192785,0.000000,37.033223,-33.595549,-88.861405,-8.317891,-9.475253,0.000000,84214.435994,0.977920,0.000018,347.220687,48.000000,50.000000,135.084197,65.782089,103.868324,39.743406,32.989610,-106.975668,103.868324,124.862274,18237.180130,46.674997,88.861405,3.531551,191684.519767,315831.010267,507515.530035,207389.482433,-12003.771065
3.000000,-82.835621,-130.374123,1589.073723,-81.305621,-110.986645,98.303211,0.570593,0.539960,0.076707,-0.614014,-0.362618,-0.371983,0.000000,-34.728711,-42.273091,11.520142,-1.828714,-2.000601,0.000000,41.337777,-38.283183,-128.129349,-13.218922,-14.438836,0.000000,83635.837540,0.971201,0.000018,347.220687,48.000000,50.000000,169.092166,55.909022,137.581392,35.546167,32.989082,-106.976370,137.581392,124.815421,25396.994327,56.921999,128.129349,0.950853,294502.961438,321022.887870,615525.849308,225811.108201,-21665.669023
3.600000,-137.198396,-203.998351,1650.863606,-99.747257,-134.061162,106.599013,0.576071,0.530136,0.078099,-0.617273,-0.145360,-0.148320,0.000000,4.000912,4.443984,-10.160552,2.416501,2.522217,0.000000,-32.520017,31.089888,-165.366182,15.963434,16.661920,0.000000,83002.307089,0.963845,0.000018,347.220687,48.000000,50.000000,198.205096,15.604944,167.098506,32.535479,32.988420,-106.977270,167.098506,124.642114,32323.064849,44.990361,165.366182,0.146290,397620.096193,327718.077216,725338.173409,231478.776537,-32776.419951
4.200000,-196.168036,-283.365583,1712.566769,-96.878830,-130.551230,99.034428,0.570220,0.542695,0.079251,-0.611620,0.125059,0.139339,0.000000,4.696834,5.722129,-12.284454,0.468182,0.516707,0.000000,-10.121195,9.146913,-155.531237,3.089999,3.410268,0.000000,82373.549065,0.956543,0.000018,347.220687,48.000000,50.000000,190.360052,14.342625,162.570389,31.348885,32.987706,-106.978246,162.570389,124.685407,30320.719630,13.784979,155.531237,0.116207,363083.581420,336552.660168,699636.241588,72003.689209,-29606.934398
4.800000,-253.519248,-360.716790,1769.652266,-94.281048,-127.294941,91.366148,0.563580,0.556481,0.080540,-0.605184,0.038162,0.049286,0.000000,4.023240,5.185141,-13.149590,-0.734615,-0.773363,0.000000,10.143998,-9.803305,-146.626328,-4.848459,-5.104194,0.000000,81795.285233,0.949828,0.000018,347.220687,48.000000,50.000000,182.867960,14.696389,158.407443,29.975462,32.987010,-106.979196,158.407443,124.726049,28506.801721,14.090617,146.626328,0.012826,334406.922532,347087.207826,681494.130358,-0.000018,-26813.257592
5.400000,-309.338768,-436.156754,1822.224966,-91.805993,-124.199797,83.913643,0.560127,0.564022,0.081908,-0.601212,-0.004507,0.003893,0.000000,3.968207,4.986631,-12.361774,-0.152279,-0.165462,0.000000,2.321399,-2.288858,-137.278614,-1.005042,-1.092052,0.000000,81265.646844,0.943678,0.000018,347.220687,48.000000,50.000000,175.770957,13.907790,154.447175,28.515947,32.986332,-106.980120,154.447175,124.711054,26863.109218,3.122296,137.278614,0.000115,308954.294781,357398.449285,666352.744067,0.000000,-24129.593436
