# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000
0.550000,1.802459,0.001016,1481.518634,7.787937,0.007590,42.356047,0.704341,-0.061426,0.062481,-0.704433,-0.011130,0.017190,0.000000
1.100000,8.783392,-0.090602,1518.253276,17.108099,-0.508871,87.674585,0.702750,-0.060246,0.079469,-0.704412,-0.068815,0.062984,0.000000
1.650000,19.512824,-0.611789,1571.163628,22.043191,-1.452034,104.743447,0.701335,-0.064561,0.093762,-0.703683,-0.004420,-0.017921,0.000000
2.200000,33.069638,-1.650538,1633.590518,27.222787,-2.283440,122.381500,0.701684,-0.064419,0.090645,-0.703756,-0.016003,0.029209,0.000000
2.750000,49.484286,-3.187738,1705.741484,32.542588,-3.390460,139.846600,0.700391,-0.065141,0.102157,-0.703401,-0.010031,-0.001945,0.000000
3.300000,68.823074,-5.365989,1787.120859,37.674976,-4.511099,155.715907,0.700090,-0.064623,0.104554,-0.703396,-0.026886,0.029820,0.000000
3.850000,90.875248,-8.183179,1876.609055,42.447013,-5.720040,169.318287,0.699478,-0.065006,0.109652,-0.703194,-0.003701,0.009759,0.000000
4.400000,115.394780,-11.641033,1972.865270,46.597662,-6.850342,180.095276,0.698721,-0.064685,0.115569,-0.703029,-0.006171,0.006401,0.000000
4.950000,141.606617,-15.573683,2072.665296,48.105418,-7.282876,180.458794,0.698066,-0.064230,0.120472,-0.702897,-0.010272,0.006885,0.000000
5.500000,167.942197,-19.541536,2169.975727,47.659161,-7.139476,173.424388,0.697782,-0.064655,0.122744,-0.702748,-0.014562,0.013737,0.000000
6.050000,194.041253,-23.433702,2263.456473,47.247206,-7.008383,166.529876,0.697439,-0.065213,0.125465,-0.702556,-0.010603,0.009124,0.000000
6.600000,219.919374,-27.252863,2353.182300,46.861602,-6.882479,159.765908,0.696956,-0.065761,0.129154,-0.702315,-0.008143,0.004292,0.000000
7.150000,245.591756,-31.002810,2439.221786,46.498070,-6.757071,153.123529,0.696440,-0.066361,0.133021,-0.702049,-0.012148,0.008007,0.000000
7.700000,271.072006,-34.686820,2521.638388,46.159692,-6.638320,146.591613,0.695949,-0.067162,0.136708,-0.701752,-0.013835,0.009895,0.000000
