# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-153.641789,151.307625,-0.612312,217.622219,220.979392,0.000000,101325.000000,1.176613,0.000018,347.220687,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,117.661252,215.638115,0.612312,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.600000,2.375453,0.059519,13.037056,9.035832,0.695700,45.959342,0.703900,-0.025044,0.062083,-0.707137,0.380613,0.396378,0.000000,18.455451,1.561801,86.780302,-0.831248,-0.765577,0.000000,-194.164432,185.388778,-6.483557,252.834649,264.807873,0.000000,101168.481916,1.174795,0.000018,347.220687,10.000000,10.000000,46.844331,88.734794,9.062574,78.845137,32.990255,-106.974959,9.062574,22.899892,1292.133925,268.456376,6.483557,2.261120,38875.528521,4529.676289,43405.204810,163039.588553,-303.717913
1.200000,9.791733,-0.765627,57.143891,14.251344,-5.011332,101.144914,0.700764,0.036357,0.066421,-0.709363,0.000236,0.018076,0.000000,4.199824,-14.380624,90.401926,-0.059583,-0.081940,0.000000,-8.938692,-0.389860,-29.594057,-0.500695,11.369655,0.000000,100640.402437,1.168663,0.000018,347.220687,10.000000,10.000000,102.266847,91.634869,15.106762,81.505234,32.990247,-106.974836,15.106762,73.345903,6120.116207,8.947178,29.594057,0.001811,171064.255960,18332.007229,189396.263189,342021.739152,-3026.490905
1.800000,19.092849,-6.404514,133.961094,16.717273,-13.680948,153.725138,0.700569,0.038147,0.069350,-0.709182,-0.002886,0.009720,0.000000,3.041936,-10.723987,60.932981,0.001101,-0.003711,0.000000,-3.797813,-1.127598,-67.524070,-1.321653,4.451401,0.000000,99726.020165,1.158045,0.000018,347.220687,10.000000,10.000000,155.235478,61.944214,21.601749,82.001064,32.990196,-106.974682,21.601749,73.463507,14033.954483,3.961674,67.524070,0.000363,364660.436890,39759.053485,404419.490375,346927.966153,-10482.131113
2.400000,29.260889,-15.098444,227.631372,16.944271,-14.481203,153.147300,0.700395,0.039614,0.072018,-0.709007,-0.002935,0.009884,0.000000,-0.099562,0.350995,-11.989636,-0.000362,0.001219,0.000000,-0.065304,-0.019387,-66.397942,-0.002386,0.008046,0.000000,98620.144585,1.145203,0.000018,347.220687,10.000000,10.000000,154.760812,11.995186,22.289315,81.719218,32.990118,-106.974514,22.289315,73.463508,13800.639907,0.068121,66.397942,0.000351,359263.635603,66969.035841,426232.671444,0.009574,-10275.799408
3.000000,39.409916,-23.725348,317.375102,16.886447,-14.277352,146.020115,0.700205,0.041166,0.074839,-0.708814,-0.003196,0.010765,0.000000,-0.093201,0.328571,-11.770894,-0.000212,0.000716,0.000000,-0.064162,-0.019045,-59.811411,-0.001397,0.004723,0.000000,97569.960947,1.133008,0.000018,347.220687,10.000000,10.000000,147.685033,11.775848,22.113228,81.388583,32.990041,-106.974345,22.113228,73.463511,12439.684199,0.066929,59.811411,0.000416,327163.033917,93371.596292,420534.630208,0.000064,-8833.250229
3.600000,49.525398,-32.233991,402.881939,16.832289,-14.086424,139.018363,0.699989,0.042857,0.077912,-0.708596,-0.003492,0.011761,0.000000,-0.087294,0.307754,-11.570630,-0.000308,0.001084,0.000000,-0.068090,-0.020137,-53.782485,-0.002030,0.007156,0.000000,96577.799786,1.121487,0.000018,347.220687,10.000000,10.000000,140.740394,11.575051,21.948879,81.027932,32.989964,-106.974178,21.948879,73.463516,11188.479855,0.071005,53.782485,0.000497,297117.877863,118527.664942,415645.542805,-0.000002,-7569.367916
4.200000,59.609377,-40.631574,484.221032,16.781573,-13.907630,132.131918,0.699743,0.044705,0.081273,-0.708347,-0.003827,0.012890,0.000000,-0.081746,0.288184,-11.387138,-0.000357,0.001199,0.000000,-0.070787,-0.021027,-48.258703,-0.002358,0.007910,0.000000,95641.595548,1.110615,0.000018,347.220687,10.000000,10.000000,133.917464,11.391078,21.795489,80.633265,32.989889,-106.974011,21.795489,73.463516,10037.968048,0.073844,48.258703,0.000597,269008.306563,142457.585644,411465.892207,0.000000,-6462.683101
4.800000,69.663911,-48.925352,561.460563,16.734082,-13.740206,125.350894,0.699462,0.046733,0.084959,-0.708061,-0.004204,0.014160,0.000000,-0.076598,0.270032,-11.218829,-0.000823,0.002744,0.000000,-0.081648,-0.024288,-43.194015,-0.005433,0.018112,0.000000,94759.392522,1.100371,0.000018,347.220687,10.000000,10.000000,127.207190,11.222339,21.652316,80.199797,32.989814,-106.973845,21.652316,73.463524,8980.012841,0.085184,43.194015,0.000720,242725.040302,165181.417031,407906.457334,0.000000,-5494.589237
5.400000,79.690872,-57.121925,634.660978,16.689627,-13.583484,118.666588,0.699137,0.048966,0.089018,-0.707732,-0.004644,0.015641,0.000000,-0.071687,0.252724,-11.064468,-0.000948,0.003187,0.000000,-0.086684,-0.025747,-38.548588,-0.006257,0.021034,0.000000,93929.415555,1.090733,0.000018,347.220687,10.000000,10.000000,120.601881,11.067586,21.518705,79.721814,32.989740,-106.973679,21.518705,73.463538,8007.448042,0.090427,38.548588,0.000878,218172.206399,186716.942407,404889.148806,-0.000000,-4649.032106
6.000000,89.692029,-65.227526,703.877821,16.648039,-13.436871,112.071011,0.698760,0.051435,0.093508,-0.707351,-0.005145,0.017329,0.000000,-0.067046,0.236344,-10.922858,-0.001096,0.003590,0.000000,-0.091697,-0.027396,-34.287577,-0.007235,0.023691,0.000000,93150.030234,1.081683,0.000018,347.220687,10.000000,10.000000,114.094777,10.925621,21.394081,79.192408,32.989667,-106.973513,21.394081,73.463560,7113.899169,0.095702,34.287577,0.001078,195264.272061,207080.502878,402344.774939,-0.000000,-3912.033284
6.600000,99.669054,-73.248055,769.162107,16.609164,-13.299821,105.556854,0.698318,0.054179,0.098495,-0.706904,-0.005735,0.019318,0.000000,-0.062773,0.221255,-10.792877,-0.001971,0.006402,0.000000,-0.110647,-0.033246,-30.380444,-0.013011,0.042255,0.000000,92419.732522,1.073202,0.000018,347.220687,10.000000,10.000000,107.680077,10.795328,21.277913,78.603173,32.989595,-106.973348,21.277913,73.463581,6293.693414,0.115533,30.380444,0.001340,173924.983816,226287.107254,400212.091070,-0.000000,-3271.368303
7.200000,109.623533,-81.189099,830.560629,16.572860,-13.171836,99.117333,0.697798,0.057243,0.104067,-0.706378,-0.006428,0.021651,0.000000,-0.058512,0.206245,-10.673898,-0.001665,0.005430,0.000000,-0.108780,-0.032595,-26.800354,-0.010991,0.035836,0.000000,91737.139835,1.065276,0.000018,347.220687,10.000000,10.000000,101.352862,10.676051,21.169718,77.943777,32.989524,-106.973183,21.169718,73.463597,5541.768034,0.113559,26.800354,0.001683,154086.041051,244350.521662,398436.562713,-0.000000,-2716.292465
7.800000,119.556969,-89.055959,888.116267,16.539001,-13.052467,92.746203,0.697180,0.060684,0.110322,-0.705751,-0.007242,0.024393,0.000000,-0.054762,0.192929,-10.564708,-0.003160,0.009967,0.000000,-0.138191,-0.042151,-23.523688,-0.020853,0.065779,0.000000,91100.982663,1.057889,0.000018,347.220687,10.000000,10.000000,95.109220,10.566611,21.069063,77.201385,32.989453,-106.973018,21.069063,73.463644,4853.610062,0.144477,23.523688,0.002137,135686.456978,261283.361647,396969.818625,-0.000000,-2237.319541
