# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,1.886221,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.782271,0.000000,1415.347952,10.771699,0.000000,58.465677,0.704953,-0.055142,0.055142,-0.704953,0.145661,-0.000000,0.000000,20.097846,0.000001,112.631068,0.634212,0.000000,0.000000,-0.000002,18.637333,-8.414043,5.427178,0.000001,0.000000,85438.053855,0.992129,0.000018,347.220687,10.000000,0.000000,59.449684,114.410145,10.771699,79.560907,32.990254,-106.974952,10.771699,-0.000000,1695.961080,18.637333,8.414043,0.086727,39366.791190,309203.028240,348569.819430,164820.461457,-500.212342
1.200000,11.774756,0.000000,1469.752716,16.820542,-0.000000,114.270603,0.707094,-0.004289,0.004289,-0.707094,0.132973,-0.000000,0.000000,-0.521042,-0.000004,40.561012,-1.150471,-0.000001,0.000000,0.000029,-24.326537,-31.124682,-8.844851,-0.000010,0.000000,84870.314771,0.985536,0.000018,347.220687,10.000000,0.000000,115.501954,40.564356,16.820542,81.626241,32.990254,-106.974803,16.820542,0.000233,6457.377614,24.326537,31.124682,0.068682,144367.309709,311949.960723,456317.270432,129480.350016,-3594.961638
1.800000,21.876051,-0.000001,1545.711083,17.569587,-0.000001,139.060854,0.706501,-0.029273,0.029273,-0.706501,-0.095723,-0.000000,0.000000,5.313488,0.000004,41.905710,1.098574,0.000002,0.000000,-0.000030,21.570002,-45.515482,8.231525,0.000012,0.000000,84082.767440,0.976391,0.000018,347.220687,10.000000,0.000000,140.166371,42.241231,17.569587,82.799142,32.990254,-106.974636,17.569587,-0.000032,9468.660856,21.566775,45.515482,0.034618,209496.296179,323271.641975,532767.938154,161745.089908,-6379.739959
2.400000,33.222459,-0.000000,1636.777536,19.660558,0.000001,164.553912,0.706958,-0.014497,0.014496,-0.706958,-0.053269,0.000000,0.000000,1.261950,0.000003,42.269495,-0.905817,0.000000,0.000000,-0.000004,-18.430747,-63.206830,-6.686923,0.000001,0.000000,83146.388180,0.965518,0.000018,347.220687,10.000000,0.000000,165.724251,42.288325,19.660558,83.186717,32.990254,-106.974448,19.660558,-0.000066,13117.193419,18.433630,63.206830,0.010417,288495.766106,337215.574424,625711.340530,191812.777423,-10474.904528
3.000000,45.559651,0.000001,1742.964516,21.634986,0.000003,189.013966,0.706821,-0.020098,0.020098,-0.706821,0.073158,0.000000,0.000000,2.418007,0.000001,38.427046,-0.452857,-0.000002,0.000000,0.000023,-6.671655,-83.022516,-3.173950,-0.000011,0.000000,82065.215836,0.952963,0.000018,347.220687,10.000000,0.000000,190.248133,38.503049,21.634986,83.470207,32.990254,-106.974244,21.634986,-0.000032,17087.411092,6.816884,83.022516,0.019060,374738.311362,353937.422742,728675.734104,206044.287167,-15794.878916
3.600000,58.975391,0.000003,1862.937121,23.253378,0.000004,210.295036,0.706753,-0.022364,0.022364,-0.706753,0.050404,0.000000,0.000000,2.696994,0.000001,32.513300,-0.035802,-0.000001,0.000000,0.000012,0.382010,-103.081069,-0.214736,-0.000007,0.000000,80857.407183,0.938937,0.000018,347.220687,10.000000,0.000000,211.576752,32.624967,23.253378,83.690151,32.990254,-106.974021,23.253378,-0.000028,20844.249175,0.891033,103.081069,0.008784,457118.698340,373114.352339,830233.050679,205047.863219,-21809.557835
4.200000,73.292324,0.000005,1993.735793,24.147764,0.000004,219.380224,0.706747,-0.022557,0.022557,-0.706747,0.027236,0.000000,0.000000,-0.415069,-0.000001,-15.364732,-0.112449,-0.000001,0.000000,0.000014,-1.195809,-111.464763,-0.742162,-0.000007,0.000000,79557.050986,0.923837,0.000018,347.220687,10.000000,0.000000,220.705227,15.370337,24.147764,83.718588,32.990254,-106.973784,24.147764,-0.000026,22323.533301,1.193522,111.464763,0.002495,491153.408236,394284.949574,885438.357811,181515.769084,-24600.855804
4.800000,87.705291,0.000007,2122.634146,23.930309,0.000004,210.336637,0.706729,-0.023108,0.023108,-0.706729,0.012694,0.000000,0.000000,-0.391977,-0.000001,-14.786691,-0.101843,-0.000001,0.000000,0.000011,-1.316490,-99.900188,-0.672164,-0.000005,0.000000,78292.205191,0.909150,0.000018,347.220687,10.000000,0.000000,211.693554,14.791885,23.930309,83.509284,32.990254,-106.973546,23.930309,-0.000030,20199.284500,1.268925,99.900188,0.000532,448376.626560,416536.926138,864913.552699,47198.914602,-21148.225874
5.400000,101.998047,0.000010,2246.205813,23.734083,0.000004,201.618506,0.706702,-0.023912,0.023912,-0.706702,0.006425,0.000000,0.000000,-0.331703,-0.000001,-14.279693,-0.044446,-0.000001,0.000000,0.000009,-0.571716,-89.704685,-0.293343,-0.000004,0.000000,77094.965111,0.895247,0.000018,347.220687,10.000000,0.000000,203.010661,14.283545,23.734083,83.286166,32.990254,-106.973309,23.734083,-0.000026,18280.337783,0.518790,89.704685,0.000136,412133.285423,440555.084681,852688.370104,0.001163,-18211.007408
6.000000,116.180057,0.000012,2364.634537,23.553806,0.000004,193.188377,0.706673,-0.024778,0.024778,-0.706673,0.002622,0.000000,0.000000,-0.279161,-0.000000,-13.828534,0.001672,-0.000000,0.000000,0.000004,0.064338,-80.631197,0.011036,-0.000002,0.000000,75961.507717,0.882085,0.000018,347.220687,10.000000,0.000000,194.618937,13.831352,23.553806,83.048724,32.990254,-106.973074,23.553806,-0.000028,16541.499133,0.111086,80.631197,0.000023,378765.307306,463782.865628,842548.172934,-0.000000,-15692.357836
6.600000,130.259612,0.000014,2478.083718,23.386307,0.000004,185.015635,0.706642,-0.025633,0.025633,-0.706642,-0.001463,0.000000,0.000000,-0.244887,-0.000000,-13.425047,0.024651,0.000000,0.000000,-0.000001,0.358502,-72.532592,0.162698,0.000000,0.000000,74888.400207,0.869624,0.000018,347.220687,10.000000,0.000000,186.487814,13.427280,23.386307,82.795916,32.990254,-106.972841,23.386307,-0.000029,14961.867749,0.367822,72.532592,0.000007,347777.047181,486033.993766,833811.040947,0.000000,-13526.444471
