# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,1.886221,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.326321,-0.000000,1412.886603,8.355798,0.000000,44.816154,0.704746,-0.057729,0.057729,-0.704746,0.104434,-0.000000,0.000000,14.603951,0.000000,74.515798,0.534279,-0.000000,0.000000,0.000002,15.360809,-5.018893,4.442258,-0.000000,0.000000,85463.811700,0.992428,0.000018,347.220687,10.000000,0.000000,45.588452,75.933391,8.355798,79.438687,32.990254,-106.974959,8.355798,0.000004,997.981409,15.360812,5.018893,0.045172,23329.447757,311065.519994,334394.967751,87813.349540,-228.803596
1.200000,9.379082,0.000000,1453.105388,13.798916,0.000000,89.278857,0.707069,-0.007300,0.007300,-0.707069,0.279156,-0.000000,0.000000,1.419881,-0.000001,74.225165,-0.406625,-0.000000,0.000000,0.000008,-7.109459,-19.160120,-3.206274,-0.000003,0.000000,85043.712039,0.987550,0.000018,347.220687,10.000000,0.000000,90.338943,74.238769,13.798916,81.213896,32.990254,-106.974843,13.798916,-9.799343,3942.865227,7.250157,19.160120,0.310624,89621.611373,312974.553879,402596.165252,168482.126247,-1730.906369
1.800000,17.320512,0.000000,1519.968647,12.613492,0.000000,133.471558,0.707090,-0.004849,0.004849,-0.707090,-0.235163,0.000000,0.000000,0.960538,0.000001,72.782373,-0.011221,0.000000,0.000000,-0.000002,-3.549572,-41.962548,-0.113393,0.000001,0.000000,84349.002944,0.979483,0.000018,347.220687,10.000000,0.000000,134.066241,72.788727,12.613492,84.601398,32.990254,-106.974711,12.613492,18.257606,8727.919976,2.600680,41.962548,0.211797,193054.708640,320203.707977,513258.416617,243496.675482,-5625.761120
2.400000,25.601107,0.000000,1612.927858,14.818395,0.000000,176.041186,0.707093,-0.004428,0.004428,-0.707093,0.111855,-0.000000,0.000000,0.120988,0.000004,69.226066,-1.056108,0.000002,0.000000,-0.000028,-18.332036,-72.561316,-7.747252,0.000012,0.000000,83390.799231,0.968356,0.000018,347.220687,10.000000,0.000000,176.663760,69.226165,14.818395,85.188429,32.990254,-106.974574,14.818395,-0.000140,15016.156981,18.334512,72.561316,0.045962,328020.588878,332484.729375,660505.318253,306289.552579,-12818.954560
3.000000,34.659010,0.000001,1730.711365,15.875269,0.000001,215.987678,0.707043,-0.009537,0.009537,-0.707043,0.105622,-0.000000,0.000000,1.945390,-0.000001,63.635759,-0.166206,-0.000001,0.000000,0.000021,-0.806216,-110.784701,-1.161409,-0.000008,0.000000,82189.390494,0.954405,0.000018,347.220687,10.000000,0.000000,216.570315,63.665493,15.875269,85.796273,32.990254,-106.974424,15.875269,-0.000006,22278.287386,1.597417,110.784701,0.039241,482836.183028,349443.714649,832279.897678,351582.218102,-23992.677694
3.600000,44.436626,0.000002,1871.229769,16.843830,0.000002,250.187959,0.707056,-0.008468,0.008468,-0.707056,0.038402,-0.000000,0.000000,-0.161102,0.000001,1.587928,-0.654864,0.000001,0.000000,-0.000009,-8.715618,-150.774373,-4.356465,0.000005,0.000000,80774.456886,0.937974,0.000018,347.220687,10.000000,0.000000,250.754321,24.488636,16.843830,86.148391,32.990254,-106.974262,16.843830,-0.000060,29377.752223,8.715618,150.774373,0.004986,635479.633513,370921.982846,1006401.616359,282015.025857,-37807.325456
4.200000,54.488636,0.000004,2018.264480,16.682556,0.000002,240.000249,0.707048,-0.009144,0.009144,-0.707048,-0.022421,0.000000,0.000000,-0.392791,0.000000,-16.597781,-0.271814,0.000000,0.000000,-0.000007,-4.340605,-135.980360,-1.793970,0.000003,0.000000,79315.091550,0.921028,0.000018,347.220687,10.000000,0.000000,240.579358,16.602429,16.682556,86.023733,32.990254,-106.974096,16.682556,-0.000062,26546.217236,4.323497,135.980360,0.001665,579781.573325,396530.349637,976311.922963,76504.236021,-32714.067691
4.800000,64.471098,0.000005,2159.321348,16.574278,0.000002,230.262624,0.707034,-0.010137,0.010137,-0.707034,-0.018000,0.000000,0.000000,-0.157442,-0.000000,-15.874120,0.044274,0.000000,0.000000,-0.000001,0.331360,-121.389783,0.292207,0.000000,0.000000,77935.196228,0.905004,0.000018,347.220687,10.000000,0.000000,230.858361,15.874901,16.574278,85.882957,32.990254,-106.973931,16.574278,-0.000050,24011.609426,0.428195,121.389783,0.001069,532955.829890,423514.173767,956470.003657,-0.016318,-28023.846449
5.400000,74.391748,0.000006,2294.660857,16.480090,0.000002,220.933075,0.707028,-0.010541,0.010541,-0.707028,-0.008451,0.000000,0.000000,-0.115694,-0.000000,-15.239377,0.072156,0.000000,0.000000,-0.000000,0.926367,-108.675229,0.476231,0.000000,0.000000,76629.568095,0.889843,0.000018,347.220687,10.000000,0.000000,221.546873,15.239816,16.480090,85.734029,32.990254,-106.973766,16.480090,-0.000045,21735.926876,0.951675,108.675229,0.000236,490830.171285,450058.717934,940888.889219,0.000000,-24076.657219
6.000000,84.254936,0.000007,2424.512374,16.390261,0.000002,211.961495,0.707025,-0.010781,0.010781,-0.707025,-0.004797,0.000000,0.000000,-0.118908,-0.000000,-14.679348,0.044842,0.000000,0.000000,-0.000001,0.594240,-97.481169,0.295959,0.000000,0.000000,75393.587165,0.875490,0.000018,347.220687,10.000000,0.000000,212.594252,14.679830,16.390261,85.578311,32.990254,-106.973603,16.390261,-0.000044,19684.743821,0.594938,97.481169,0.000076,451963.158479,475526.885493,927490.043972,0.000000,-20723.936260
6.600000,94.064842,0.000008,2549.077723,16.305706,0.000002,203.305891,0.707021,-0.011020,0.011020,-0.707021,-0.003817,0.000000,0.000000,-0.123741,-0.000000,-14.184443,0.020724,0.000000,0.000000,-0.000000,0.255216,-87.590462,0.136778,0.000000,0.000000,74223.141199,0.861899,0.000018,347.220687,10.000000,0.000000,203.958724,14.184983,16.305706,85.414532,32.990254,-106.973440,16.305706,-0.000044,17829.685996,0.246418,87.590462,0.000048,415991.612896,499958.261113,915949.874009,-0.000000,-17864.838920
7.200000,103.825390,0.000009,2668.535233,16.227078,0.000002,194.929899,0.707017,-0.011293,0.011293,-0.707017,-0.003339,0.000000,0.000000,-0.124754,-0.000000,-13.744130,0.004541,0.000000,0.000000,-0.000000,0.021275,-78.789122,0.029973,0.000000,0.000000,73114.553316,0.849025,0.000018,347.220687,10.000000,0.000000,195.604150,13.744697,16.227078,85.241344,32.990254,-106.973279,16.227078,-0.000044,16146.952721,0.048141,78.789122,0.000037,382609.836463,523387.820919,905997.657382,-0.000000,-15411.479285
