# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,7.358674,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.352917,-0.000000,1412.884045,8.481956,0.000000,44.795004,0.704593,-0.059573,0.059573,-0.704593,0.046583,-0.000000,0.000000,15.050890,0.000000,74.457854,0.210715,-0.000000,0.000000,0.000000,15.572417,-5.013313,15.410378,-0.000000,0.000000,85463.838473,0.992429,0.000018,347.220687,10.000000,0.000000,45.590964,75.963816,8.481956,79.277955,32.990254,-106.974959,8.481956,0.000000,996.843303,15.572418,5.013313,0.078892,23332.091074,311065.492542,334397.583616,87838.525914,-228.561754
1.200000,9.891083,0.000000,1453.039411,16.023205,0.000000,89.037384,0.706236,-0.035088,0.035088,-0.706236,0.177686,-0.000000,0.000000,8.744120,-0.000001,73.783737,0.125532,-0.000000,0.000000,0.000011,9.484711,-19.110880,7.886783,-0.000010,0.000000,85044.399826,0.987558,0.000018,347.220687,10.000000,0.000000,90.467667,74.300063,16.023205,79.798223,32.990254,-106.974834,16.023205,0.000002,3932.423304,9.558074,19.110880,0.955864,89877.842569,312960.342722,402838.185291,168722.175059,-1728.916229
1.800000,20.420455,-0.000000,1519.729242,18.056374,0.000000,133.180959,0.707100,-0.003276,0.003275,-0.707100,0.046256,-0.000000,0.000000,-0.886119,0.000008,72.801951,-0.583646,-0.000000,0.000000,0.000004,-35.383547,-41.918235,-28.186671,-0.000002,0.000000,84351.482141,0.979512,0.000018,347.220687,10.000000,0.000000,134.399406,72.807343,18.056374,82.279045,32.990254,-106.974660,18.056374,-0.000480,8718.668178,35.383552,41.918235,0.051702,194015.214294,320153.213573,514168.427867,244102.717951,-5633.785935
2.400000,31.261505,0.000003,1612.533117,18.896666,0.000008,175.786341,0.706691,-0.024290,0.024289,-0.706691,-0.134451,-0.000000,0.000000,6.501030,0.000009,68.965486,0.457097,-0.000001,0.000000,0.000045,22.388121,-72.483896,16.353625,-0.000030,0.000000,83394.849417,0.968403,0.000018,347.220687,10.000000,0.000000,176.799099,69.271220,18.896666,83.864385,32.990254,-106.974480,18.896666,-0.000152,15000.555260,22.363363,72.483896,0.324865,328523.320209,332403.056770,660926.376978,306527.403810,-12815.087866
3.000000,43.904793,0.000010,1730.107549,22.648077,0.000018,215.595494,0.706944,-0.015237,0.015237,-0.706944,0.080437,-0.000000,0.000000,1.754315,0.000023,63.659378,-0.754522,-0.000002,0.000000,0.000068,-28.944031,-110.677097,-18.015403,-0.000038,0.000000,82195.513562,0.954476,0.000018,347.220687,10.000000,0.000000,216.781808,63.683545,22.648077,84.003134,32.990254,-106.974271,22.648077,-0.000376,22259.041591,28.939416,110.677097,0.076968,483779.714195,349321.799524,833101.513720,351925.557820,-23992.781272
3.600000,57.963924,0.000025,1870.384099,24.742117,0.000032,249.748018,0.706755,-0.022342,0.022342,-0.706755,0.098825,-0.000000,0.000000,1.851101,0.000003,11.460414,0.456015,-0.000003,0.000000,0.000047,10.200453,-150.675972,4.141758,-0.000023,0.000000,80782.912860,0.938072,0.000018,347.220687,10.000000,0.000000,250.970606,28.270260,24.742117,84.342264,32.990254,-106.974038,24.742117,-0.000332,29357.633809,10.200453,150.675972,0.063337,636576.415913,370754.351003,1007330.766916,282258.274656,-37815.239882
4.200000,72.698648,0.000044,2017.158717,24.448342,0.000031,239.569449,0.706827,-0.019959,0.019959,-0.706827,0.032679,-0.000000,0.000000,-0.814230,-0.000002,-16.565374,-0.639223,-0.000001,0.000000,0.000019,-8.630747,-135.878019,-4.218870,-0.000007,0.000000,79325.986336,0.921154,0.000018,347.220687,10.000000,0.000000,240.813709,16.585373,24.448342,84.173071,32.990254,-106.973794,24.448342,-0.000407,26530.288772,8.629388,135.878019,0.004080,580911.668857,396313.099103,977224.767961,76578.759405,-32721.289632
4.800000,87.279451,0.000062,2157.960646,24.180368,0.000029,229.841654,0.706801,-0.020842,0.020842,-0.706801,-0.013626,-0.000000,0.000000,-0.622417,-0.000001,-15.846299,-0.346576,0.000001,0.000000,-0.000016,-5.309089,-121.316607,-2.287399,0.000008,0.000000,77948.413854,0.905157,0.000018,347.220687,10.000000,0.000000,231.110095,15.858518,24.180368,83.994320,32.990254,-106.973553,24.180368,-0.000418,23999.466505,5.309743,121.316607,0.000613,534118.762424,423247.295320,957366.057744,0.000021,-28037.492510
5.400000,101.724140,0.000079,2293.049797,23.960621,0.000028,220.519614,0.706767,-0.021961,0.021960,-0.706767,-0.016795,0.000000,0.000000,-0.433526,-0.000002,-15.221333,-0.111519,0.000000,0.000000,-0.000005,-1.930505,-108.623054,-0.736023,0.000002,0.000000,76645.005220,0.890022,0.000018,347.220687,10.000000,0.000000,221.817519,15.227506,23.960621,83.798838,32.990254,-106.973314,23.960621,-0.000395,21727.126150,1.937075,108.623054,0.000930,492030.117980,449742.735911,941772.853891,0.000000,-24094.496353
6.000000,116.044862,0.000096,2422.654955,23.764471,0.000026,211.554241,0.706742,-0.022773,0.022772,-0.706742,-0.011804,-0.000000,0.000000,-0.356395,-0.000002,-14.666114,-0.044738,-0.000000,0.000000,0.000002,-0.856321,-97.446541,-0.295272,-0.000001,0.000000,75411.152311,0.875694,0.000018,347.220687,10.000000,0.000000,212.884821,14.670443,23.764471,83.590676,32.990254,-106.973077,23.764471,-0.000377,19678.885999,0.873659,97.446541,0.000460,453199.471133,475162.584359,928362.055492,-0.000000,-20744.889352
6.600000,130.250995,0.000111,2546.977496,23.583354,0.000025,202.904070,0.706719,-0.023470,0.023470,-0.706719,-0.007676,-0.000000,0.000000,-0.322256,-0.000002,-14.173446,-0.034492,0.000000,0.000000,-0.000001,-0.636555,-87.571107,-0.227650,0.000001,0.000000,74242.752731,0.862126,0.000018,347.220687,10.000000,0.000000,204.270008,14.177110,23.583354,83.370311,32.990254,-106.972841,23.583354,-0.000373,17826.431796,0.645435,87.571107,0.000194,417262.361574,499546.337215,916808.698789,0.000000,-17888.150722
7.200000,144.350885,0.000126,2666.195355,23.415245,0.000024,194.532897,0.706694,-0.024195,0.024195,-0.706694,-0.004475,-0.000000,0.000000,-0.295470,-0.000002,-13.734765,-0.030085,0.000000,0.000000,-0.000000,-0.522406,-78.782494,-0.198562,0.000000,0.000000,73136.138306,0.849276,0.000018,347.220687,10.000000,0.000000,195.937036,13.737942,23.415245,83.136526,32.990254,-106.972608,23.415245,-0.000369,16146.018850,0.521750,78.782494,0.000066,383913.219139,522928.893587,906842.112726,0.000000,-15436.408325
7.800000,158.352154,0.000140,2780.466803,23.258447,0.000023,186.411240,0.706666,-0.025009,0.025009,-0.706666,-0.002580,-0.000000,0.000000,-0.265339,-0.000002,-13.342215,-0.016903,-0.000000,0.000000,0.000002,-0.294727,-70.909534,-0.111560,-0.000001,0.000000,72088.011663,0.837105,0.000018,347.220687,10.000000,0.000000,187.856610,13.344853,23.258447,82.887984,32.990254,-106.972376,23.258447,-0.000363,14617.918418,0.293850,70.909534,0.000022,352901.058882,545341.295568,898242.354450,-0.000000,-13320.824714
8.400000,172.261819,0.000154,2889.933227,23.111180,0.000022,178.511336,0.706634,-0.025901,0.025900,-0.706634,-0.002709,-0.000000,0.000000,-0.236020,-0.000002,-12.996125,-0.000177,-0.000000,0.000000,0.000001,-0.037790,-63.963908,-0.001170,-0.000000,0.000000,71095.397143,0.825578,0.000018,347.220687,10.000000,0.000000,180.001177,12.998268,23.111180,82.623168,32.990254,-106.972146,23.111180,-0.000359,13225.023407,0.036085,63.963908,0.000024,324004.236262,566811.273560,890815.509822,0.000000,-11513.578780
9.000000,186.086237,0.000167,2994.720075,22.972817,0.000021,170.809460,0.706600,-0.026805,0.026804,-0.706600,-0.004272,-0.000000,0.000000,-0.216584,-0.000001,-12.682579,0.005831,0.000000,0.000000,-0.000001,0.038415,-57.681438,0.038483,0.000001,0.000000,70155.612146,0.814665,0.000018,347.220687,10.000000,0.000000,172.347387,12.684428,22.972817,82.340037,32.990254,-106.971917,22.972817,-0.000358,11952.838100,0.038018,57.681438,0.000060,297036.217691,587363.432524,884399.650215,0.000000,-9941.245126
9.600000,199.831091,0.000180,3094.940445,22.844113,0.000021,163.286978,0.706565,-0.027715,0.027715,-0.706565,-0.005181,-0.000000,0.000000,-0.206806,-0.000001,-12.397339,-0.000287,0.000000,0.000000,-0.000001,-0.064843,-51.978557,-0.001896,0.000000,0.000000,69266.217795,0.804338,0.000018,347.220687,10.000000,0.000000,164.877198,12.399063,22.844113,82.035918,32.990254,-106.971689,22.844113,-0.000356,10789.225927,0.064837,51.978557,0.000089,271844.905797,607019.954372,878864.860170,0.000000,-8570.078786
10.200000,213.501416,0.000192,3190.697007,22.724552,0.000020,155.927512,0.706525,-0.028727,0.028727,-0.706525,-0.005015,-0.000000,0.000000,-0.195261,-0.000001,-12.137979,-0.003270,-0.000000,0.000000,0.000001,-0.106955,-46.789705,-0.021581,-0.000000,0.000000,68424.987728,0.794569,0.000018,347.220687,10.000000,0.000000,157.574726,12.139549,22.724552,81.708208,32.990254,-106.971463,22.724552,-0.000350,9723.657738,0.106955,46.789705,0.000083,248297.941843,625800.976124,874098.917966,0.000000,-7372.874862
10.800000,227.102019,0.000203,3282.083162,22.612452,0.000019,148.716595,0.706477,-0.029868,0.029868,-0.706477,-0.005218,-0.000000,0.000000,-0.180508,-0.000001,-11.901859,-0.000369,0.000000,0.000000,-0.000001,-0.060369,-42.059356,-0.002436,0.000000,0.000000,67629.885910,0.785336,0.000018,347.220687,10.000000,0.000000,150.425891,11.903227,22.612452,81.354362,32.990254,-106.971238,22.612452,-0.000349,8746.954414,0.060369,42.059356,0.000090,226279.486422,643724.816731,870004.303154,0.000000,-6326.816142
11.400000,240.637509,0.000215,3369.184040,22.507123,0.000019,141.641232,0.706425,-0.031086,0.031085,-0.706425,-0.006084,-0.000000,0.000000,-0.168990,-0.000001,-11.686078,-0.000309,0.000000,0.000000,-0.000000,-0.065037,-37.740151,-0.002039,0.000000,0.000000,66879.047478,0.776617,0.000018,347.220687,10.000000,0.000000,143.418301,11.687300,22.507123,80.971055,32.990254,-106.971014,22.507123,-0.000347,7851.080802,0.065037,37.740151,0.000122,205688.091053,660808.173341,866496.264394,0.000000,-5412.628339
12.000000,254.111999,0.000226,3452.077388,22.408904,0.000018,134.689656,0.706365,-0.032412,0.032411,-0.706365,-0.006481,-0.000000,0.000000,-0.158760,-0.000001,-11.488750,-0.001282,-0.000000,0.000000,0.000004,-0.081025,-33.791413,-0.008459,-0.000001,0.000000,66170.762031,0.768392,0.000018,347.220687,10.000000,0.000000,136.541065,11.489847,22.408904,80.553974,32.990254,-106.970790,22.408904,-0.000345,7028.977517,0.081025,33.791413,0.000139,186434.623730,677066.294371,863500.918102,0.000000,-4613.915493
12.600000,267.529351,0.000236,3530.834281,22.316684,0.000017,127.851366,0.706296,-0.033880,0.033880,-0.706296,-0.007286,-0.000000,0.000000,-0.148185,-0.000001,-11.308262,-0.000704,0.000000,0.000000,-0.000001,-0.075467,-30.178030,-0.004649,0.000000,0.000000,65503.459533,0.760643,0.000018,347.220687,10.000000,0.000000,129.784460,11.309233,22.316684,80.098674,32.990254,-106.970568,22.316684,-0.000348,6274.422650,0.075467,30.178030,0.000175,168440.061292,692513.120125,860953.181416,-0.000000,-3916.639370
13.200000,280.893259,0.000247,3605.519752,22.230492,0.000017,121.116743,0.706218,-0.035478,0.035478,-0.706218,-0.007994,-0.000000,0.000000,-0.139553,-0.000001,-11.142869,-0.002004,-0.000000,0.000000,0.000002,-0.098671,-26.869552,-0.013227,-0.000001,0.000000,64875.698010,0.753354,0.000018,347.220687,10.000000,0.000000,123.140002,11.143743,22.230492,79.599355,32.990254,-106.970347,22.230492,-0.000339,5581.917489,0.098671,26.869552,0.000211,151634.602316,707161.405525,858796.007841,-0.000000,-3308.716728
13.800000,294.207028,0.000257,3676.193358,22.149732,0.000016,114.477083,0.706125,-0.037277,0.037277,-0.706125,-0.008870,-0.000000,0.000000,-0.129786,-0.000001,-10.991543,-0.001054,0.000000,0.000000,-0.000000,-0.086183,-23.839439,-0.006953,0.000000,0.000000,64286.152584,0.746508,0.000018,347.220687,10.000000,0.000000,116.600228,10.992309,22.149732,79.049374,32.990254,-106.970127,22.149732,-0.000339,4946.590832,0.086183,23.839439,0.000260,135956.132067,721022.831837,856978.963903,0.000000,-2779.683966
14.400000,307.473980,0.000267,3742.909612,22.074221,0.000016,107.924395,0.706018,-0.039245,0.039245,-0.706018,-0.009824,-0.000000,0.000000,-0.122135,-0.000001,-10.852783,-0.002271,-0.000000,0.000000,0.000001,-0.108766,-21.064491,-0.014986,-0.000000,0.000000,63733.606443,0.740091,0.000018,347.220687,10.000000,0.000000,110.158732,10.853470,22.074221,78.440493,32.990254,-106.969907,22.074221,-0.000335,4364.119702,0.108766,21.064491,0.000318,121349.462310,734108.090892,855457.553202,0.000000,-2320.437565
15.000000,320.697021,0.000276,3805.718594,22.003380,0.000016,101.451362,0.705891,-0.041471,0.041470,-0.705891,-0.011179,-0.000000,0.000000,-0.113843,-0.000001,-10.725862,-0.001965,0.000000,0.000000,-0.000000,-0.108509,-18.524381,-0.012968,0.000000,0.000000,63216.940939,0.734092,0.000018,347.220687,10.000000,0.000000,103.810055,10.726466,22.003380,77.762874,32.990254,-106.969688,22.003380,-0.000331,3830.659444,0.108509,18.524381,0.000412,107765.276269,746427.004979,854192.281247,-0.000000,-1923.016985
15.600000,333.879117,0.000285,3864.667298,21.937376,0.000015,95.050976,0.705740,-0.043967,0.043966,-0.705740,-0.012407,0.000000,0.000000,-0.106324,-0.000001,-10.609722,-0.002285,-0.000000,0.000000,0.000001,-0.116556,-16.201177,-0.015081,-0.000001,0.000000,62735.120363,0.728497,0.000018,347.220687,10.000000,0.000000,97.549662,10.610255,21.937376,77.003932,32.990254,-106.969470,21.937376,-0.000314,3342.775962,0.116556,16.201177,0.000508,95159.366361,757988.791121,853148.157482,0.000000,-1580.419327
16.200000,347.022839,0.000295,3919.795441,21.875508,0.000015,88.717358,0.705560,-0.046769,0.046769,-0.705560,-0.014154,-0.000000,0.000000,-0.099900,-0.000001,-10.503524,-0.003463,-0.000000,0.000000,0.000005,-0.140858,-14.079256,-0.022855,-0.000002,0.000000,62287.222293,0.723296,0.000018,347.220687,10.000000,0.000000,91.374545,10.503999,21.875508,76.148584,32.990254,-106.969252,21.875508,-0.000291,2897.448843,0.140858,14.079256,0.000661,83493.076010,768801.239189,852294.315199,0.000000,-1286.485674
