# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60.237337,-2.291440,17.043952,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,447.297941,60.237337,2.291440,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.031026,0.000000,1422.408089,13.219690,0.000001,78.570144,0.706876,-0.018029,0.018029,-0.706876,0.728865,-0.000001,0.000000,10.786486,0.000010,147.178440,2.066463,-0.000006,0.000000,0.000158,64.067864,-15.621070,18.180075,-0.000048,0.000000,85364.204876,0.991272,0.000018,347.220687,30.000000,0.000000,79.674511,147.573174,13.219690,80.449248,32.990254,-106.974931,13.219690,0.292457,3199.252773,64.067882,15.621070,2.128520,69902.109988,307194.295753,377096.405741,277303.404928,-1244.601082
1.200000,8.555268,0.000010,1496.608136,-5.178728,0.000037,167.041320,0.700148,0.098959,-0.098959,-0.700148,-0.522314,0.000003,0.000000,-46.902186,0.000026,138.916032,-3.707970,0.000001,0.000000,-0.000081,-82.950738,-69.056715,-28.401310,0.000015,0.000000,84591.194307,0.982295,0.000018,347.220687,30.000000,0.000000,167.121578,146.620188,5.178762,88.224233,32.990254,-106.974856,5.178762,-179.999967,14312.210324,82.947169,69.056715,1.001051,293410.359495,308366.844474,601777.203969,558941.627344,-11540.867128
1.800000,0.154970,0.000027,1621.899806,-22.746507,0.000017,247.961173,0.702349,0.081895,-0.081895,-0.702349,-0.309505,-0.000001,0.000000,-26.571288,-0.000054,90.074593,-3.541927,-0.000024,0.000000,0.000358,-58.683474,-159.334054,-24.143074,-0.000160,0.000000,83298.786705,0.967287,0.000018,347.220687,30.000000,0.000000,249.002303,93.912009,22.746507,84.758690,32.990254,-106.974995,22.746507,-180.000087,31082.299237,58.683474,159.334054,0.319724,623079.574655,319676.900967,942756.475621,556725.911977,-39674.546465
2.400000,-14.259690,0.000037,1772.857211,-23.716979,0.000018,247.249416,0.703606,0.070294,-0.070294,-0.703606,-0.048112,0.000001,0.000000,3.442299,-0.000008,-17.059943,2.799972,-0.000011,0.000000,0.000131,38.785678,-155.818865,18.479818,-0.000070,0.000000,81762.917541,0.949452,0.000018,347.220687,30.000000,0.000000,248.384316,17.403763,23.716979,84.520764,32.990254,-106.975234,23.716979,-180.000271,30390.923400,38.783679,155.818865,0.007644,616947.694289,347715.803389,964663.497679,-0.000000,-38702.962165
3.000000,-28.161442,0.000048,1918.121005,-22.640312,0.000021,237.034555,0.702988,0.076226,-0.076225,-0.702988,0.111657,0.000001,0.000000,1.777791,-0.000001,-16.653427,0.227241,-0.000010,0.000000,0.000132,5.378244,-141.374031,1.499791,-0.000068,0.000000,80306.705280,0.932543,0.000018,347.220687,30.000000,0.000000,238.113343,16.748054,22.640312,84.543956,32.990254,-106.975464,22.640312,-180.000226,27489.667960,4.894842,141.374031,0.041136,566979.680662,376206.827096,943186.507758,0.000000,-33663.043001
3.600000,-41.511146,0.000061,2057.372851,-21.793507,0.000024,227.230567,0.702541,0.080241,-0.080241,-0.702541,0.045558,-0.000000,0.000000,1.073667,-0.000004,-16.038961,-0.549115,-0.000015,0.000000,0.000224,-7.186147,-126.278046,-3.624156,-0.000098,0.000000,78930.545728,0.916562,0.000018,347.220687,30.000000,0.000000,228.273273,16.074857,21.793507,84.521563,32.990254,-106.975685,21.793507,-180.000207,24892.133566,7.207282,126.278046,0.006851,521086.880698,403518.709456,924605.590154,-0.000000,-28825.902947
4.200000,-54.356357,0.000077,2190.874561,-21.005743,0.000026,217.846589,0.702332,0.082051,-0.082050,-0.702332,0.010023,-0.000001,0.000000,1.063568,0.000000,-15.369210,-0.346988,-0.000006,0.000000,0.000108,-4.945539,-113.158467,-2.290119,-0.000039,0.000000,77629.202384,0.901451,0.000018,347.220687,30.000000,0.000000,218.856980,15.405966,21.005743,84.492312,32.990254,-106.975898,21.005743,-180.000194,22562.734898,4.947691,113.158467,0.000332,478983.777523,429702.800333,908686.577856,-0.000000,-24765.520273
4.800000,-66.734268,0.000093,2318.860764,-20.262004,0.000029,208.831345,0.702123,0.083819,-0.083819,-0.702123,0.005440,-0.000001,0.000000,1.076227,0.000005,-14.774541,-0.171645,0.000002,0.000000,-0.000016,-2.469620,-101.632571,-1.132854,0.000013,0.000000,76397.988134,0.887154,0.000018,347.220687,30.000000,0.000000,209.812009,14.813687,20.262004,84.458185,32.990254,-106.976103,20.262004,-180.000176,20465.211758,2.470849,101.632571,0.000098,440210.792957,454805.118307,895015.911264,0.000000,-21323.733926
5.400000,-78.680401,0.000111,2441.536790,-19.569439,0.000031,200.138492,0.701869,0.085922,-0.085922,-0.701868,0.008942,-0.000000,0.000000,1.039476,0.000002,-14.259567,-0.096066,-0.000002,0.000000,0.000039,-1.307338,-91.443319,-0.634037,-0.000014,0.000000,75232.745803,0.873622,0.000018,347.220687,30.000000,0.000000,201.092961,14.297404,19.569439,84.415401,32.990254,-106.976301,19.569439,-180.000177,18569.956088,1.305603,91.443319,0.000264,404383.789928,478865.935196,883249.725125,-0.000000,-18388.607684
