# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-96.475870,0.000000,-4.021636,0.000000,27.365897,0.000000,85598.771785,0.993995,0.000018,347.220687,0.000000,40.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,795.196339,96.475870,4.021636,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.328999,0.082395,1412.845469,8.341374,0.181140,44.651146,0.700018,-0.023460,0.099923,-0.706704,-0.004854,0.782560,0.000000,14.757432,-5.496279,73.948994,-0.036213,2.676039,0.000000,-84.651824,-1.078798,-8.967796,-0.305194,23.008844,0.000000,85464.242217,0.992433,0.000018,347.220687,0.000000,40.000000,45.423957,75.607167,8.343322,79.415999,32.990255,-106.974959,8.343322,31.514363,1810.616283,84.658693,8.967796,2.536489,23163.850805,311056.257430,334220.108235,87489.455638,-407.352161
1.200000,9.837963,-4.189859,1451.902341,16.244755,-20.717305,82.443720,0.621482,0.220093,0.342324,-0.669423,-0.038953,0.901967,0.000000,10.447932,-64.096486,43.684782,-0.026322,-3.959432,0.000000,82.712892,-1.213096,-25.654446,-0.251762,-30.616706,0.000000,85056.253996,0.987696,0.000018,347.220687,0.000000,40.000000,86.545172,78.268030,26.326776,72.290148,32.990216,-106.974835,26.326776,75.611690,5307.604579,82.714630,25.654446,3.249029,82255.329854,312715.437629,394970.767483,161406.747024,-2220.268248
1.800000,21.471579,-28.535007,1508.590582,23.010571,-58.279796,108.382924,0.652968,0.152520,0.287411,-0.683930,0.002491,-0.606800,0.000000,14.091521,-45.441831,56.951970,0.055985,4.235553,0.000000,-79.982518,1.247719,-51.723603,0.431617,31.797615,0.000000,84466.895417,0.980852,0.000018,347.220687,0.000000,40.000000,125.191364,74.209609,62.657967,59.967071,32.989997,-106.974642,62.657967,71.626824,10757.620532,79.773139,51.723603,1.410431,168342.429373,317806.860465,486149.289838,227376.253691,-6475.348639
2.400000,37.722103,-71.796028,1583.480939,30.779212,-88.327653,138.872073,0.628547,0.204723,0.340478,-0.668645,-0.018403,-0.278189,0.000000,11.662167,-58.792364,41.087586,0.085045,-4.231540,0.000000,85.417603,1.222014,-86.797195,0.605270,-31.379755,0.000000,83693.372936,0.971869,0.000018,347.220687,0.000000,40.000000,167.435321,72.668684,93.536806,56.037899,32.989608,-106.974373,93.536806,74.247200,17834.192380,85.423134,86.797195,0.285454,294645.983694,326414.509231,621060.492926,290290.938860,-14532.916176
3.000000,58.443560,-133.959071,1675.048612,38.174663,-118.681778,165.737769,0.631280,0.198652,0.337941,-0.669188,-0.014343,-0.089353,0.000000,11.312409,-53.174946,38.313946,0.053217,-3.718221,0.000000,63.144015,0.555936,-131.807083,0.359979,-26.264607,0.000000,82755.399371,0.960977,0.000018,347.220687,0.000000,40.000000,207.392569,66.509418,124.670243,53.049009,32.989049,-106.974030,124.670243,73.778601,25997.428233,63.148034,131.807083,0.028835,442780.337156,338204.983822,780985.320978,336682.981709,-27335.809418
3.600000,83.414662,-213.724628,1781.587092,44.692377,-145.835006,187.677063,0.634382,0.191878,0.334534,-0.669946,-0.005685,-0.151429,0.000000,5.688587,-22.836502,14.043050,0.044658,0.878826,0.000000,-9.258383,0.514992,-173.516950,0.297062,5.824284,0.000000,81674.804493,0.948429,0.000018,347.220687,0.000000,40.000000,241.842795,34.902424,152.529530,50.898434,32.988332,-106.973617,152.529530,73.275405,34027.147484,9.272695,173.516950,0.077631,591113.867791,353152.684712,944266.552503,271992.530407,-41963.824311
4.200000,109.981964,-300.112701,1891.416871,43.867161,-142.210400,178.433607,0.632556,0.194982,0.340156,-0.667943,-0.007118,0.097702,0.000000,-1.316444,6.014406,-14.966988,-0.024908,0.653100,0.000000,-11.136884,-0.492189,-160.280474,-0.164392,4.310463,0.000000,80572.815906,0.935633,0.000018,347.220687,0.000000,40.000000,232.350334,16.183845,148.822464,50.170220,32.987555,-106.973177,148.822464,73.263301,31326.624803,11.147497,160.280474,0.031794,540797.047129,371608.478630,912405.525759,73887.406161,-37241.221578
4.800000,136.058919,-384.455518,1995.737029,43.069520,-138.937307,169.379379,0.629026,0.201200,0.349150,-0.664783,-0.009145,0.044616,0.000000,-1.328360,5.070834,-15.062297,-0.001527,-0.558994,0.000000,7.112417,-0.196702,-148.287846,-0.010079,-3.689360,0.000000,79537.287741,0.923608,0.000018,347.220687,0.000000,40.000000,223.266506,15.948374,145.459818,49.344637,32.986797,-106.972745,145.459818,73.369956,28891.801737,7.116091,148.287846,0.006847,498479.335555,391429.890652,889909.226207,0.000296,-33107.709238
5.400000,161.673738,-466.885537,2094.720724,42.320825,-135.856896,160.616256,0.626909,0.204553,0.355542,-0.662368,-0.008788,0.009364,0.000000,-1.213514,4.932013,-14.413291,0.005039,-0.124889,0.000000,1.627296,-0.089187,-137.130486,0.033257,-0.824269,0.000000,78564.721221,0.912314,0.000018,347.220687,0.000000,40.000000,214.582688,15.282026,142.295989,48.461058,32.986056,-106.972321,142.295989,73.337568,26691.704545,1.561972,137.130486,0.000544,460457.301498,410843.859689,871301.161187,-0.000000,-29425.828373
6.000000,186.855676,-547.516663,2188.543513,41.625122,-132.959410,152.161918,0.624534,0.208274,0.362387,-0.659737,-0.008915,0.019846,0.000000,-1.112379,4.686082,-13.830754,0.001221,0.084021,0.000000,-1.575058,-0.140302,-125.513289,0.008060,0.554542,0.000000,77651.774874,0.901713,0.000018,347.220687,0.000000,40.000000,206.310700,14.645358,139.322847,47.522085,32.985331,-106.971904,139.322847,73.317057,24707.317621,1.617708,125.513289,0.001562,425641.049621,429245.604861,854886.654482,0.000000,-25894.734386
6.600000,211.634211,-626.470518,2277.374003,40.976322,-130.256657,143.974948,0.621724,0.212644,0.370001,-0.656764,-0.009406,0.029865,0.000000,-1.039853,4.380027,-13.411643,-0.000805,0.074594,0.000000,-1.606382,-0.172575,-115.335025,-0.005314,0.492322,0.000000,76795.341681,0.891768,0.000018,347.220687,0.000000,40.000000,198.430445,14.147017,136.549829,46.516189,32.984621,-106.971494,136.549829,73.316670,22916.277573,1.616330,115.335025,0.003235,393746.417654,446668.195253,840414.612907,0.000000,-22885.980375
7.200000,236.035792,-703.857857,2361.362289,40.368666,-127.729842,136.021554,0.618654,0.217311,0.378056,-0.653541,-0.009944,0.033757,0.000000,-0.977585,4.091695,-13.056685,-0.001111,0.038040,0.000000,-1.120039,-0.180364,-106.314990,-0.007336,0.251064,0.000000,75992.643388,0.882447,0.000018,347.220687,0.000000,40.000000,190.909415,13.717677,133.957238,45.438087,32.983925,-106.971090,133.957238,73.319982,21295.549365,1.134489,106.314990,0.004087,364464.052293,463141.069919,827605.122212,-0.000000,-20296.532577
7.800000,260.084037,-779.777156,2440.642218,39.798088,-125.358981,128.278103,0.615382,0.222146,0.386431,-0.650096,-0.010459,0.035461,0.000000,-0.920385,3.839165,-12.732790,-0.001030,0.020266,0.000000,-0.866728,-0.181757,-98.278519,-0.006800,0.133754,0.000000,75241.190516,0.873720,0.000018,347.220687,0.000000,40.000000,183.722709,13.330801,131.524758,44.284034,32.983242,-106.970692,131.524758,73.321804,19825.919850,0.885579,98.278519,0.004511,337540.343005,478690.480145,816230.823150,-0.000000,-18055.995835
8.400000,283.800156,-854.316530,2515.333835,39.261002,-123.127494,120.724050,0.611891,0.227161,0.395138,-0.646414,-0.010973,0.036991,0.000000,-0.868150,3.615717,-12.437371,-0.000978,0.012781,0.000000,-0.760600,-0.183309,-91.096195,-0.006455,0.084357,0.000000,74538.743560,0.865563,0.000018,347.220687,0.000000,40.000000,176.850508,12.981344,129.235467,43.049765,32.982572,-106.970299,129.235467,73.322625,18491.163039,0.782376,91.096195,0.004913,312761.027783,493339.971077,806100.998861,0.000000,-16110.408401
