# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.408193,1.607642,-0.044032,1.525578,-0.387282,0.000000,101325.000000,1.176613,0.000018,347.220687,4.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,10.001206,1.658655,0.044032,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.600000,2.748510,-0.000424,15.276322,9.784066,0.019123,53.487329,0.705201,-0.056187,0.052165,-0.704849,0.171911,-0.047777,0.000000,15.978905,0.464988,91.040783,0.627685,-0.193802,0.000000,2.151040,6.964308,-8.473502,6.288922,-1.943895,0.000000,101141.617833,1.174483,0.000018,347.220687,3.954171,-1.030553,54.374835,92.433576,9.784084,79.633867,32.990254,-106.974952,9.784084,-2.111892,1700.641881,7.288915,8.473502,0.161244,27758.908489,2813.024012,30571.932500,104760.090015,-460.745236
1.200000,10.711047,0.334528,63.882392,15.983593,1.405158,108.857771,0.706811,-0.045703,0.027068,-0.705405,-0.211764,0.045402,0.000000,10.389944,2.866208,93.550747,-0.432622,0.189967,0.000000,-2.088358,-4.869504,-33.822636,-4.052049,1.797650,0.000000,100559.921070,1.167728,0.000018,347.220687,3.808353,-1.127765,110.033922,94.169598,16.045239,81.615185,32.990257,-106.974821,16.045239,-14.307368,7009.093934,5.231991,33.822636,0.223640,106715.940232,11043.507687,117759.447919,205213.264010,-3721.637264
1.800000,22.685094,1.570622,146.099648,23.600968,2.835032,165.431646,0.706530,-0.050034,0.031225,-0.705222,-0.142958,0.028509,0.000000,11.596759,2.991884,94.981104,-0.753064,0.276993,0.000000,-2.945467,-8.141105,-77.444265,-6.679344,2.465603,0.000000,99582.148208,1.156374,0.000018,347.220687,3.561701,-1.292199,167.130705,95.733207,23.770635,81.823219,32.990268,-106.974622,23.770635,-12.979465,16065.641152,8.736698,77.444265,0.094910,230355.987268,23631.249005,253987.236273,303551.119146,-12943.314517
2.400000,39.245435,3.729428,262.306195,31.571831,4.387777,221.711913,0.706080,-0.055233,0.037416,-0.704984,0.046882,-0.014574,0.000000,14.255664,2.371743,92.400235,1.157497,-0.350939,0.000000,3.586595,11.797573,-142.958761,9.582427,-2.905154,0.000000,98213.299334,1.140479,0.000018,347.220687,3.213081,-1.524612,223.991530,93.523539,31.875274,81.818710,32.990288,-106.974348,31.875274,-10.841163,28509.312747,12.301640,142.958761,0.009991,386456.600580,39627.506397,426084.106977,388345.390010,-32021.551581
3.000000,60.506053,6.861835,411.698646,39.317060,6.047365,275.658628,0.706059,-0.056954,0.037316,-0.704873,0.007391,-0.005166,0.000000,13.545633,2.544202,86.704021,0.871849,-0.247279,0.000000,2.410435,8.421333,-220.454803,6.647668,-1.884572,0.000000,96475.963325,1.120304,0.000018,347.220687,2.764904,-1.823397,278.514059,87.792621,39.779415,81.788516,32.990316,-106.973996,39.779415,-11.719426,43347.756886,8.759642,220.454803,0.000309,558050.936015,58091.114051,616142.050066,452142.255130,-61399.761811
3.600000,86.303418,10.970688,591.842465,46.238239,7.545565,321.280252,0.706003,-0.057850,0.037934,-0.704823,-0.007199,0.003167,0.000000,5.035312,1.274894,29.232964,-0.406602,0.230218,0.000000,-2.193880,-3.850258,-361.737220,-2.808528,1.590315,0.000000,94414.191972,1.096362,0.000018,347.220687,2.224473,-1.499041,324.678165,44.930556,46.849869,81.703466,32.990353,-106.973569,46.849869,-11.697954,57690.598809,4.431433,361.737220,0.000216,711695.829910,78369.134297,790064.964207,365154.709605,-117448.176898
4.200000,113.427854,15.377755,778.384186,44.249479,7.164758,301.107126,0.705793,-0.058529,0.040839,-0.704814,-0.006029,0.004309,0.000000,-2.918939,-0.587500,-31.041139,0.126917,-0.075734,0.000000,0.654426,1.129999,-278.745820,0.837655,-0.499847,0.000000,92316.945241,1.072009,0.000018,347.220687,1.664847,-0.481541,304.425444,31.183612,44.825775,81.532572,32.990392,-106.973120,44.825775,-10.054509,49600.454754,1.309405,278.745820,0.000183,606151.453599,99853.646342,706005.099941,96807.291322,-84857.320039
4.800000,139.466685,19.589696,953.715503,42.594809,6.889574,283.722675,0.705611,-0.059134,0.043288,-0.704800,-0.007167,0.004080,0.000000,-2.555389,-0.375040,-27.096130,-0.038558,0.019782,0.000000,-0.222229,-0.397896,-227.256784,-0.254481,0.130559,0.000000,90380.281066,1.049520,0.000018,347.220687,1.138855,0.474812,286.984913,27.218944,43.148395,81.352747,32.990430,-106.972689,43.148395,-8.761756,43165.848402,0.461635,227.256784,0.000224,535342.210739,121585.803749,656928.014488,0.000165,-65219.268363
5.400000,164.592370,23.660693,1119.259544,41.191426,6.690215,268.355132,0.705441,-0.059419,0.045555,-0.704804,-0.004656,0.004920,0.000000,-2.213822,-0.285525,-24.480963,-0.021616,0.003607,0.000000,-0.073523,-0.218045,-192.960326,-0.142665,0.023806,0.000000,88582.047998,1.028638,0.000018,347.220687,1.000000,1.377779,271.580502,24.582516,41.731194,81.160883,32.990467,-106.972273,41.731194,-7.497396,37883.734672,0.230288,192.960326,0.000151,479413.799650,142690.425897,622104.225546,-0.000000,-52404.262348
