# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.052531,0.211641,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,360117.623248,360117.623248,0.000000,-0.000000
0.600000,2.119850,0.003230,1483.177569,7.616526,0.015578,40.729166,0.704308,-0.059805,0.062849,-0.704574,0.006671,0.037455,0.000000,13.610572,-0.129700,67.603922,0.022679,0.180914,0.000000,-5.209684,0.719402,-4.536693,0.195512,1.542433,0.000000,84918.551051,1.049681,0.000018,336.538572,0.912026,3.309521,41.435210,68.960530,7.616542,79.407767,32.990254,-106.974963,7.616542,1.410980,899.925483,5.259120,4.536693,0.006006,20989.191273,355631.569824,376620.761097,79831.851433,-187.978828
1.200000,9.084958,-0.192458,1519.629783,15.537560,-1.103781,80.673317,0.702563,-0.040063,0.079793,-0.705999,-0.002708,0.110726,0.000000,12.950090,-4.378305,66.090657,-0.061334,-0.081811,0.000000,0.535948,-1.427143,-17.147422,-0.492864,-0.533157,0.000000,84554.059885,1.045933,0.000018,336.410716,1.278059,3.406679,82.163363,67.489623,15.576716,79.071593,32.990252,-106.974848,15.576716,18.199729,3520.538073,1.520762,17.147422,0.048970,80884.904801,357107.748644,437992.653444,153234.671412,-1408.889611
1.800000,20.759776,-1.891889,1579.851742,23.453957,-4.721041,119.920910,0.701633,-0.037274,0.089881,-0.705864,-0.017637,-0.063377,0.000000,13.600314,-5.814893,64.501752,0.071218,-0.138893,0.000000,3.995606,1.382813,-37.302919,0.526910,-1.133969,0.000000,83951.891449,1.039742,0.000018,336.199486,1.882775,3.567192,122.284100,66.175959,23.924388,78.717540,32.990237,-106.974654,23.924388,22.303859,7753.891209,4.228217,37.302919,0.016590,175566.508232,363804.990073,539371.498305,222098.494783,-4561.553934
2.400000,37.262456,-5.573818,1663.236968,31.461887,-7.483212,157.721955,0.701812,-0.037968,0.088289,-0.705850,0.001144,0.060109,0.000000,12.813470,-5.243080,61.391145,-0.084732,-0.138060,0.000000,1.466940,-1.442976,-64.187795,-0.621498,-0.950501,0.000000,83118.110027,1.031169,0.000018,335.907012,2.720084,3.789443,161.003304,62.932882,32.339586,78.412578,32.990204,-106.974381,32.339586,21.565765,13317.224348,2.057023,64.187795,0.013279,298365.000147,375476.774363,673841.774510,279139.378338,-10334.447103
3.000000,58.421916,-11.051264,1768.650059,39.009826,-10.628003,193.154028,0.701771,-0.038362,0.088953,-0.705785,0.007987,0.028616,0.000000,12.094096,-4.641524,56.500221,-0.021738,0.237357,0.000000,-4.668927,-0.023425,-97.184372,-0.144852,1.700422,0.000000,82064.068675,1.020331,0.000018,335.537274,3.778584,4.070405,197.340314,57.966249,40.431683,78.177348,32.990155,-106.974031,40.431683,21.507972,19776.959275,4.668818,97.184372,0.003104,439840.886307,391792.888069,831633.774376,320364.059977,-19178.393336
3.600000,83.913902,-18.323998,1894.243503,45.614640,-13.457871,223.524944,0.701535,-0.036052,0.090618,-0.705930,0.005589,0.022347,0.000000,7.941715,-3.356188,33.984526,-0.028966,0.108583,0.000000,-2.174258,-0.126434,-133.232699,-0.191807,0.750486,0.000000,80808.240926,1.007419,0.000017,335.096754,5.039725,4.405156,228.528357,35.061130,47.558487,77.988524,32.990089,-106.973609,47.558487,23.126319,26157.035702,2.212425,133.232699,0.001793,580044.149091,412636.210674,992680.359765,257018.015394,-30447.448971
4.200000,112.217715,-26.820713,2031.753066,48.113483,-14.579403,231.433633,0.701313,-0.033853,0.092112,-0.706067,-0.001298,0.015835,0.000000,1.397017,-0.699003,-1.988328,-0.030270,-0.088690,0.000000,0.890190,-0.305389,-142.327579,-0.200851,-0.584404,0.000000,79460.152821,0.993796,0.000017,334.560541,6.316439,4.830563,236.831148,2.524581,50.273912,77.744150,32.990013,-106.973140,50.273912,24.627184,27669.884929,0.943246,142.327579,0.000836,617945.383342,439029.847526,1056975.230868,75312.301428,-33707.603898
4.800000,141.077236,-35.564832,2168.790554,47.837734,-14.444588,223.997595,0.701111,-0.032309,0.093634,-0.706140,-0.001370,0.005764,0.000000,-1.041091,0.480473,-15.633400,0.006887,-0.066913,0.000000,0.790033,0.225701,-130.644338,0.045451,-0.441627,0.000000,78154.910666,0.980949,0.000017,333.949570,7.440845,5.338213,229.503851,15.675392,49.970941,77.423987,32.989934,-106.972662,49.970941,25.757746,25601.887171,0.821814,130.644338,0.000116,579392.192783,467908.537550,1047300.730332,-0.000028,-29983.378697
5.400000,169.599245,-44.138944,2300.412635,47.245066,-14.140368,214.802331,0.700913,-0.030817,0.095097,-0.706207,-0.000523,0.004769,0.000000,-0.930598,0.482554,-15.035164,0.009735,-0.015519,0.000000,0.073712,0.278141,-117.316031,0.064252,-0.102423,0.000000,76901.248697,0.968611,0.000017,333.362743,8.520818,5.825802,220.390762,15.071663,49.315781,77.069722,32.989857,-106.972190,49.315781,26.829026,23265.181190,0.287743,117.316031,0.000076,534292.966308,496305.514383,1030598.480692,0.000000,-25855.369422
