# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.062705,0.252594,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,807452.360522,807452.360522,0.000000,-0.000000
0.600000,0.757758,0.000032,1475.754676,2.711930,0.001457,14.971718,0.704414,-0.061596,0.061649,-0.704419,0.000813,0.003486,0.000000,6.029793,0.034425,24.396775,0.019137,0.086103,0.000000,-2.070780,0.473765,-0.652039,0.162627,0.731119,0.000000,84992.773669,1.050444,0.000018,336.564608,0.837489,3.289737,15.215351,25.131210,2.711931,79.732948,32.990254,-106.974985,2.711931,0.024355,125.254211,2.124285,0.652039,0.000054,6418.579109,802490.242224,808908.821333,29315.048795,-9.921001
1.200000,3.453094,-0.013856,1489.047477,6.250345,-0.117173,29.275345,0.703796,-0.053105,0.068257,-0.705118,0.004754,0.072585,0.000000,5.788802,-0.670098,23.572669,-0.013767,0.130133,0.000000,-3.364765,-0.244148,-2.406825,-0.105300,1.133446,0.000000,84859.856961,1.049077,0.000018,336.517983,0.970969,3.325167,29.935369,24.282295,6.251440,77.946116,32.990254,-106.974941,6.251440,7.063061,470.389073,3.373597,2.406825,0.021305,24626.912124,802600.653333,827227.565457,55829.287089,-72.049227
1.800000,8.236803,-0.314953,1510.821880,9.690481,-1.102366,43.238202,0.701227,-0.031851,0.091590,-0.706313,-0.020666,0.126702,0.000000,5.740392,-2.798158,22.822282,-0.067044,0.011755,0.000000,-1.229744,-1.505736,-5.159428,-0.540652,0.237428,0.000000,84642.131428,1.046839,0.000018,336.441609,1.189615,3.383203,44.324517,23.698921,9.752981,77.288861,32.990251,-106.974861,9.752981,25.617588,1026.911777,1.942516,5.159428,0.063502,53519.169522,807205.277324,860724.446846,80517.750509,-228.689753
2.400000,15.103676,-1.620133,1540.774310,13.249903,-3.450271,56.435084,0.697651,-0.018138,0.122008,-0.705740,-0.054894,0.056992,0.000000,6.240346,-4.764995,21.152557,-0.019379,-0.226679,0.000000,3.879578,-0.799938,-8.716894,-0.204234,-1.606419,0.000000,84342.632571,1.043759,0.000018,336.336551,1.490381,3.463037,58.072223,22.562750,13.691762,76.362910,32.990239,-106.974748,13.691762,36.214030,1759.255279,3.961119,8.716894,0.023068,91088.108204,816233.529320,907321.637524,100690.112687,-506.209323
3.000000,24.217514,-4.557689,1578.326033,17.181387,-6.290185,68.533465,0.697625,-0.029282,0.130524,-0.703865,-0.025960,-0.048565,0.000000,6.741429,-4.306726,19.163861,0.096884,-0.017431,0.000000,0.765719,1.574601,-12.823555,0.655219,-0.174304,0.000000,83967.147243,1.039898,0.000018,336.204838,1.867455,3.563125,70.933788,20.766520,18.296625,75.052166,32.990213,-106.974597,18.296625,32.100349,2614.533436,1.750359,12.823555,0.010683,134818.877828,829452.959734,964271.837561,115154.664789,-909.623357
3.600000,35.712677,-9.034346,1622.726002,20.956046,-8.488769,78.697564,0.698098,-0.033025,0.128721,-0.703563,0.001943,0.045502,0.000000,4.699552,-2.743154,10.288195,-0.040574,0.189416,0.000000,-3.696330,-0.596978,-16.867160,-0.272960,1.314732,0.000000,83523.185276,1.035334,0.000018,336.049104,2.313295,3.681467,81.881143,11.638556,22.610065,73.970470,32.990173,-106.974407,22.610065,30.387057,3462.659614,3.744226,16.867160,0.007014,178384.501018,846808.440246,1025192.941265,92093.264011,-1381.102316
4.200000,48.873721,-14.500231,1670.688903,22.596189,-9.571718,79.786341,0.695548,-0.024263,0.144850,-0.703309,-0.034604,0.031545,0.000000,1.325786,-1.013994,-4.387105,-0.016726,-0.178728,0.000000,2.677077,-0.491036,-17.394388,-0.118121,-1.177677,0.000000,83043.597015,1.030403,0.000018,335.880874,2.794912,3.809305,83.474941,4.694311,24.539877,72.903679,32.990124,-106.974189,24.539877,35.173211,3573.952627,2.721745,17.394388,0.007266,184773.696255,868908.763366,1053682.459620,26555.028827,-1451.995380
4.800000,62.525748,-20.316976,1717.170526,22.770525,-9.706508,74.584008,0.695458,-0.030537,0.150040,-0.702065,-0.014532,-0.006471,0.000000,-0.061713,0.076545,-10.080485,0.036003,0.091766,0.000000,-1.491514,0.560148,-15.341878,0.237617,0.605653,0.000000,82578.820272,1.025624,0.000018,335.717839,3.261655,3.933194,78.584269,10.080965,24.753042,71.639956,32.990071,-106.973963,24.753042,33.224888,3143.235382,1.592817,15.341878,0.000835,163650.414677,892503.594907,1056154.009585,0.317409,-1205.630269
5.400000,76.175799,-26.125660,1760.109696,22.727735,-9.657473,68.551201,0.694046,-0.027540,0.158710,-0.701680,-0.021639,0.054799,0.000000,-0.078782,0.062814,-10.034232,-0.045604,0.032664,0.000000,-0.934077,-0.836918,-13.131365,-0.300984,0.215584,0.000000,82149.465046,1.021209,0.000018,335.567230,3.692827,4.047642,72.863460,10.034738,24.694467,70.189260,32.990019,-106.973737,24.694467,34.842371,2680.380789,1.254148,13.131365,0.011455,140690.733313,914821.326887,1055512.060200,0.000004,-956.796659
