# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.854302,-0.185234,1.369452,-0.000000,0.000000,85598.771785,0.721768,0.000023,407.473006,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,36.088422,4.854302,0.185234,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.057038,0.000000,1422.424628,14.215923,0.000000,78.506382,0.705155,-0.052502,0.052502,-0.705155,0.163712,0.000000,0.000000,24.028492,0.000001,145.894196,0.556816,0.000000,0.000000,-0.000010,16.243045,-10.959533,4.826167,0.000003,0.000000,85364.031937,0.719789,0.000023,407.473006,10.000000,0.000000,79.783109,147.859679,14.215923,79.736109,32.990254,-106.974931,14.215923,0.000000,2224.517685,16.243048,10.959533,0.107385,70090.768255,307197.832500,377288.600755,277680.865246,-874.385817
1.200000,15.704688,-0.000000,1496.915465,22.303666,-0.000004,169.526756,0.706981,-0.013308,0.013308,-0.706981,-0.035365,0.000000,0.000000,4.556244,-0.000014,146.957054,-1.413081,-0.000000,0.000000,0.000001,-28.440668,-49.530228,-10.451574,-0.000000,0.000000,84588.004408,0.713246,0.000023,407.473006,10.000000,0.000000,170.987645,147.027667,22.303666,82.504968,32.990254,-106.974738,22.303666,0.000127,10303.083441,28.440669,49.530228,0.004590,307141.316475,308430.079076,615571.395552,571868.383983,-8469.057002
1.800000,30.797295,-0.000005,1624.445218,28.695966,-0.000013,253.070105,0.706718,-0.023429,0.023430,-0.706718,0.116034,-0.000000,0.000000,6.270409,-0.000016,95.702879,-1.092216,-0.000003,0.000000,0.000056,-14.387326,-112.440967,-7.103478,-0.000023,0.000000,83272.697011,0.702155,0.000023,407.473006,10.000000,0.000000,254.691846,95.908076,28.695966,83.530785,32.990254,-106.974488,28.695966,0.000102,22607.289997,14.387609,112.440967,0.044938,651879.667510,320179.162396,972058.829906,569678.248593,-28637.797600
2.400000,48.232075,-0.000014,1778.963336,29.018064,-0.000014,253.852800,0.706705,-0.023836,0.023836,-0.706705,0.030381,-0.000000,0.000000,-1.058815,-0.000000,-15.302846,-0.953510,-0.000000,0.000000,0.000008,-13.721462,-111.100983,-6.293164,-0.000001,0.000000,81701.278682,0.688905,0.000023,407.473006,10.000000,0.000000,255.505953,15.339432,29.018064,83.478791,32.990254,-106.974199,29.018064,0.000075,22321.524622,13.719639,111.100983,0.003048,652832.922952,348913.416026,1001746.338978,0.000000,-28386.962604
3.000000,65.551668,-0.000022,1928.545808,28.757896,-0.000014,244.804863,0.706657,-0.025218,0.025219,-0.706657,0.004686,-0.000000,0.000000,-0.790177,0.000001,-14.795544,-0.581230,0.000002,0.000000,-0.000020,-8.650835,-100.650596,-3.836116,0.000011,0.000000,80203.013926,0.676271,0.000023,407.473006,10.000000,0.000000,246.488210,14.816629,28.757896,83.300015,32.990254,-106.973913,28.757896,0.000077,20383.253556,8.657763,100.650596,0.000074,607564.377544,378251.474952,985815.852495,-0.000000,-24809.185366
3.600000,82.732076,-0.000030,2072.789313,28.533214,-0.000014,236.051774,0.706609,-0.026510,0.026511,-0.706609,0.004823,-0.000000,0.000000,-0.598557,0.000001,-14.342079,-0.344273,0.000001,0.000000,-0.000004,-5.140674,-91.350588,-2.272205,0.000003,0.000000,78779.373822,0.664267,0.000023,407.473006,10.000000,0.000000,237.770024,14.354564,28.533214,83.107701,32.990254,-106.973628,28.533214,0.000084,18620.714361,5.140953,91.350588,0.000077,565345.841973,406542.386415,971888.228388,0.000000,-21720.431422
4.200000,99.783082,-0.000038,2211.861652,28.327705,-0.000013,227.562774,0.706562,-0.027745,0.027745,-0.706562,0.009875,-0.000000,0.000000,-0.456372,-0.000001,-13.932949,-0.180846,-0.000001,0.000000,0.000023,-2.628164,-82.987606,-1.193582,-0.000009,0.000000,77426.214977,0.652857,0.000023,407.473006,10.000000,0.000000,229.319155,13.940421,28.327705,82.904150,32.990254,-106.973346,28.327705,0.000101,17013.701007,2.605284,82.987606,0.000324,525872.749650,433819.061454,959691.811104,0.000000,-19030.647596
4.800000,116.713343,-0.000046,2345.913427,28.133179,-0.000013,219.312252,0.706510,-0.029027,0.029027,-0.706510,0.010544,0.000000,0.000000,-0.334052,-0.000001,-13.563619,-0.040688,-0.000002,0.000000,0.000035,-0.494728,-75.434203,-0.268541,-0.000016,0.000000,76139.780024,0.642010,0.000023,407.473006,10.000000,0.000000,221.109339,13.567732,28.133179,82.690071,32.990254,-106.973065,28.133179,0.000119,15545.211414,0.401695,75.434203,0.000367,488893.397213,460111.038234,949004.435447,-0.000000,-16679.206701
5.400000,133.531184,-0.000054,2475.080226,27.945932,-0.000012,211.275747,0.706461,-0.030211,0.030211,-0.706461,0.003400,0.000000,0.000000,-0.251378,0.000001,-13.233720,0.051943,-0.000000,0.000000,0.000000,0.842327,-68.720378,0.342827,-0.000001,0.000000,74916.650921,0.631697,0.000023,407.473006,10.000000,0.000000,213.115970,13.236107,27.945932,82.465095,32.990254,-106.972787,27.945932,0.000100,14200.386363,0.856021,68.720378,0.000038,454184.165547,485444.909910,939629.075457,0.000000,-14645.409931
6.000000,150.244294,-0.000061,2599.483190,27.768530,-0.000012,203.431064,0.706425,-0.031040,0.031040,-0.706425,-0.006658,0.000000,0.000000,-0.237467,0.000001,-12.928768,0.052745,0.000001,0.000000,-0.000012,0.745727,-62.618283,0.348119,0.000005,0.000000,73753.721283,0.621891,0.000023,407.473006,10.000000,0.000000,205.317532,12.930949,27.768530,82.227111,32.990254,-106.972510,27.768530,0.000091,12966.402443,0.746016,62.618283,0.000146,421552.890199,509844.436591,931397.326790,0.000000,-12856.631332
