id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity,temperature,E wind start,E wind end,N wind start,N wind end,Burn out time,Nozzle Distance,Propellant
1,20.0,187.28830567315865,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32358840498557745,23.46857868113561,23.476190476190478,24.976190476190478,83.92380952380954,85.42380952380954,187.28830567315865,7,551.9073467856498,0.0005455534273217769,3883.115847014939,2272.5044982206114,0.0006930706490808349,-7.888813344529523,473.15,0,10,-2,0,3.6,-1.255,-0.85704
2,20.0,190.27195809412623,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3235893550340367,23.382567814355752,23.390476190476193,24.890476190476193,84.55238095238096,86.05238095238096,190.27195809412623,7,543.7420194127532,0.0003385265197003158,3868.6325322818543,2292.3295342832566,0.00042759689245601705,-7.720220010305029,453.15,0,10,-2,0,3.6,-1.255,-0.85704
3,20.0,193.4347477451961,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3235903904025739,23.29003772793303,23.295238095238098,24.795238095238098,85.2,86.7,193.4347477451961,7,535.2427497286418,-8.070076327589519e-05,3853.101408579586,2313.6292833543093,-9.55852566538989e-05,-7.547867597895075,433.15,0,10,-2,0,3.6,-1.255,-0.85704
4,20.0,196.7802525244335,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3235915231898807,23.189769237317563,23.190476190476193,24.690476190476193,85.86666666666667,87.36666666666667,196.7802525244335,7,526.343380534038,-0.00014621433570322908,3836.3047794776953,2336.386586220907,-0.00017302649722257266,-7.371492393407473,413.15,0,10,-2,0,3.6,-1.255,-0.85704
5,20.0,200.35691899540421,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32359276789463487,23.08038259567574,23.08571428571429,24.58571428571429,86.52380952380953,88.02380952380953,200.35691899540421,7,517.0253184393041,0.00029870951620903713,3817.96946585655,2361.14236360861,0.0003926030444107747,-7.19079839139158,393.15,0,10,-2,0,3.6,-1.255,-0.85704
6,20.0,204.16133560943857,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3235941420792179,22.961039257076198,22.961904761904766,24.461904761904766,87.2,88.7,204.16133560943857,7,507.20102452192214,-0.00012295875299258338,3798.018204730412,2387.670571190484,-0.0001356427080883759,-7.005451409498918,373.15,0,10,-2,0,3.6,-1.255,-0.85704
7,20.0,194.0147158756805,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35819844187101485,24.42335871061616,24.42857142857143,25.92857142857143,90.64761904761906,92.14761904761906,194.0147158756805,7,424.31637991217525,0.00022978992740244013,4055.4187357057826,2166.460617308825,0.0002800529940558518,-7.888813344411048,473.15,0,10,-2,0,3.6,-1.255,-0.85704
8,20.0,197.0369286444903,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35819968047818873,24.32849803231773,24.333333333333336,25.833333333333336,91.33333333333334,92.83333333333334,197.0369286444903,7,413.975926603537,0.00023372644807592344,4038.8496731920236,2184.393979844415,0.00028743010067510424,-7.720220009945584,453.15,0,10,-2,0,3.6,-1.255,-0.85704
9,20.0,200.25053762686053,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3582010307998329,24.2263626193921,24.22857142857143,25.72857142857143,92.02857142857144,93.52857142857144,200.25053762686053,7,403.1381958281801,0.00022055880671963766,4021.0429321812217,2203.7442754703193,0.00027512500155638895,-7.54786759765084,433.15,0,10,-2,0,3.6,-1.255,-0.85704
10,20.0,203.64322561840726,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35820250873949744,24.115439949204717,24.123809523809527,25.623809523809527,92.73333333333335,94.23333333333335,203.64322561840726,7,391.7898106817497,0.00046587909648123456,4001.7162057416813,2224.413801453383,0.0005770556314845418,-7.371492393342285,413.15,0,10,-2,0,3.6,-1.255,-0.85704
