# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.289327,-0.279912,2.056667,-0.000000,0.000000,85598.771785,1.083767,0.000017,332.529151,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,54.188375,7.289327,0.279912,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,1.810197,-0.000000,1409.990280,7.200743,0.000000,38.380932,0.704691,-0.058405,0.058405,-0.704691,0.091078,-0.000000,0.000000,15.021410,0.000000,76.283997,0.499955,-0.000000,0.000000,0.000002,14.683125,-4.052682,4.257802,-0.000001,0.000000,85494.129579,1.082443,0.000017,332.529151,10.000000,0.000000,39.050566,77.748898,7.200743,79.374118,32.990254,-106.974968,7.200743,-0.000001,801.511672,14.683124,4.052682,0.034375,17124.421429,310546.899563,327671.320992,76801.933396,-158.259374
1.200000,8.348703,0.000000,1447.186771,13.294499,0.000000,86.207797,0.707038,-0.009849,0.009849,-0.707038,0.289193,0.000000,0.000000,2.348593,-0.000000,81.653661,-0.323775,0.000000,0.000000,-0.000004,-3.652504,-19.479527,-2.180909,0.000001,0.000000,85105.428972,1.077521,0.000017,332.529151,10.000000,0.000000,87.226877,81.687431,13.294499,81.233218,32.990254,-106.974860,13.294499,-0.288024,4009.800461,3.652991,19.479527,0.331001,83200.793646,310384.730473,393585.524119,176233.192941,-1699.138282
1.800000,16.046509,0.000000,1513.550583,12.198776,-0.000001,134.750197,0.707095,-0.004080,0.004080,-0.707095,-0.221822,-0.000000,0.000000,0.903255,-0.000004,79.134194,0.044421,-0.000001,0.000000,0.000013,-3.153822,-46.655601,0.042233,-0.000005,0.000000,84415.486563,1.068786,0.000017,332.529151,10.000000,0.000000,135.301240,79.139364,12.198776,84.827182,32.990254,-106.974732,12.198776,18.179327,9705.885327,3.750324,46.655601,0.185193,194840.763013,315953.708238,510794.471251,262484.080885,-6312.560769
2.400000,24.009709,-0.000001,1608.291374,14.041088,-0.000002,180.367644,0.707102,-0.002576,0.002576,-0.707102,0.044434,-0.000000,0.000000,-0.433079,0.000000,72.398912,-1.244765,0.000001,0.000000,-0.000013,-21.303071,-83.473665,-8.838515,0.000006,0.000000,83438.381293,1.056415,0.000017,332.529151,10.000000,0.000000,180.913347,72.400205,14.041088,85.548670,32.990254,-106.974600,14.041088,0.000048,17192.525556,21.303048,83.473665,0.007057,339344.768806,327050.892265,666395.661071,323472.472203,-15101.502916
3.000000,32.647654,-0.000002,1729.173517,14.996316,-0.000002,221.995534,0.707083,-0.005781,0.005781,-0.707083,0.031803,-0.000000,0.000000,0.562142,0.000002,65.317705,-0.923645,0.000001,0.000000,-0.000014,-13.412662,-129.967288,-6.215502,0.000007,0.000000,82204.985943,1.040799,0.000017,332.529151,10.000000,0.000000,222.501475,65.320124,14.996316,86.135408,32.990254,-106.974457,14.996316,-0.000043,25659.320888,13.412678,129.967288,0.003424,500637.411941,342962.593116,843600.005057,366979.766926,-28917.913407
3.600000,41.766758,-0.000004,1867.924743,15.288616,-0.000002,233.087804,0.707070,-0.007221,0.007221,-0.707070,-0.032642,0.000000,0.000000,-0.281307,0.000000,-10.886588,-0.314481,0.000000,0.000000,-0.000004,-5.192503,-143.056541,-2.082075,0.000001,0.000000,80807.508371,1.023105,0.000017,332.529151,10.000000,0.000000,233.588669,10.890260,15.288616,86.247250,32.990254,-106.974306,15.288616,-0.000039,27806.922826,5.192503,143.056541,0.003527,546339.204370,366833.395204,913172.599575,49053.620480,-33416.386903
4.200000,50.920865,-0.000005,2004.773817,15.200217,-0.000002,223.156550,0.707056,-0.008493,0.008493,-0.707056,-0.020406,0.000000,0.000000,-0.072096,-0.000000,-16.163349,0.137026,-0.000000,0.000000,0.000007,1.612145,-127.131933,0.904370,-0.000003,0.000000,79448.094256,1.005894,0.000017,332.529151,10.000000,0.000000,223.673630,16.163510,15.200217,86.103340,32.990254,-106.974155,15.200217,-0.000025,25059.772678,1.658031,127.131933,0.001374,500298.926678,393202.302942,893501.229620,-0.003520,-28436.060959
4.800000,60.022909,-0.000006,2135.801435,15.124513,-0.000002,213.671727,0.707052,-0.008806,0.008806,-0.707052,-0.005380,-0.000000,0.000000,-0.052349,-0.000000,-15.471741,0.126835,-0.000000,0.000000,0.000004,1.775165,-113.292749,0.837109,-0.000002,0.000000,78163.920197,0.989635,0.000017,332.529151,10.000000,0.000000,214.206344,15.471829,15.124513,85.951136,32.990254,-106.974004,15.124513,-0.000027,22604.181018,1.772628,113.292749,0.000096,458843.577980,418901.142887,877744.720867,0.000000,-24268.025490
5.400000,69.076077,-0.000008,2261.257362,15.048710,-0.000002,204.575311,0.707051,-0.008931,0.008931,-0.707051,-0.001593,-0.000000,0.000000,-0.077892,-0.000000,-14.865746,0.068721,-0.000000,0.000000,0.000001,0.998358,-101.188977,0.453557,-0.000000,0.000000,76950.154859,0.974267,0.000017,332.529151,10.000000,0.000000,205.128061,14.865950,15.048710,85.792858,32.990254,-106.973854,15.048710,-0.000028,20399.473568,0.998593,101.188977,0.000008,420775.216045,443507.190259,864282.406304,0.000000,-20756.698791
