# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-80.420439,73.918760,-4.227530,20.973747,22.818536,0.000000,85598.771785,0.993995,0.000018,347.220687,28.000000,30.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,836.944147,109.231085,4.227530,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.384607,0.060679,1412.839609,8.461688,0.127586,44.657418,0.703165,-0.007541,0.063969,-0.708099,0.523306,0.574445,0.000000,11.068251,-4.101204,74.729966,1.759032,1.951588,0.000000,-61.932809,55.885145,-8.055626,15.134072,16.784141,0.000000,85464.303552,0.992434,0.000018,347.220687,28.000000,30.000000,45.452189,75.656421,8.462650,79.269600,32.990255,-106.974959,8.462650,38.076330,1621.831486,83.419555,8.055626,2.500914,23192.688168,311055.706997,334248.395165,87571.013620,-366.145843
1.200000,7.046232,-3.091266,1452.437679,2.373004,-15.329918,84.955093,0.642259,0.347700,0.078102,-0.678605,0.665029,0.766567,0.000000,-33.184201,-48.046685,50.719383,-2.441208,-2.617046,0.000000,52.610673,-49.792277,-23.730118,-18.760046,-20.053765,0.000000,85050.672829,0.987631,0.000018,347.220687,28.000000,30.000000,86.359744,77.344237,15.512497,79.651996,32.990226,-106.974881,15.512497,120.763875,4903.049563,72.437011,23.730118,4.105379,81904.112139,312830.740488,394734.852627,161060.922580,-2049.326927
1.800000,1.938331,-21.493435,1511.612055,-17.961432,-44.903900,113.630527,0.663625,0.278847,0.082193,-0.689269,-0.512081,-0.557445,0.000000,-20.805884,-38.136989,59.963478,2.308958,2.426214,0.000000,-42.449679,40.724406,-48.629825,17.138898,17.988421,0.000000,84435.575772,0.980488,0.000018,347.220687,28.000000,30.000000,123.494412,74.046847,48.362933,66.944636,32.990061,-106.974966,48.362933,117.490651,10116.158400,58.733933,48.629825,2.194553,163810.366415,318443.190264,482253.556679,224296.803090,-6005.511649
2.400000,-12.306683,-54.964214,1590.545692,-31.304394,-68.217331,147.464650,0.644183,0.347329,0.085326,-0.676101,-0.072534,-0.054923,0.000000,-31.021645,-46.650052,45.707139,-3.450358,-3.817911,0.000000,73.372558,-66.772444,-82.215224,-25.423423,-28.104855,0.000000,83620.700085,0.971026,0.000018,347.220687,28.000000,30.000000,165.467195,72.302862,75.057108,63.024647,32.989760,-106.975202,75.057108,119.813049,16948.997509,99.206146,82.215224,0.030547,287759.471278,327870.698787,615630.170065,286879.906977,-13603.918046
3.000000,-35.572744,-103.279272,1688.021335,-45.799217,-92.298933,177.252964,0.647993,0.336278,0.086955,-0.677835,0.055801,0.078596,0.000000,-26.916871,-41.984333,43.384521,-2.825732,-3.090689,0.000000,49.442935,-45.556144,-125.260228,-19.834142,-21.675999,0.000000,82623.204514,0.959442,0.000018,347.220687,28.000000,30.000000,205.025059,66.101546,103.037184,59.830555,32.989325,-106.975587,103.037184,119.212614,24860.094919,67.219872,125.260228,0.032772,432728.837750,340824.274653,773553.112402,332839.544269,-25681.485623
3.600000,-67.228299,-165.518046,1802.250598,-58.956920,-113.949436,201.820547,0.649669,0.331961,0.088687,-0.678134,-0.106728,-0.106671,0.000000,-4.402868,-6.862701,-1.580641,-0.718906,-0.844391,0.000000,14.243372,-12.461038,-166.781473,-4.812192,-5.647419,0.000000,81466.548490,0.946011,0.000018,347.220687,28.000000,30.000000,239.148334,25.669932,128.298061,57.555730,32.988766,-106.976111,128.298061,118.814024,32644.226973,18.924881,166.781473,0.076978,578015.601191,357248.680214,935264.281405,268962.159556,-39885.511382
4.200000,-102.082265,-233.052392,1920.495534,-57.290037,-111.237298,192.336453,0.650054,0.331665,0.090228,-0.677707,0.008989,0.016485,0.000000,3.105373,4.740956,-15.065971,0.890488,0.978266,0.000000,-14.198611,12.807242,-153.448943,5.877218,6.456554,0.000000,80283.077249,0.932268,0.000018,347.220687,28.000000,30.000000,229.454126,16.096686,125.123478,56.954195,32.988158,-106.976688,125.123478,118.588169,29933.115795,19.120281,153.448943,0.001179,527399.154349,377321.591045,904720.745393,72966.414386,-35209.493168
4.800000,-135.993862,-299.032719,2033.125611,-55.758772,-108.719852,183.156614,0.647205,0.341773,0.092155,-0.675147,0.046568,0.060278,0.000000,2.445306,4.047146,-15.064581,-0.017071,-0.003733,0.000000,-1.074326,0.626250,-141.422617,-0.112670,-0.024636,0.000000,79168.786337,0.919329,0.000018,347.220687,28.000000,30.000000,220.171279,15.789255,122.184478,56.292595,32.987565,-106.977250,122.184478,118.699327,27490.261883,1.620635,141.422617,0.019145,484753.938000,398763.025445,883516.963445,-0.000011,-31137.198396
5.400000,-169.032319,-363.565934,2140.324863,-54.366151,-106.402146,174.253163,0.644825,0.350241,0.094181,-0.672801,0.020949,0.033268,0.000000,2.143193,3.641157,-14.670940,-0.202608,-0.218885,0.000000,2.580632,-2.565545,-128.809229,-1.337212,-1.444644,0.000000,78119.889082,0.907149,0.000018,347.220687,28.000000,30.000000,211.284784,15.267209,119.486798,55.561253,32.986985,-106.977797,119.486798,118.732714,25288.535051,3.671423,128.809229,0.005110,446412.603236,419788.336329,866200.939565,0.000000,-27215.430150
6.000000,-201.259070,-426.754000,2242.285240,-53.067849,-104.246851,165.668692,0.642753,0.357640,0.096262,-0.670593,0.010548,0.022160,0.000000,2.035945,3.420117,-14.128690,-0.100479,-0.110910,0.000000,1.244474,-1.291805,-117.497712,-0.663158,-0.732004,0.000000,77132.720957,0.895685,0.000018,347.220687,28.000000,30.000000,202.804630,14.678630,116.976931,54.774484,32.986417,-106.978330,116.976931,118.720921,23305.881670,1.794656,117.497712,0.001988,411297.180468,439786.131025,851083.311494,-0.000000,-23829.079967
6.600000,-232.730327,-488.690952,2339.183763,-51.853313,-102.235178,157.366172,0.640514,0.365430,0.098440,-0.668215,0.010768,0.022778,0.000000,1.932911,3.218824,-13.653540,-0.034265,-0.038206,0.000000,0.187975,-0.328738,-107.508501,-0.226148,-0.252159,0.000000,76203.946166,0.884900,0.000018,347.220687,28.000000,30.000000,194.691832,14.160372,114.633318,53.928550,32.985860,-106.978852,114.633318,118.710881,21514.936092,0.317008,107.508501,0.002095,379049.098459,458791.128938,837840.227398,-0.000000,-20931.026978
7.200000,-263.496830,-549.460955,2431.176107,-50.717550,-100.354979,149.309453,0.638031,0.373813,0.100730,-0.665607,0.013016,0.025763,0.000000,1.820079,3.021484,-13.253383,-0.012760,-0.013947,0.000000,-0.202465,0.016983,-98.634536,-0.084218,-0.092047,0.000000,75330.597167,0.874759,0.000018,347.220687,28.000000,30.000000,186.913628,13.714744,112.442838,53.017114,32.985313,-106.979361,112.442838,118.707083,19892.968540,0.191896,98.634536,0.002749,349367.046504,476833.863425,826200.909929,0.000000,-18436.138902
7.800000,-293.604170,-609.139445,2518.400662,-49.653684,-98.593766,141.470798,0.635318,0.382708,0.103136,-0.662773,0.015050,0.028590,0.000000,1.710324,2.837111,-12.905398,-0.007832,-0.008056,0.000000,-0.317265,0.112974,-90.722374,-0.051689,-0.053167,0.000000,74510.015100,0.865230,0.000018,347.220687,28.000000,30.000000,179.444158,13.323802,110.391209,52.034695,32.984777,-106.979859,110.391209,118.706039,18420.933354,0.336685,90.722374,0.003445,322002.060204,493941.477022,815943.537226,-0.000000,-16279.599948
8.400000,-323.093217,-667.794063,2600.981166,-48.654333,-96.939256,133.827025,0.632381,0.392063,0.105660,-0.659709,0.016805,0.031155,0.000000,1.609836,2.669898,-12.595972,-0.006546,-0.006328,0.000000,-0.364090,0.148909,-83.665691,-0.043206,-0.041764,0.000000,73739.807695,0.856286,0.000018,347.220687,28.000000,30.000000,172.261824,12.976072,108.464111,50.975929,32.984249,-106.980348,108.464111,118.705682,17082.535264,0.393392,83.665691,0.004135,296741.363543,510138.239036,806879.602580,0.000000,-14412.404570
9.000000,-352.000683,-725.485582,2679.028626,-47.713322,-95.381219,126.358754,0.629214,0.401865,0.108306,-0.656402,0.018317,0.033483,0.000000,1.519001,2.518360,-12.315729,-0.004422,-0.003754,0.000000,-0.418937,0.193040,-77.316116,-0.029188,-0.024776,0.000000,73017.816927,0.847902,0.000018,347.220687,28.000000,30.000000,165.350152,12.662018,106.649604,49.834889,32.983730,-106.980826,106.649604,118.705198,15864.032397,0.461258,77.316116,0.004807,273406.733224,525445.921534,798852.654758,-0.000000,-12784.231559
9.600000,-380.359853,-782.269118,2752.643346,-46.825415,-93.910956,119.049275,0.625798,0.412123,0.111077,-0.652835,0.019531,0.035512,0.000000,1.436917,2.380786,-12.060610,-0.000997,0.000186,0.000000,-0.489689,0.252440,-71.588986,-0.006582,0.001230,0.000000,72342.088011,0.840055,0.000018,347.220687,28.000000,30.000000,158.696619,12.377043,104.937539,48.605014,32.983220,-106.981296,104.937539,118.704493,14753.680628,0.550927,71.588986,0.005420,251846.173371,539884.197296,791730.370666,-0.000000,-11360.930054
10.200000,-408.200910,-838.194665,2821.916095,-45.985227,-92.519605,111.882979,0.622107,0.422866,0.113978,-0.648981,0.020538,0.037337,0.000000,1.363663,2.258327,-11.832436,0.001574,0.003171,0.000000,-0.542658,0.295868,-66.520603,0.010387,0.020928,0.000000,71710.848291,0.832725,0.000018,347.220687,28.000000,30.000000,152.290247,12.122960,103.317561,47.279285,32.982717,-106.981757,103.317561,118.703994,13741.076952,0.618075,66.520603,0.005992,231923.200063,553470.869472,785394.069535,0.000000,-10130.439099
10.800000,-435.550853,-893.306939,2886.928553,-45.187866,-91.199126,104.846130,0.618115,0.434115,0.117012,-0.644815,0.021467,0.039108,0.000000,1.295876,2.145644,-11.625544,0.002512,0.004189,0.000000,-0.564158,0.312977,-61.936823,0.016579,0.027649,0.000000,71122.494236,0.825893,0.000018,347.220687,28.000000,30.000000,146.123013,11.892702,101.780272,45.850075,32.982221,-106.982210,101.780272,118.703821,12817.201188,0.645159,61.936823,0.006568,213519.355012,566221.957928,779741.312940,0.000000,-9050.395149
11.400000,-462.434262,-947.646638,2947.755034,-44.429712,-89.943561,97.927731,0.613802,0.445870,0.120181,-0.640315,0.022432,0.040960,0.000000,1.233361,2.041929,-11.436656,0.002799,0.004364,0.000000,-0.573067,0.320230,-57.780610,0.018475,0.028802,0.000000,70575.567977,0.819542,0.000018,347.220687,28.000000,30.000000,140.191597,11.682797,100.318709,44.309010,32.981733,-106.982655,100.318709,118.703742,11974.476804,0.656470,57.780610,0.007197,196536.846938,578152.038003,774688.884941,0.000000,-8100.356002
12.000000,-488.873674,-1001.251093,3004.463589,-43.707555,-88.747590,91.117918,0.609138,0.458150,0.123487,-0.635452,0.023431,0.042918,0.000000,1.175035,1.946080,-11.264773,0.001390,0.002771,0.000000,-0.555035,0.301088,-54.011336,0.009173,0.018292,0.000000,70068.740783,0.813657,0.000018,347.220687,28.000000,30.000000,134.495204,11.491869,98.926665,42.647096,32.981251,-106.983093,98.926665,118.704095,11206.264243,0.631441,54.011336,0.007890,180889.607823,589274.457045,770164.064869,0.000000,-7264.265719
