# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000
0.550000,2.946364,0.001124,1487.799624,11.466399,-0.013366,62.262127,0.704206,-0.061128,0.064000,-0.704458,-0.022683,0.032334,0.000000
1.100000,13.184000,-0.272804,1541.713791,26.186236,-1.416211,133.871222,0.702343,-0.060925,0.083611,-0.704281,-0.046946,0.026925,0.000000
1.650000,31.832795,-1.718416,1633.957876,41.369397,-3.692639,200.856749,0.702407,-0.061288,0.083103,-0.704246,-0.022288,0.037001,0.000000
2.200000,56.885463,-4.137229,1753.858425,46.422567,-4.536426,219.439541,0.701904,-0.060597,0.087818,-0.704235,-0.017967,0.027441,0.000000
2.750000,82.251757,-6.601208,1872.291512,45.818725,-4.408839,211.272485,0.701440,-0.059910,0.092016,-0.704220,-0.015008,0.021649,0.000000
3.300000,107.297011,-8.991569,1986.303179,45.257472,-4.274241,203.356417,0.700971,-0.059261,0.096158,-0.704189,-0.011742,0.017632,0.000000
3.850000,132.043733,-11.306331,2096.024453,44.739753,-4.145666,195.664984,0.700564,-0.058877,0.099706,-0.704132,-0.002461,0.001793,0.000000
4.400000,156.514922,-13.549076,2201.572933,44.256329,-4.013727,188.179033,0.700311,-0.058999,0.101961,-0.704051,-0.003782,0.003997,0.000000
4.950000,180.730651,-15.721570,2303.055869,43.808167,-3.887289,180.878994,0.700051,-0.059199,0.104269,-0.703955,-0.006305,0.006256,0.000000
5.500000,204.709772,-17.826692,2400.570811,43.392921,-3.767025,173.747644,0.699781,-0.059441,0.106637,-0.703848,-0.008360,0.006992,0.000000
6.050000,228.469058,-19.867003,2494.205908,43.008051,-3.652485,166.768205,0.699480,-0.059715,0.109244,-0.703724,-0.008443,0.006140,0.000000
