# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,1.886221,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.347740,0.000000,1412.882953,8.411295,0.000000,44.805936,0.704853,-0.056405,0.056405,-0.704853,0.116800,-0.000000,0.000000,14.259149,0.000000,74.595329,0.504024,-0.000000,0.000000,0.000002,14.959367,-5.016230,4.300775,-0.000001,0.000000,85463.849901,0.992429,0.000018,347.220687,10.000000,0.000000,45.588614,75.945944,8.411295,79.367767,32.990254,-106.974959,8.411295,-0.000000,997.438389,14.959367,5.016230,0.056503,23329.664308,311065.259055,334394.923363,87834.262612,-228.683002
1.200000,9.349745,0.000000,1453.108124,13.579814,0.000000,89.301184,0.707078,-0.006327,0.006327,-0.707078,0.262731,0.000000,0.000000,1.152725,-0.000001,74.229154,-0.433460,0.000000,0.000000,-0.000002,-7.179086,-19.165891,-3.175838,0.000000,0.000000,85043.683520,0.987550,0.000018,347.220687,10.000000,0.000000,90.327808,74.238105,13.579814,81.353413,32.990254,-106.974843,13.579814,1.839330,3944.034364,7.209273,19.165891,0.275161,89599.485913,312975.143192,402574.629106,168461.361453,-1731.212930
1.800000,17.167560,0.000000,1519.985317,12.464361,-0.000001,133.495939,0.707090,-0.004854,0.004854,-0.707090,-0.216300,0.000000,0.000000,1.023328,-0.000005,72.780561,0.037890,-0.000001,0.000000,0.000016,-2.805550,-41.975954,0.057419,-0.000006,0.000000,84348.830317,0.979481,0.000018,347.220687,10.000000,0.000000,134.076568,72.787769,12.464361,84.665825,32.990254,-106.974714,12.464361,17.843429,8730.718833,2.315465,41.975954,0.179181,193084.447111,320207.277775,513291.724886,243514.574618,-5627.991845
2.400000,25.309087,-0.000001,1612.961736,14.500636,-0.000003,176.073943,0.707093,-0.004329,0.004329,-0.707093,0.096149,-0.000000,0.000000,0.176958,-0.000003,69.224517,-0.955952,-0.000000,0.000000,0.000005,-16.438316,-72.581639,-6.920736,-0.000001,0.000000,83390.451636,0.968352,0.000018,347.220687,10.000000,0.000000,176.670036,69.224743,14.500636,85.292009,32.990254,-106.974579,14.500636,0.000143,15020.245209,16.438419,72.581639,0.033950,328043.757225,332491.594853,660535.352078,306301.694238,-12823.000833
3.000000,34.178415,-0.000004,1730.765311,15.497504,-0.000004,216.023172,0.707051,-0.008884,0.008884,-0.707051,0.089643,-0.000000,0.000000,1.505375,-0.000003,52.137982,-0.167298,-0.000001,0.000000,0.000014,-0.922173,-110.813169,-1.088796,-0.000006,0.000000,82188.843472,0.954398,0.000018,347.220687,10.000000,0.000000,216.578355,56.628202,15.497504,85.896630,32.990254,-106.974432,15.497504,0.000069,22283.406264,0.922173,110.813169,0.028271,482872.020841,349454.606644,832326.627486,351595.269697,-23999.733772
3.600000,43.415220,-0.000006,1857.654092,15.389102,-0.000004,206.993695,0.707052,-0.008771,0.008771,-0.707052,0.048510,-0.000000,0.000000,-0.232972,-0.000001,-14.765378,-0.200080,-0.000001,0.000000,0.000013,-2.197868,-99.259624,-1.320528,-0.000005,0.000000,80910.288599,0.939552,0.000018,347.220687,10.000000,0.000000,207.564964,14.767216,15.389102,85.748124,32.990254,-106.974279,15.389102,0.000060,20141.838849,2.084374,99.259624,0.007955,435424.525297,368230.962193,803655.487490,233441.447899,-20602.820247
4.200000,52.603967,-0.000009,1979.223942,15.300198,-0.000004,198.288568,0.707045,-0.009351,0.009351,-0.707045,0.028876,-0.000000,0.000000,-0.142876,-0.000000,-14.258259,-0.063248,-0.000001,0.000000,0.000009,-0.501856,-89.076614,-0.417436,-0.000004,0.000000,79700.482061,0.925503,0.000018,347.220687,10.000000,0.000000,198.877983,14.258975,15.300198,85.587728,32.990254,-106.974127,15.300198,0.000058,18207.626621,0.500941,89.076614,0.002763,396206.048284,388860.017678,785066.065962,63243.198454,-17715.377381
4.800000,61.749502,-0.000011,2095.658819,15.221057,-0.000004,189.872162,0.707036,-0.009994,0.009994,-0.707036,0.015470,0.000000,0.000000,-0.063278,-0.000000,-13.805843,0.049816,-0.000001,0.000000,0.000007,0.995659,-79.987681,0.328786,-0.000003,0.000000,78555.550228,0.912208,0.000018,347.220687,10.000000,0.000000,190.481281,13.805988,15.221057,85.416698,32.990254,-106.973976,15.221057,0.000060,16455.632422,0.987259,79.987681,0.000790,362831.184148,411027.851302,773859.035450,0.006019,-15236.155958
5.400000,70.855580,-0.000013,2207.122413,15.147429,-0.000004,181.712792,0.707030,-0.010430,0.010430,-0.707030,0.002333,0.000000,0.000000,-0.035318,0.000000,-13.405288,0.089648,-0.000000,0.000000,0.000002,1.416893,-71.962284,0.591678,-0.000001,0.000000,77472.015348,0.899625,0.000018,347.220687,10.000000,0.000000,182.343038,13.405335,15.147429,85.234888,32.990254,-106.973825,15.147429,0.000059,14864.526043,1.410870,71.962284,0.000018,332489.834030,432889.540200,765379.374229,-0.000000,-13121.821527
