# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.053893,0.217125,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,388977.928878,388977.928878,0.000000,-0.000000
0.600000,1.665076,0.002021,1480.706332,6.266737,0.016105,33.542032,0.704353,-0.060545,0.062341,-0.704510,0.005131,0.026972,0.000000,12.259153,-0.015318,59.780564,0.023225,0.158359,0.000000,-4.416733,0.696576,-3.111062,0.199088,1.348279,0.000000,84943.261324,1.049935,0.000018,336.547240,0.887211,3.302934,34.122429,61.024602,6.266757,79.417269,32.990254,-106.974970,6.266757,0.830694,611.487646,4.471323,3.111062,0.003134,15401.437742,384150.037249,399551.474991,63902.029186,-106.157074
1.200000,7.578000,-0.118634,1511.407967,13.347903,-0.743058,68.472165,0.702854,-0.042826,0.077200,-0.705835,0.000478,0.115178,0.000000,11.327031,-3.215878,56.437551,-0.050541,0.025203,0.000000,-1.935487,-1.124786,-12.469852,-0.402845,0.331250,0.000000,84636.271057,1.046778,0.000018,336.439554,1.195500,3.384765,69.765006,57.652764,13.368569,78.952491,32.990253,-106.974872,13.368569,15.859665,2540.089614,2.207753,12.469852,0.052937,63126.348595,384474.348760,447600.697356,122632.724679,-869.959664
1.800000,17.597240,-1.400067,1562.377848,20.047782,-3.819171,100.999311,0.701002,-0.032199,0.094724,-0.706107,-0.026648,-0.024871,0.000000,11.286692,-5.899279,52.188518,0.019759,-0.331006,0.000000,7.464879,0.159405,-26.638967,0.122573,-2.561953,0.000000,84126.615553,1.041538,0.000018,336.260776,1.707312,3.520618,103.040577,53.719942,20.408323,78.576404,32.990241,-106.974707,20.408323,26.017948,5515.520078,7.467042,26.638967,0.005089,135162.170733,390099.429973,525261.600706,168739.492423,-2744.894539
2.400000,31.668408,-4.582363,1632.163347,26.819955,-6.523588,131.290504,0.701944,-0.041337,0.088509,-0.705502,0.010585,0.035476,0.000000,10.887265,-3.709747,48.667773,-0.010516,0.325340,0.000000,-6.940306,0.101918,-44.595134,-0.066254,2.426024,0.000000,83428.819841,1.034363,0.000018,336.016003,2.408060,3.706620,134.160589,50.008468,27.601941,78.127291,32.990213,-106.974474,27.601941,19.820755,9277.099147,6.940940,44.595134,0.005033,225066.950186,400291.249531,625358.199717,205970.585357,-5982.909475
3.000000,49.628997,-9.284577,1719.275889,32.921567,-9.234949,158.260727,0.701215,-0.036785,0.094688,-0.705677,-0.005734,-0.034636,0.000000,9.598386,-4.255634,40.785434,0.074417,0.006453,0.000000,0.455793,1.358689,-64.507502,0.519326,0.013538,0.000000,82557.768427,1.025407,0.000018,335.710455,3.282796,3.938806,161.912234,42.115212,34.192307,77.808603,32.990171,-106.974176,34.192307,23.587679,13380.777992,1.464321,64.507502,0.004344,322455.260397,414769.062919,737224.323316,216251.644474,-10444.553457
3.600000,71.038983,-15.527237,1821.247291,38.312189,-11.608953,181.036980,0.700938,-0.034422,0.096603,-0.705811,-0.006335,-0.002752,0.000000,8.230398,-4.087077,33.939814,0.007281,-0.225264,0.000000,3.615877,0.163202,-84.409351,0.044180,-1.530536,0.000000,81538.141041,1.014924,0.000017,335.352789,4.306737,4.210595,185.410301,35.161834,40.032382,77.530939,32.990114,-106.973822,40.032382,25.189471,17345.563060,3.619407,84.409351,0.000162,416695.228793,432982.548322,849677.777114,216565.658102,-15650.363823
4.200000,95.129038,-23.006962,1933.939577,41.284878,-13.000996,190.913741,0.700791,-0.033244,0.097625,-0.705873,-0.003139,0.006733,0.000000,2.172497,-1.175474,1.772246,-0.009952,-0.161898,0.000000,2.300576,-0.039632,-93.652384,-0.066830,-1.071594,0.000000,80411.313915,1.003338,0.000017,334.957520,5.438331,4.510960,195.758840,3.039965,43.283565,77.225965,32.990047,-106.973423,43.283565,25.987906,19083.335621,2.300877,93.652384,0.000183,460613.326358,455918.592872,916531.919230,74045.911218,-18333.282090
4.800000,120.030861,-30.870651,2047.408395,41.387621,-13.041593,185.563249,0.700580,-0.031970,0.099247,-0.705915,-0.004671,0.011587,0.000000,-0.671724,0.296005,-13.366522,-0.005971,-0.096513,0.000000,1.216170,-0.035442,-87.225875,-0.039405,-0.636987,0.000000,79311.040371,0.992328,0.000017,334.490743,6.444892,4.888557,190.569509,13.386662,43.393759,76.837967,32.989976,-106.973011,43.393759,26.927699,17850.096850,1.216070,87.225875,0.000515,435800.854047,481877.220863,917678.074910,-0.000097,-16622.592231
5.400000,144.748329,-38.635054,2156.362145,41.007700,-12.834775,177.651744,0.700328,-0.030704,0.101271,-0.705934,-0.003478,0.013708,0.000000,-0.612965,0.313523,-13.015364,-0.012549,-0.040679,0.000000,0.351195,-0.121070,-78.761066,-0.082821,-0.268480,0.000000,78273.287645,0.982114,0.000017,334.004981,7.338869,5.292172,182.774465,13.033561,42.969325,76.402789,32.989907,-106.972601,42.969325,27.905058,16215.845581,0.370136,78.761066,0.000660,400878.059269,507520.531858,908398.591126,-0.000000,-14395.511688
