# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.062705,0.252594,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,807452.360522,807452.360522,0.000000,-0.000000
0.600000,0.577491,-0.000000,1474.741316,2.228321,-0.000089,12.663277,0.704416,-0.061629,0.061628,-0.704416,-0.000051,-0.000210,0.000000,3.604051,-0.017700,25.561548,-0.010090,-0.041567,0.000000,-1.771742,0.444224,-0.472882,0.155694,0.627727,0.000000,85003.052623,1.050549,0.000018,336.568244,0.830057,3.287671,12.857836,25.769715,2.228321,80.018670,32.990254,-106.974988,2.228321,-0.000332,90.937099,1.826580,0.472882,-0.000000,4584.349850,802063.279602,806647.629451,25288.598664,-6.080263
1.200000,3.014672,-0.007918,1486.988015,5.957082,-0.081637,28.297615,0.703954,-0.055016,0.066639,-0.704969,0.005429,0.063506,0.000000,6.301141,-0.547509,26.421616,-0.007820,0.134360,0.000000,-3.403467,-0.103450,-2.251069,-0.054621,1.164970,0.000000,84880.449832,1.049289,0.000018,336.525207,0.950289,3.319677,28.917962,27.168105,5.957641,78.110859,32.990254,-106.974948,5.957641,5.416133,439.333042,3.405038,2.251069,0.016224,22942.628382,800139.338196,823081.966578,58425.449444,-65.096342
1.800000,7.711952,-0.264277,1508.685609,9.681804,-0.990032,43.906341,0.701622,-0.034515,0.088260,-0.706219,-0.017160,0.125478,0.000000,6.126460,-2.691989,25.197881,-0.065490,0.028124,0.000000,-1.628709,-1.421720,-5.307626,-0.519549,0.389348,0.000000,84663.492322,1.047058,0.000018,336.449102,1.168164,3.377509,44.972039,26.071316,9.732291,77.501878,32.990252,-106.974870,9.732291,23.454632,1057.175016,2.162090,5.307626,0.060658,54896.915788,803177.901468,858074.817256,87247.001245,-238.694785
2.400000,14.631914,-1.489177,1539.416331,13.409807,-3.297874,58.235387,0.698116,-0.019844,0.118263,-0.705871,-0.052097,0.057643,0.000000,6.379125,-4.683824,22.337469,-0.020314,-0.239129,0.000000,3.894191,-0.806807,-9.242791,-0.213933,-1.635669,0.000000,84356.211211,1.043899,0.000018,336.341314,1.476745,3.459417,59.850307,23.697969,13.809378,76.659832,32.990241,-106.974756,13.809378,35.158328,1868.275635,3.976859,9.242791,0.021603,96243.197261,811229.839937,907473.037199,107011.293080,-553.183891
3.000000,23.861655,-4.317830,1578.241110,17.406507,-6.075472,70.983145,0.698172,-0.030819,0.125577,-0.704156,-0.021819,-0.050637,0.000000,6.734951,-4.109010,19.818079,0.097878,0.001888,0.000000,0.462433,1.527023,-13.680036,0.636066,-0.049343,0.000000,83967.996407,1.039907,0.000018,336.205136,1.866602,3.562899,73.338289,21.330730,18.436318,75.440376,32.990215,-106.974603,18.436318,30.966596,2793.707295,1.595501,13.680036,0.010294,143136.273869,823781.702452,966917.976320,120672.035181,-1003.270436
3.600000,35.015358,-8.366693,1622.162433,19.152526,-7.045960,72.718216,0.698514,-0.033497,0.124123,-0.703953,-0.000192,0.049239,0.000000,0.801237,-0.411803,-6.228500,-0.049350,0.171210,0.000000,-3.239653,-0.751539,-14.395791,-0.326711,1.141120,0.000000,83528.820492,1.035392,0.000018,336.051081,2.307636,3.679965,75.527504,6.293369,20.407470,74.323880,32.990179,-106.974418,20.407470,29.675350,2943.998724,3.325676,14.395791,0.008025,151240.164108,843532.595576,994772.759684,15862.845351,-1087.278127
4.200000,46.558366,-12.623081,1664.271372,19.237271,-7.099833,67.264457,0.695847,-0.024415,0.141660,-0.703657,-0.038224,0.043404,0.000000,-0.068406,0.000648,-10.034771,-0.031034,-0.141773,0.000000,2.044519,-0.703865,-12.435761,-0.204824,-0.935700,0.000000,83107.766867,1.031062,0.000018,335.903384,2.730471,3.792200,70.320604,10.035004,20.505614,73.046123,32.990140,-106.974227,20.505614,34.901557,2534.154434,2.162281,12.435761,0.011038,131042.175957,865009.123205,996051.299162,-0.000683,-874.490230
4.800000,58.090547,-16.882301,1702.825736,19.206189,-7.093498,61.253985,0.695209,-0.030487,0.151199,-0.702065,-0.029292,-0.010160,0.000000,-0.041061,0.036897,-9.996330,0.036029,0.013178,0.000000,-0.175266,0.480307,-10.457643,0.237792,0.086973,0.000000,82722.255981,1.027099,0.000018,335.768154,3.117613,3.894961,64.585185,9.996483,20.474262,71.517696,32.990102,-106.974036,20.474262,33.318952,2121.800509,0.515412,10.457643,0.003172,110538.025518,885047.848360,995585.873879,0.000000,-675.408831
5.400000,69.606656,-21.128965,1737.781514,19.179867,-7.059472,55.269550,0.694528,-0.033212,0.158025,-0.701110,-0.022364,0.037758,0.000000,-0.049685,0.062286,-9.953893,-0.019765,0.095325,0.000000,-1.812957,-0.399146,-8.676776,-0.130450,0.629146,0.000000,82372.727899,1.023505,0.000018,335.645546,3.468619,3.988130,58.927299,9.954212,20.437795,69.706413,32.990064,-106.973845,20.437795,32.860684,1752.043756,1.856385,8.676776,0.006355,92019.311510,903216.199505,995235.511015,0.000000,-511.298992
