# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,1.886221,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.767678,-0.000000,1415.350363,10.754320,0.000000,58.468877,0.704867,-0.056235,0.056235,-0.704867,0.137243,-0.000000,0.000000,20.527446,0.000001,112.560869,0.674275,0.000000,0.000000,-0.000002,19.093400,-8.414874,5.585697,0.000000,0.000000,85438.028627,0.992129,0.000018,347.220687,10.000000,0.000000,59.449684,114.417329,10.754320,79.577940,32.990254,-106.974952,10.754320,-0.000000,1696.132946,19.093401,8.414874,0.076992,39366.783225,309203.579890,348570.363115,164821.440662,-500.261664
1.200000,11.831934,0.000000,1469.746863,17.009734,-0.000000,114.246457,0.707095,-0.004013,0.004013,-0.707095,0.144210,0.000000,0.000000,-0.606581,-0.000005,40.542091,-1.203165,-0.000001,0.000000,0.000013,-25.579768,-31.117894,-9.318845,-0.000005,0.000000,84870.375690,0.985537,0.000018,347.220687,10.000000,0.000000,115.505774,40.546614,17.009734,81.531651,32.990254,-106.974802,17.009734,0.000352,6455.951867,25.579768,31.117894,0.080782,144376.856753,311948.717589,456325.574342,129437.503276,-3594.295635
1.800000,22.026314,-0.000001,1545.690494,17.729500,-0.000004,139.034838,0.706452,-0.030445,0.030445,-0.706452,-0.105490,-0.000001,0.000000,5.552743,-0.000004,41.882469,1.176473,-0.000001,0.000000,0.000038,23.210595,-45.504366,8.870037,-0.000011,0.000000,84082.980095,0.976394,0.000018,347.220687,10.000000,0.000000,140.160698,42.248954,17.729500,82.732954,32.990254,-106.974633,17.729500,0.000005,9466.346983,23.210618,45.504366,0.042037,209479.344542,323267.336157,532746.680699,161738.541522,-6377.923744
2.400000,33.505626,-0.000003,1636.737662,19.890164,0.000001,164.520024,0.706962,-0.014326,0.014326,-0.706962,-0.057187,0.000000,0.000000,1.138073,0.000017,42.274832,-1.008623,0.000004,0.000000,-0.000070,-20.400340,-63.191385,-7.411888,0.000026,0.000000,83146.796321,0.965522,0.000018,347.220687,10.000000,0.000000,165.718004,42.290147,19.890164,83.106503,32.990254,-106.974443,19.890164,-0.000297,13114.041326,20.400849,63.191385,0.012001,288474.017682,337207.359212,625681.376894,191805.534077,-10471.950145
3.000000,45.991890,-0.000001,1742.903523,21.927182,0.000006,188.975653,0.706812,-0.020444,0.020444,-0.706812,0.083685,-0.000000,0.000000,2.432226,0.000019,38.427449,-0.504112,0.000004,0.000000,-0.000065,-7.500178,-83.004295,-3.577737,0.000029,0.000000,82065.833572,0.952970,0.000018,347.220687,10.000000,0.000000,190.243525,38.504347,21.927182,83.381465,32.990254,-106.974236,21.927182,-0.000293,17083.919730,7.609503,83.004295,0.024938,374720.163457,353925.036777,728645.200234,206039.302858,-15791.029824
3.600000,59.584727,0.000005,1862.853212,23.579321,0.000013,210.254515,0.706736,-0.022943,0.022942,-0.706736,0.058815,-0.000000,0.000000,0.326348,0.000001,-5.166075,-0.034032,0.000001,0.000000,-0.000001,0.489383,-103.060810,-0.225176,0.000004,0.000000,80858.246864,0.938947,0.000018,347.220687,10.000000,0.000000,211.572554,18.597311,23.579321,83.601211,32.990254,-106.974011,23.579321,-0.000236,20840.571255,0.489383,103.060810,0.011962,457100.562246,373097.546830,830198.109076,205043.795096,-21804.838826
4.200000,73.648326,0.000013,1986.349383,23.369111,0.000012,201.447976,0.706716,-0.023552,0.023551,-0.706716,0.032768,-0.000000,0.000000,-0.285624,-0.000002,-14.420920,-0.005487,0.000000,0.000000,0.000005,0.444247,-92.460955,-0.036216,0.000000,0.000000,79630.030051,0.924685,0.000018,347.220687,10.000000,0.000000,202.798921,14.423750,23.369111,83.382940,32.990254,-106.973779,23.369111,-0.000235,18845.086055,0.895034,92.460955,0.003609,414689.732736,392824.272023,807514.004759,166780.728657,-18750.981876
4.800000,87.600315,0.000020,2104.652683,23.179007,0.000012,192.940782,0.706684,-0.024472,0.024472,-0.706684,0.015813,-0.000000,0.000000,-0.218140,-0.000002,-13.953493,0.074936,-0.000001,0.000000,0.000014,1.384839,-83.039989,0.494575,-0.000005,0.000000,78467.668583,0.911187,0.000018,347.220687,10.000000,0.000000,194.328103,13.955198,23.179007,83.149582,32.990254,-106.973548,23.179007,-0.000214,17039.123505,1.381025,83.039989,0.000826,377832.830294,413009.059133,790841.889427,43988.428356,-16137.003484
5.400000,101.449757,0.000027,2217.932852,23.003817,0.000011,184.700657,0.706655,-0.025309,0.025309,-0.706655,0.001356,-0.000000,0.000000,-0.185392,-0.000002,-13.535348,0.105115,-0.000001,0.000000,0.000013,1.636608,-74.648140,0.693756,-0.000005,0.000000,77367.574475,0.898413,0.000018,347.220687,10.000000,0.000000,186.127666,13.536617,23.003817,82.900570,32.990254,-106.973318,23.003817,-0.000209,15400.333560,1.631016,74.648140,0.000006,346435.082056,435009.824108,781444.906164,-0.004314,-13894.084056
