# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.289327,-0.279912,2.056667,-0.000000,0.000000,85598.771785,1.083767,0.000017,332.529151,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,54.188375,7.289327,0.279912,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.782968,0.000000,1415.346815,10.769027,0.000000,58.459933,0.704997,-0.054577,0.054577,-0.704997,0.157887,-0.000000,0.000000,19.959475,0.000001,112.621578,0.680235,0.000000,0.000000,-0.000002,20.090296,-9.151755,5.823763,0.000001,0.000000,85438.065752,1.081733,0.000017,332.529151,10.000000,0.000000,59.443550,114.376573,10.769027,79.562436,32.990254,-106.974952,10.769027,-0.000000,1848.765472,20.090277,9.151755,0.101898,39358.687667,309202.810922,348561.498589,164804.819640,-544.013000
1.200000,11.679752,0.000000,1469.745611,16.465250,-0.000000,114.240556,0.707103,-0.002418,0.002418,-0.707103,0.107011,-0.000000,0.000000,-0.943496,-0.000004,40.437558,-1.292672,-0.000002,0.000000,0.000035,-27.718487,-33.873349,-9.967702,-0.000012,0.000000,84870.388723,1.074545,0.000017,332.529151,10.000000,0.000000,115.421008,40.448563,16.465250,81.798558,32.990254,-106.974805,16.465250,0.000394,7034.352713,27.718487,33.873349,0.044481,144165.006236,311948.452544,456113.458780,129404.291133,-3909.696073
1.800000,21.580828,-0.000000,1545.658266,17.346877,-0.000000,138.928142,0.706496,-0.029398,0.029398,-0.706496,-0.045556,-0.000000,0.000000,5.471920,0.000005,41.703359,1.230742,0.000002,0.000000,-0.000037,24.968900,-49.528117,9.267093,0.000013,0.000000,84083.312981,1.064580,0.000017,332.529151,10.000000,0.000000,140.006939,42.060777,17.346877,82.882758,32.990254,-106.974641,17.346877,-0.000045,10302.478229,24.968949,49.528117,0.007917,209019.956868,323260.595942,532280.552811,161561.106406,-6934.279981
2.400000,32.702028,0.000000,1636.613025,19.143944,0.000003,164.303614,0.706941,-0.015333,0.015333,-0.706941,-0.101032,0.000000,0.000000,1.599499,0.000008,41.990845,-0.617318,0.000001,0.000000,-0.000022,-13.745244,-68.794292,-4.605773,0.000008,0.000000,83148.072101,1.052739,0.000017,332.529151,10.000000,0.000000,165.415139,42.021297,19.143944,83.354111,32.990254,-106.974457,19.143944,-0.000155,14253.713912,13.744342,68.794292,0.037448,287420.578632,337181.680849,624602.259481,191454.991574,-11379.617318
3.000000,44.772979,0.000003,1742.594560,21.063524,0.000006,188.580399,0.706882,-0.017824,0.017824,-0.706882,0.025146,-0.000000,0.000000,1.810468,0.000005,38.089170,-0.739835,0.000001,0.000000,-0.000010,-12.509376,-90.621326,-5.252944,0.000005,0.000000,82068.962780,1.039077,0.000017,332.529151,10.000000,0.000000,189.753100,38.132168,21.063524,83.626753,32.990254,-106.974257,21.063524,-0.000088,18539.706474,12.521787,90.621326,0.002263,372790.663595,353862.296877,726652.960471,205508.158850,-17195.677477
3.600000,57.855737,0.000008,1862.234348,22.634746,0.000008,209.611703,0.706823,-0.020046,0.020046,-0.706823,0.024673,-0.000000,0.000000,-0.276147,-0.000001,-8.801564,-0.475130,-0.000001,0.000000,0.000023,-6.669006,-112.643272,-3.153238,-0.000009,0.000000,80864.440098,1.023826,0.000017,332.529151,10.000000,0.000000,210.830258,17.751901,22.634746,83.836844,32.990254,-106.974040,22.634746,-0.000084,22573.676368,6.669006,112.643272,0.002105,453898.731736,372973.598990,826872.330726,204324.405063,-23748.610067
4.200000,71.363271,0.000012,1985.262333,22.424912,0.000008,200.540038,0.706795,-0.021013,0.021013,-0.706795,0.005969,-0.000000,0.000000,-0.504154,-0.000001,-14.813641,-0.281528,-0.000000,0.000000,0.000005,-4.116086,-100.561972,-1.858083,-0.000002,0.000000,79640.774883,1.008333,0.000017,332.529151,10.000000,0.000000,201.789949,14.822218,22.424912,83.619542,32.990254,-106.973816,22.424912,-0.000102,20353.551082,4.115891,100.561972,0.000120,410573.565414,392609.222783,803182.788197,165959.101204,-20292.395230
4.800000,84.757758,0.000017,2102.950954,22.241980,0.000007,191.807312,0.706764,-0.022029,0.022028,-0.706764,0.003556,-0.000000,0.000000,-0.387605,0.000000,-14.289171,-0.146146,0.000001,0.000000,-0.000010,-2.153982,-89.959169,-0.964566,0.000005,0.000000,78484.290559,0.993691,0.000017,332.529151,10.000000,0.000000,193.092596,14.294427,22.241980,83.385522,32.990254,-106.973595,22.241980,-0.000106,18353.427264,2.154031,89.959169,0.000042,373043.688947,412675.104840,785718.793787,43717.817274,-17370.449382
5.400000,98.048192,0.000021,2215.491465,22.074945,0.000007,183.373898,0.706732,-0.023028,0.023028,-0.706732,0.003816,-0.000000,0.000000,-0.303854,-0.000000,-13.822643,-0.058588,0.000000,0.000000,-0.000002,-0.835528,-80.545093,-0.386678,0.000001,0.000000,77391.151020,0.979851,0.000017,332.529151,10.000000,0.000000,184.697833,13.825982,22.074945,83.135643,32.990254,-106.973375,22.074945,-0.000098,16545.655921,0.859996,80.545093,0.000048,341132.895894,434530.987497,775663.883392,-0.006529,-14876.504126
6.000000,111.242429,0.000026,2323.053438,21.918735,0.000007,175.206919,0.706699,-0.024031,0.024031,-0.706699,0.001653,-0.000000,0.000000,-0.241834,-0.000001,-13.409089,0.002876,-0.000000,0.000000,0.000004,0.068809,-72.210917,0.018980,-0.000001,0.000000,76357.924185,0.966769,0.000017,332.529151,10.000000,0.000000,176.572635,13.411270,21.918735,82.869230,32.990254,-106.973156,21.918735,-0.000090,14907.345900,0.032820,72.210917,0.000009,311778.955265,455627.439941,767406.395206,0.000000,-12750.471960
6.600000,124.347684,0.000030,2425.786920,21.771937,0.000007,167.274596,0.706667,-0.024947,0.024947,-0.706667,-0.003078,0.000000,0.000000,-0.211086,-0.000001,-13.040943,0.025331,-0.000000,0.000000,0.000003,0.350177,-64.822533,0.167186,-0.000001,0.000000,75381.536017,0.954407,0.000017,332.529151,10.000000,0.000000,168.685529,13.042651,21.771937,82.584250,32.990254,-106.972939,21.771937,-0.000090,13418.659925,0.351060,64.822533,0.000031,284548.076925,475776.866060,760324.942985,-0.000000,-10934.623295
7.200000,137.370256,0.000034,2523.825052,21.636529,0.000007,159.552595,0.706638,-0.025747,0.025747,-0.706638,-0.006264,0.000000,0.000000,-0.209018,-0.000000,-12.706921,0.008660,-0.000000,0.000000,0.000000,0.052136,-58.155844,0.057154,-0.000000,0.000000,74459.224152,0.942729,0.000017,332.529151,10.000000,0.000000,161.012949,12.708640,21.636529,82.277371,32.990254,-106.972723,21.636529,-0.000094,12063.373708,0.057685,58.155844,0.000129,259251.698608,495005.378885,754257.077494,-0.000000,-9363.843968
