# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.464761,-2.001496,14.838574,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,28.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,389.646206,52.464761,2.001496,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,1.831139,0.000000,1409.976567,7.333182,0.000000,38.327494,0.705346,-0.049860,0.049860,-0.705346,0.315064,-0.000000,0.000000,14.280010,0.000002,76.404820,1.523687,-0.000003,0.000000,0.000091,45.911309,-4.740364,13.020988,-0.000026,0.000000,85494.273146,0.992782,0.000018,347.220687,28.000000,0.000000,39.022716,77.727824,7.333182,79.168524,32.990254,-106.974968,7.333182,0.000521,941.213896,45.911309,4.740364,0.411347,17100.394011,310544.134803,327644.528813,76750.744278,-184.981841
1.200000,7.078944,0.000004,1447.202254,6.006952,0.000027,86.050340,0.700141,0.098998,-0.098999,-0.700141,0.861713,-0.000003,0.000000,-25.928531,0.000122,77.959896,-0.928862,0.000003,0.000000,-0.000028,-10.513017,-18.946339,-6.214294,0.000020,0.000000,85105.267477,0.988265,0.000018,347.220687,28.000000,0.000000,86.259750,82.158595,6.007324,86.006593,32.990254,-106.974881,6.007324,-179.999638,3897.891537,10.719009,18.946339,2.938855,81368.660651,310388.050977,391756.711628,174279.191840,-1634.306531
1.800000,4.050509,0.000049,1512.056645,-16.687678,0.000133,129.628394,0.696158,0.123948,-0.123950,-0.696158,-0.610428,0.000002,0.000000,-31.272190,0.000226,73.579979,-0.139622,0.000019,0.000000,-0.000432,-13.575759,-44.304238,-1.855519,0.000147,0.000000,84430.968088,0.980435,0.000018,347.220687,28.000000,0.000000,130.698122,79.949756,16.687678,82.664389,32.990254,-106.974931,16.687678,-179.999620,9216.334569,13.037833,44.304238,1.402559,181810.037120,315641.824480,497451.861600,253554.362717,-5790.480739
2.400000,-10.098426,0.000160,1603.197852,-30.917998,0.000242,173.316805,0.695088,0.129814,-0.129816,-0.695088,0.230660,0.000002,0.000000,-32.271735,0.000236,66.093315,-3.345624,0.000043,0.000000,-0.000803,-55.515221,-78.677975,-23.615793,0.000308,0.000000,83490.679075,0.969516,0.000018,347.220687,28.000000,0.000000,176.052940,73.551280,30.917998,79.885398,32.990254,-106.975165,30.917998,-179.999616,16244.257525,55.517022,78.677975,0.190067,321356.267221,326015.125533,647371.392754,314782.587469,-13851.488943
3.000000,-33.750573,0.000333,1718.962284,-46.878407,0.000328,212.353181,0.696128,0.124116,-0.124117,-0.696128,0.200141,-0.000001,0.000000,-27.448248,0.000219,60.521565,-2.152501,0.000070,0.000000,-0.001064,-28.939387,-121.721504,-14.333766,0.000473,0.000000,82308.599697,0.955789,0.000018,347.220687,28.000000,0.000000,217.465994,66.454950,46.878407,77.551229,32.990254,-106.975557,46.878407,-179.999635,24229.563546,28.944444,121.721504,0.135607,478235.977739,340938.817407,819174.795146,358455.814649,-26470.287819
3.600000,-64.518768,0.000545,1851.520260,-52.946136,0.000361,222.602063,0.695719,0.126391,-0.126392,-0.695719,-0.011312,0.000001,0.000000,-0.313639,0.000014,-12.336801,-1.614371,0.000023,0.000000,-0.000352,-23.684781,-134.476962,-10.669096,0.000153,0.000000,80971.721410,0.940265,0.000018,347.220687,28.000000,0.000000,228.812088,12.546824,52.946136,76.620743,32.990254,-106.976066,52.946136,-179.999745,26376.289996,23.684781,134.476962,0.000424,524223.818398,363611.792039,887835.610438,48050.538581,-30769.954592
4.200000,-95.881868,0.000760,1982.220446,-51.649183,0.000357,213.120093,0.695654,0.126752,-0.126753,-0.695654,-0.051118,0.000001,0.000000,1.873669,-0.000005,-15.546203,-0.307474,0.000002,0.000000,-0.000057,-5.422140,-120.631005,-2.029331,0.000015,0.000000,79670.848320,0.925159,0.000018,347.220687,28.000000,0.000000,219.289334,15.658706,51.649183,76.377143,32.990254,-106.976586,51.649183,-179.999780,23945.037473,5.456059,120.631005,0.008623,480878.128714,388778.842644,869656.971358,-0.000000,-26453.092720
4.800000,-126.477282,0.000972,2107.355490,-50.411853,0.000352,204.032716,0.695263,0.128878,-0.128879,-0.695263,-0.024927,0.000000,0.000000,1.977051,-0.000013,-14.858722,0.075561,-0.000010,0.000000,0.000145,0.698854,-108.500575,0.498705,-0.000065,0.000000,78441.274237,0.910881,0.000018,347.220687,28.000000,0.000000,210.168276,14.989675,50.411853,76.121472,32.990254,-106.977092,50.411853,-179.999814,21759.922909,0.731024,108.500575,0.002050,441707.043307,413321.954350,855028.997657,-0.000000,-22803.378801
5.400000,-156.365248,0.001182,2227.137199,-49.270180,0.000348,195.275587,0.694639,0.132201,-0.132201,-0.694639,-0.005868,0.000000,0.000000,1.847086,-0.000011,-14.334250,0.079521,-0.000007,0.000000,0.000111,1.096900,-97.791358,0.524840,-0.000049,0.000000,77278.740134,0.897381,0.000018,347.220687,28.000000,0.000000,201.395396,14.452768,49.270180,75.839202,32.990254,-106.977587,49.270180,-179.999819,19788.703472,0.843934,97.791358,0.000112,405601.054436,436815.100181,842416.154616,0.000000,-19694.729273
