# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.213905,-0.008408,-0.060330,0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,-2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,1.987991,0.213905,0.008408,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.334568,-0.000000,1412.888055,8.364958,0.000000,44.820844,0.704313,-0.062793,0.062793,-0.704313,-0.027493,0.000000,0.000000,14.962803,0.000000,74.430611,-0.135941,0.000000,0.000000,-0.000001,-3.992031,-5.274528,-1.155629,0.000000,0.000000,85463.796506,0.992428,0.000018,347.220687,-2.000000,0.000000,45.594743,75.919702,8.364958,79.428452,32.990254,-106.974959,8.364958,-0.000000,1050.155961,3.992031,5.274528,0.003130,23335.796679,311065.645309,334401.441988,87819.426755,-240.489841
1.200000,10.164130,-0.000000,1452.990610,18.083943,-0.000000,88.674802,0.702826,-0.077692,0.077692,-0.702826,-0.098848,0.000000,0.000000,18.328957,-0.000003,72.182678,0.026835,-0.000001,0.000000,0.000014,-0.669935,-19.822158,0.108009,-0.000005,0.000000,85044.908559,0.987564,0.000018,347.220687,-2.000000,0.000000,90.499997,74.473421,18.083943,78.473418,32.990254,-106.974829,18.083943,0.000006,4081.890294,0.845143,19.822158,0.038947,89941.176698,312949.832607,402891.009305,168782.497701,-1793.906773
1.800000,24.560472,-0.000000,1519.065994,30.101137,-0.000000,131.396214,0.701849,-0.086074,0.086074,-0.701849,0.035780,-0.000000,0.000000,20.081403,0.000004,70.254482,0.113604,-0.000001,0.000000,0.000018,3.077035,-43.079649,0.908907,-0.000006,0.000000,84358.350803,0.979591,0.000018,347.220687,-2.000000,0.000000,134.800013,73.068155,30.101137,77.096939,32.990254,-106.974591,30.101137,-0.000014,8961.031114,3.080259,43.079649,0.004901,195173.666453,320013.791626,515187.458079,244825.808807,-5807.137250
2.400000,46.073817,0.000001,1610.375544,41.563658,0.000008,172.609947,0.701617,-0.087946,0.087946,-0.701617,-0.047357,-0.000000,0.000000,19.621142,0.000019,66.666088,0.197004,-0.000001,0.000000,0.000015,2.840313,-74.215378,1.397083,-0.000005,0.000000,83416.989714,0.968660,0.000018,347.220687,-2.000000,0.000000,177.543604,69.493572,41.563658,76.461191,32.990254,-106.974235,41.563658,-0.000056,15349.379537,2.838661,74.215378,0.008236,331295.869592,331958.492790,663254.362382,307816.151222,-13176.465737
3.000000,74.500019,0.000009,1725.642745,52.986802,0.000019,211.071312,0.701400,-0.089661,0.089660,-0.701400,-0.035486,-0.000000,0.000000,18.410478,0.000022,61.195441,-0.010728,0.000000,0.000000,0.000006,-0.931839,-113.215014,-0.111700,-0.000000,0.000000,82240.800865,0.955002,0.000018,347.220687,-2.000000,0.000000,217.620541,63.904833,52.986802,75.907826,32.990254,-106.973764,52.986802,-0.000067,22716.936365,0.877200,113.215014,0.004429,487530.388273,348420.321855,835950.710128,353287.161216,-24637.912572
3.600000,109.528371,0.000025,1862.770209,63.210990,0.000031,243.878175,0.701057,-0.092298,0.092297,-0.701057,-0.019956,-0.000000,0.000000,8.541102,0.000013,21.789071,0.126843,0.000004,0.000000,-0.000053,1.440472,-153.434617,0.841472,0.000026,0.000000,80859.077489,0.938957,0.000018,347.220687,-2.000000,0.000000,251.936884,32.802741,63.210990,75.469218,32.990254,-106.973184,63.210990,-0.000071,29919.408188,1.440472,153.434617,0.001346,641487.639840,369245.097948,1010732.737788,283345.015911,-38655.839270
4.200000,147.109213,0.000043,2006.039441,62.067992,0.000030,233.755912,0.700776,-0.094413,0.094413,-0.700776,-0.006096,0.000000,0.000000,-1.805292,-0.000002,-16.532934,0.062312,0.000001,0.000000,-0.000016,0.783705,-139.284506,0.411256,0.000006,0.000000,79435.608961,0.922427,0.000018,347.220687,-2.000000,0.000000,241.855871,16.631205,62.067992,75.129681,32.990254,-106.972562,62.067992,-0.000068,27094.699295,0.779670,139.284506,0.000123,585950.531269,394128.484484,980079.015752,76910.169079,-33686.775619
4.800000,184.025349,0.000061,2143.364603,61.005460,0.000029,224.065526,0.700484,-0.096551,0.096551,-0.700484,-0.007358,0.000000,0.000000,-1.700368,-0.000002,-15.798017,-0.013150,0.000000,0.000000,-0.000004,-0.322358,-124.559171,-0.086788,0.000002,0.000000,78090.311486,0.906805,0.000018,347.220687,-2.000000,0.000000,232.221933,15.889260,61.005460,74.769475,32.990254,-106.971951,61.005460,-0.000066,24563.107929,0.298176,124.559171,0.000179,539270.262690,420384.530115,959654.792805,0.038601,-28925.371493
5.400000,220.330289,0.000078,2274.999295,60.027943,0.000028,214.778423,0.700147,-0.098968,0.098968,-0.700147,-0.010597,0.000000,0.000000,-1.574354,-0.000001,-15.168891,-0.023702,0.000001,0.000000,-0.000013,-0.528686,-111.770334,-0.156430,0.000005,0.000000,76818.136787,0.892032,0.000018,347.220687,-2.000000,0.000000,223.009248,15.250372,60.027943,74.384972,32.990254,-106.971350,60.027943,-0.000063,22290.656725,0.526833,111.770334,0.000371,497331.247986,446202.436676,943533.684662,-0.000000,-24925.818161
