# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000
0.550000,1.209587,0.000464,1478.251166,5.277461,0.007112,28.734609,0.704391,-0.061557,0.061908,-0.704422,-0.005136,0.008369,0.000000
1.100000,6.113413,-0.030316,1503.794722,12.720476,-0.251430,64.522463,0.703297,-0.060361,0.073845,-0.704469,-0.056783,0.058910,0.000000
1.650000,15.456404,-0.522642,1549.279473,21.533423,-1.768270,100.723948,0.700949,-0.063729,0.097029,-0.703701,-0.051107,0.017498,0.000000
2.200000,29.934666,-2.037823,1614.253285,30.991570,-3.636026,135.182488,0.701220,-0.065804,0.095159,-0.703495,0.014564,0.004101,0.000000
2.750000,49.388088,-4.514924,1697.469679,39.783186,-5.493739,166.974276,0.700096,-0.065446,0.104728,-0.703288,-0.012897,0.000718,0.000000
3.300000,73.490112,-8.047096,1796.841656,46.711924,-7.099983,189.783057,0.699667,-0.064650,0.108066,-0.703284,-0.026302,0.021120,0.000000
3.850000,99.522371,-12.039912,1901.070389,47.529841,-7.301657,187.631188,0.699160,-0.064231,0.112030,-0.703206,-0.020678,0.022285,0.000000
4.400000,125.534652,-16.019772,2002.277149,47.051490,-7.159305,180.390567,0.698566,-0.063963,0.116622,-0.703075,-0.013043,0.017864,0.000000
4.950000,151.285189,-19.918952,2099.529406,46.598026,-7.024814,173.278045,0.698002,-0.064065,0.120982,-0.702888,-0.001978,-0.000490,0.000000
5.500000,176.792747,-23.741791,2192.912363,46.166950,-6.882934,166.318286,0.697558,-0.064506,0.124451,-0.702683,-0.008555,0.006159,0.000000
6.050000,202.073741,-27.491082,2282.504811,45.765882,-6.748781,159.495396,0.697179,-0.065056,0.127416,-0.702478,-0.013731,0.010673,0.000000
6.600000,227.142571,-31.169127,2368.379555,45.395768,-6.624837,152.797401,0.696735,-0.065692,0.130822,-0.702232,-0.011159,0.007355,0.000000
7.150000,252.013072,-34.778758,2450.603567,45.048198,-6.503979,146.216978,0.696175,-0.066442,0.135024,-0.701922,-0.011618,0.007322,0.000000
7.700000,276.698974,-38.323663,2529.238328,44.721971,-6.386946,139.745069,0.695617,-0.067329,0.139156,-0.701583,-0.015053,0.010045,0.000000
8.250000,301.211915,-41.806212,2604.341103,44.418754,-6.277805,133.372105,0.694992,-0.068343,0.143704,-0.701189,-0.014980,0.008730,0.000000
8.800000,325.560684,-45.234487,2675.964784,44.126880,-6.187570,127.092077,0.694599,-0.072357,0.147683,-0.700348,-0.023222,-0.003932,0.000000
9.350000,349.756394,-48.610179,2744.157810,43.858243,-6.092204,120.896487,0.694051,-0.075712,0.152238,-0.699560,-0.021448,0.004449,0.000000
9.900000,373.806557,-51.939624,2808.965457,43.600891,-6.013546,114.780113,0.693519,-0.080455,0.157015,-0.698502,-0.025773,-0.000072,0.000000
10.450000,397.720687,-55.224910,2870.429277,43.360903,-5.935878,108.736575,0.692786,-0.084582,0.162550,-0.697475,-0.026577,0.004233,0.000000
11.000000,421.505561,-58.471439,2928.588156,43.132427,-5.869636,102.761004,0.691998,-0.089784,0.168524,-0.696188,-0.030874,0.001513,0.000000
11.550000,445.169227,-61.681572,2983.477815,42.919054,-5.804984,96.847880,0.691018,-0.095009,0.175253,-0.694805,-0.032505,0.005308,0.000000
12.100000,468.718344,-64.858775,3035.131537,42.716153,-5.749355,90.993117,0.689860,-0.100825,0.182771,-0.693197,-0.037483,0.003577,0.000000
12.650000,492.159453,-68.006164,3083.580021,42.526276,-5.696131,85.191769,0.688504,-0.107378,0.191089,-0.691316,-0.040750,0.006022,0.000000
13.200000,515.499127,-71.125552,3128.851608,42.346841,-5.648223,79.440164,0.686826,-0.114228,0.200546,-0.689205,-0.045783,0.006962,0.000000
13.750000,538.742857,-74.220064,3170.972588,42.177634,-5.604960,73.734319,0.684846,-0.122121,0.211094,-0.686667,-0.051782,0.007354,0.000000
14.300000,561.896269,-77.291606,3209.967100,42.017817,-5.565198,68.070737,0.682443,-0.130934,0.223005,-0.683665,-0.058991,0.008602,0.000000
14.850000,584.963993,-80.342589,3245.857511,41.866457,-5.529706,62.445931,0.679515,-0.141195,0.236547,-0.679977,-0.067887,0.009100,0.000000
15.400000,607.951182,-83.374605,3278.664011,41.724832,-5.496120,56.856029,0.675920,-0.152683,0.251861,-0.675564,-0.075951,0.011714,0.000000
15.950000,630.862738,-86.388821,3308.405130,41.591069,-5.465221,51.298759,0.671442,-0.165185,0.269254,-0.670360,-0.086028,0.014652,0.000000
16.500000,653.702612,-89.386939,3335.098180,41.464187,-5.437492,45.771658,0.665852,-0.179270,0.289111,-0.664017,-0.099129,0.016945,0.000000
17.050000,676.474683,-92.370450,3358.758934,41.344580,-5.411906,40.271744,0.658857,-0.195340,0.311768,-0.656164,-0.113985,0.019848,0.000000
17.600000,699.182958,-95.340311,3379.401622,41.232106,-5.387838,34.796514,0.650048,-0.213408,0.337557,-0.646490,-0.130501,0.023915,0.000000
18.150000,721.831202,-98.297364,3397.039260,41.126195,-5.365368,29.343978,0.638911,-0.233547,0.366835,-0.634571,-0.149450,0.028743,0.000000
18.700000,744.422915,-101.242537,3411.683801,41.026526,-5.344649,23.912186,0.624832,-0.255969,0.399891,-0.619800,-0.171161,0.033908,0.000000
19.250000,766.961547,-104.176778,3423.346062,40.933235,-5.325557,18.498920,0.607112,-0.280817,0.436821,-0.601453,-0.194962,0.039396,0.000000
19.800000,789.450702,-107.100906,3432.035540,40.846656,-5.307848,13.101614,0.585015,-0.307925,0.477391,-0.578826,-0.219379,0.045247,0.000000
20.350000,811.894130,-110.015636,3437.760191,40.766952,-5.291374,7.717235,0.557907,-0.336751,0.520885,-0.551380,-0.242181,0.051123,0.000000
20.900000,834.295546,-112.921614,3440.526036,40.693763,-5.275979,2.342025,0.525519,-0.366341,0.565959,-0.518960,-0.259995,0.056301,0.000000
21.450000,856.658167,-115.819353,3440.335886,40.625640,-5.261384,-3.028433,0.488313,-0.395314,0.610592,-0.482139,-0.268381,0.059673,0.000000
22.000000,878.983808,-118.709124,3437.193719,40.545430,-5.244120,-8.389954,0.447913,-0.422013,0.652238,-0.442590,-0.262818,0.059974,0.000000
