id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
1,21,230.041813424809,Cesaroni_M1300,6420.95272499999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.337024484801486,24.1638787233194,24.1714285714285,25.6714285714285,111.428571428571,112.928571428571,230.041813424809,7,1081.66190288952,-137.37316314254,4130.07533492567,1502.47908886191,783.498693807461,-6.39260643140481
2,22,217.49621645953,Cesaroni_M1300,6420.95272499999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.343542852514777,23.5524502324379,23.5619047619047,25.0619047619047,101.723809523809,103.223809523809,217.49621645953,7,1029.04685385418,-132.174014650692,3962.67506326666,1417.14156649383,773.278906945083,-6.54307266377719
3,23,205.97879868224,Cesaroni_M1300,6420.95272499999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.34974166423457,22.9454458666203,22.9523809523809,24.4523809523809,92.8380952380952,94.3380952380952,205.97879868224,7,978.126154520088,-127.029885529573,3805.49685963514,1336.56543699929,762.320428220365,-6.69015858705336
4,24,195.367826852952,Cesaroni_M1300,6420.95272499999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.356033581825242,22.3456163329786,22.3523809523809,23.8523809523809,84.7047619047619,86.2047619047619,195.367826852952,7,929.023290698325,-121.961987796783,3658.08233827984,1260.5739693561,749.101109786451,-6.83408553249569
5,25,185.616614481332,Cesaroni_M1300,6420.95272499999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.362170242827186,21.7572728558229,21.7619047619047,23.2619047619047,77.2761904761904,78.7761904761904,185.616614481332,7,882.062043345224,-117.131374369217,3520.41828136326,1188.87028741991,729.851861301469,-6.97503997517532
6,26,176.659162760765,Cesaroni_M1300,6420.95272499999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.368082007728762,21.1844309160416,21.1904761904761,22.6904761904761,70.5142857142857,72.0142857142857,176.659162760765,7,837.476158068855,-112.546618729366,3392.49760720305,1121.74716471602,706.041240140597,-7.1132093595648
7,21,223.330766910977,Cesaroni_M1400,6258.825,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.374698787155019,23.6332854968447,23.6380952380952,25.1380952380952,104.733333333333,106.233333333333,223.330766910977,7,1076.13170095279,-159.079739519842,3988.59712453438,1475.92553850876,764.686239365999,-6.39260663372207
8,22,211.184422947786,Cesaroni_M1400,6258.825,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.382535436411758,23.0248093696527,23.0285714285714,24.5285714285714,95.4,96.9,211.184422947786,7,1022.94762281443,-153.086286781924,3827.69975278149,1391.72039434945,753.384177216529,-6.54307309580048
9,23,200.01088185776,Cesaroni_M1400,6258.825,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.390265752288039,22.4213376273218,22.4285714285714,23.9285714285714,86.8666666666666,88.3666666666666,200.01088185776,7,971.395371126829,-147.089449643484,3676.7156621742,1312.17043127421,740.752738868335,-6.69015861833453
10,24,189.748565349837,Cesaroni_M1400,6258.825,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.398075805879019,21.8272190622766,21.8285714285714,23.3285714285714,79.0857142857142,80.5857142857142,189.748565349837,7,921.738333861247,-141.195593365993,3535.57270716034,1236.52489532782,721.958884539801,-6.83408368433438
