# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-153.641789,151.307625,-0.612312,3360.165667,3412.001639,0.000000,101325.000000,1.176613,0.000018,347.220687,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,117.661252,215.638115,0.612312,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.600000,2.271399,-0.080801,13.059201,7.515475,-1.040375,46.115290,0.702946,0.000828,0.062656,-0.708478,0.291954,0.311533,0.000000,8.599310,-8.715617,87.359832,-0.629327,-0.593764,0.000000,-2.187494,2.000627,-6.641265,-9.510044,-8.981462,0.000000,101168.216221,1.174792,0.000018,347.220687,10.000000,10.000000,46.735262,88.213653,7.587143,80.657068,32.990253,-106.974960,7.587143,45.532294,1324.391332,2.964386,6.641265,1.364928,38693.806794,4537.368839,43231.175632,162660.594944,-310.380971
1.200000,7.625832,-3.185993,57.226112,9.515119,-10.256517,101.098687,0.698551,0.063879,0.067157,-0.709532,0.035710,0.056934,0.000000,0.345978,-18.656905,89.758259,-0.120870,-0.140223,0.000000,-0.946367,0.576621,-30.032347,-1.358816,-1.569982,0.000000,100639.420119,1.168651,0.000018,347.220687,10.000000,10.000000,102.062129,91.677390,13.990483,82.121196,32.990225,-106.974872,13.990483,88.119912,6212.262425,1.106891,30.032347,0.025038,170379.584400,18358.328562,188737.912962,341324.922312,-3065.165573
1.800000,13.322668,-12.810399,133.884954,9.417763,-21.741812,153.226598,0.697762,0.072051,0.070691,-0.709182,0.001019,0.014632,0.000000,-0.252660,-14.368213,60.358070,-0.012971,-0.007911,0.000000,-0.392588,0.023339,-68.225161,-0.091305,-0.050561,0.000000,99726.923146,1.158055,0.000018,347.220687,10.000000,10.000000,155.047705,62.045194,23.693895,81.209800,32.990139,-106.974777,23.693895,90.080753,14178.227598,0.393235,68.225161,0.000760,363779.566938,39736.540850,403516.107788,346660.024943,-10578.154627
2.400000,18.961819,-26.504335,227.221970,9.398897,-22.809691,152.587917,0.697476,0.074863,0.073353,-0.708902,0.000038,0.012819,0.000000,0.008762,0.477399,-11.992455,0.000939,-0.005803,0.000000,-0.339682,0.001285,-67.119598,0.006199,-0.038299,0.000000,98624.956301,1.145259,0.000018,347.220687,10.000000,10.000000,154.569381,12.001956,24.670251,80.815953,32.990016,-106.974684,24.670251,90.118214,13949.201583,0.339684,67.119598,0.000542,358375.404766,66848.590020,425223.994786,-0.000000,-10374.634699
3.000000,24.602699,-40.106035,316.629541,9.403981,-22.532267,145.458996,0.697177,0.077702,0.076134,-0.708598,0.000031,0.013859,0.000000,0.008102,0.448278,-11.773702,-0.011129,0.068424,0.000000,-0.369334,-0.002571,-60.523948,-0.073450,0.451596,0.000000,97578.648063,1.133109,0.000018,347.220687,10.000000,10.000000,147.493923,11.782236,24.415936,80.471476,32.989893,-106.974591,24.415936,90.118626,12587.153292,0.369341,60.523948,0.000634,326316.862606,93152.252595,419469.115201,-0.000000,-8926.914502
3.600000,30.246530,-53.546631,401.798705,9.408747,-22.272124,138.455477,0.696839,0.080782,0.079152,-0.708254,0.000030,0.015085,0.000000,0.007820,0.419362,-11.573850,0.013734,-0.040624,0.000000,-0.346232,0.004837,-54.487714,0.090646,-0.268120,0.000000,96590.317581,1.121632,0.000018,347.220687,10.000000,10.000000,140.550671,11.581448,24.177925,80.094548,32.989773,-106.974497,24.177925,90.118624,11335.079070,0.346266,54.487714,0.000751,296317.367428,118208.977992,414526.345420,0.000000,-7658.284763
4.200000,35.893131,-66.836071,482.800887,9.413217,-22.028155,131.566885,0.696456,0.084135,0.082437,-0.707865,0.000034,0.016454,0.000000,0.007120,0.393995,-11.390343,-0.009744,0.034056,0.000000,-0.379021,-0.002176,-48.957988,-0.064308,0.224768,0.000000,95657.877994,1.110804,0.000018,347.220687,10.000000,10.000000,133.729927,11.397158,23.955130,79.680873,32.989653,-106.974404,23.955130,90.118737,10183.850422,0.379032,48.957988,0.000893,268255.401139,142039.779474,410295.180613,0.000000,-6547.148123
4.800000,41.542333,-79.983549,559.700723,9.417409,-21.799373,124.783817,0.696020,0.087798,0.086026,-0.707422,0.000046,0.017977,0.000000,0.006542,0.369899,-11.222129,-0.023796,0.078217,0.000000,-0.403169,-0.006175,-43.888982,-0.157054,0.516229,0.000000,94779.419180,1.100604,0.000018,347.220687,10.000000,10.000000,127.023231,11.228226,23.746584,79.225345,32.989535,-106.974310,23.746584,90.118463,9125.401210,0.403222,43.888982,0.001067,242023.520657,164663.672818,406687.193475,-0.000000,-5574.920311
5.400000,47.193970,-92.998146,632.560571,9.421338,-21.584862,118.097376,0.695521,0.091808,0.089955,-0.706915,0.000039,0.019777,0.000000,0.006298,0.346201,-11.068076,-0.004349,0.013707,0.000000,-0.397175,-0.000530,-39.240600,-0.028701,0.090465,0.000000,93953.148536,1.091009,0.000018,347.220687,10.000000,10.000000,120.422830,11.073491,23.551388,78.721834,32.989418,-106.974217,23.551388,90.118760,8152.523071,0.397171,39.240600,0.001291,217524.871823,186099.003674,403623.875497,0.000000,-4725.464163
